---------- AND Interactions ----------
I(5,6): -3.1158666610717773	 ([madsen][plays])
I(54): 2.897430658340454	 ([help.])
I(45): -2.2433266639709473	 ([life])
I(47,54): 2.108848810195923	 ([fact][help.])
I(40,42): -2.0289292335510254	 ([makes][better.])
I(48): 1.9945390224456787	 ([film])
I(50): 1.7926104068756104	 ([looks])
I(53): 1.696228265762329	 ([certainly])
I(13): -1.6507679224014282	 ([life])
I(13,45): 1.6486573219299316	 ([life][life])
I(14,15): 1.5704289674758911	 ([crumbling][around])
I(26): -1.4245984554290771	 ([night.])
I(33): -1.2776545286178589	 ([teaches])
I(44,46): -1.14661705493927	 ([everything][easy.])
I(2,4): -1.1441798210144043	 ([debut][madsen.])
I(41): -1.0731184482574463	 ([everything])
I(53,54): 1.0707221031188965	 ([certainly][help.])
I(21,50): -1.066457748413086	 ([looks][looks])
I(29,30): 1.018096685409546	 ([home][discusses])
I(41,42): -0.9669489860534668	 ([everything][better.])
I(26,27): 0.9391820430755615	 ([night.][goes])
I(13,15): -0.9278382062911987	 ([life][around])
I(29): -0.9108710289001465	 ([home])
I(4): -0.9097309112548828	 ([madsen.])
I(44): -0.9072058200836182	 ([everything])
I(0,2): -0.8738654851913452	 ([definitely][debut])
I(14): 0.8729734420776367	 ([crumbling])
I(0,54): 0.8571586608886719	 ([definitely][help.])
I(14,16): 0.8504326343536377	 ([crumbling][him.])
I(19,20): 0.8376905918121338	 ([phone][book,])
I(26,45): 0.8363220691680908	 ([night.][life])
I(49,54): -0.8330903053283691	 (["][help.])
I(39,47): -0.8312311768531799	 ([heart.][fact])
I(43,45): 0.798576831817627	 ([ahh... if][life])
I(39,45): 0.7937183380126953	 ([heart.][life])
I(39,54): 0.7869038581848145	 ([heart.][help.])
I(27,30): 0.7845378518104553	 ([goes][discusses])
I(26,29): 0.780906081199646	 ([night.][home])
I(42): 0.7770833969116211	 ([better.])
I(54,56): -0.7754405736923218	 ([help.][10 "])
I(13,54): 0.7734748125076294	 ([life][help.])
I(50,56): -0.7696527242660522	 ([looks][10 "])
I(18): 0.7570340633392334	 ([grabs])
I(29,45): 0.7528929710388184	 ([home][life])
I(25,26): 0.751631498336792	 ([middle][night.])
I(39,42): -0.746269941329956	 ([heart.][better.])
I(13,43): 0.7320107817649841	 ([life][ahh... if])
I(52,53): -0.7288472652435303	 ([500][certainly])
I(52): 0.727013349533081	 ([500])
I(51): 0.7075765132904053	 ([made])
I(33,45): 0.6815303564071655	 ([teaches][life])
I(0,14): 0.678433895111084	 ([definitely][crumbling])
I(7,8): 0.6689536571502686	 ([cecil][moe,])
I(0): 0.6610152721405029	 ([definitely])
I(45,47): 0.6609715223312378	 ([life][fact])
I(40,41): -0.6581437587738037	 ([makes][everything])
I(46,54): 0.6524792909622192	 ([easy.][help.])
I(2,14): 0.645355224609375	 ([debut][crumbling])
I(6,8): 0.6408535242080688	 ([plays][moe,])
I(14,30): 0.6306807398796082	 ([crumbling][discusses])
I(4,5): 0.6176952719688416	 ([madsen.][madsen])
I(30,54): 0.6168832182884216	 ([discusses][help.])
I(40,54): 0.6161153316497803	 ([makes][help.])
I(9): 0.608820915222168	 ([alcoholic])
I(13,16): -0.6031304597854614	 ([life][him.])
I(33,47): 0.5924959778785706	 ([teaches][fact])
I(37,45): 0.588996410369873	 ([god][life])
I(17,18): -0.5865054130554199	 ([cecil][grabs])
I(6): 0.5864993333816528	 ([plays])
I(31,54): -0.5809513330459595	 ([problems.][help.])
