---------- AND Interactions ----------
I(33,35): 3.944896936416626	 ([falls][soon.])
I(21): 3.905318260192871	 ([bad])
I(13,21): -3.844982624053955	 ([bad][bad])
I(3,66): -2.9760942459106445	 ([killer][killer])
I(13): 2.9246063232421875	 ([bad])
I(32): 2.8115286827087402	 ([unfortunately,])
I(35): -2.727165460586548	 ([soon.])
I(32,35): 2.6047637462615967	 ([unfortunately,][soon.])
I(21,35): 2.533597230911255	 ([bad][soon.])
I(33): 2.4660263061523438	 ([falls])
I(32,33): -2.3786606788635254	 ([unfortunately,][falls])
I(53,54): 2.342773914337158	 ([phone][conversations,])
I(21,32): -2.281132221221924	 ([bad][unfortunately,])
I(34,35): 2.250814437866211	 ([flat][soon.])
I(13,32): -2.1955485343933105	 ([bad][unfortunately,])
I(66): 2.1884384155273438	 ([killer])
I(21,66): -2.007269859313965	 ([bad][killer])
I(2,65): -1.9891917705535889	 ([attack][" attack])
I(21,33): -1.96893310546875	 ([bad][falls])
I(13,18): 1.9125308990478516	 ([bad][comedy])
I(13,35): 1.9122788906097412	 ([bad][soon.])
I(45): -1.8555357456207275	 ([funny,])
I(3,21): -1.8543992042541504	 ([killer][bad])
I(3): 1.8389625549316406	 ([killer])
I(13,15): 1.7742557525634766	 ([bad][fiction])
I(13,66): -1.7280778884887695	 ([bad][killer])
I(13,33): -1.6923127174377441	 ([bad][falls])
I(3,13): -1.6551423072814941	 ([killer][bad])
I(29): 1.6301765441894531	 ([parody])
I(45,60): -1.46903657913208	 ([funny,][cereal,])
I(21,29): -1.4441232681274414	 ([bad][parody])
I(18): -1.4069414138793945	 ([comedy])
I(54): -1.4015942811965942	 ([conversations,])
I(49,50): 1.3681607246398926	 ([situations][funny])
I(25): 1.3675835132598877	 ([supposed])
I(20,24): -1.3313140869140625	 ([fun][movies.])
I(21,63): 1.3011045455932617	 ([bad][lois,])
I(54,60): 1.2836321592330933	 ([conversations,][cereal,])
I(40): 1.2742619514465332	 ([seriously,])
I(2,13): -1.2669575214385986	 ([attack][bad])
I(21,54): 1.2630615234375	 ([bad][conversations,])
I(10): 1.2597813606262207	 ([expecting])
I(45,48): -1.2373073101043701	 ([funny,][jokes])
I(32,40): -1.2156338691711426	 ([unfortunately,][seriously,])
I(54,59): 1.2087620496749878	 ([conversations,][steroid])
I(13,54): 1.2042760848999023	 ([bad][conversations,])
I(18,21): 1.1983518600463867	 ([comedy][bad])
I(29,32): -1.1899747848510742	 ([parody][unfortunately,])
I(50): 1.1748814582824707	 ([funny])
I(22,23): 1.171112298965454	 ([science][fiction])
I(13,29): -1.160475730895996	 ([bad][parody])
I(10,13): -1.137451171875	 ([expecting][bad])
I(65): 1.1322829723358154	 ([" attack])
I(7,8): 1.12980318069458	 ([going][thing])
I(32,66): -1.123030185699463	 ([unfortunately,][killer])
I(39,45): -1.1106526851654053	 ([movie][funny,])
I(2): 1.0996763706207275	 ([attack])
I(14,15): 1.0979883670806885	 ([science][fiction])
I(2,21): -1.0913875102996826	 ([attack][bad])
I(28): 1.0826818943023682	 ([dose])
I(4,67): -1.077296495437622	 ([tomatoes!][tomatoes])
I(21,25): -1.0690433979034424	 ([bad][supposed])
I(2,35): 1.063050389289856	 ([attack][soon.])
I(18,32): 1.062300205230713	 ([comedy][unfortunately,])
I(60,62): 1.0589125156402588	 ([cereal,][walking])
I(21,65): -1.058034896850586	 ([bad][" attack])
I(29,33): -1.0490665435791016	 ([parody][falls])
