---------- Players ----------
Player 0: title
Player 1: like
Player 2: attack
Player 3: killer
Player 4: tomatoes!
Player 5: ",
Player 6: anyone
Player 7: going
Player 8: thing
Player 9: would
Player 10: expecting
Player 11: either
Player 12: a )
Player 13: bad
Player 14: science
Player 15: fiction
Player 16: movie
Player 17: b )
Player 18: comedy
Player 19: making
Player 20: fun
Player 21: bad
Player 22: science
Player 23: fiction
Player 24: movies.
Player 25: supposed
Player 26: mix
Player 27: both,
Player 28: dose
Player 29: parody
Player 30: splashed
Player 31: in.
Player 32: unfortunately,
Player 33: falls
Player 34: flat
Player 35: soon.
Player 36: never
Player 37: supposed
Player 38: take
Player 39: movie
Player 40: seriously,
Player 41: realize
Player 42: that,
Player 43: supposed
Player 44: think
Player 45: funny,
Player 46: right?
Player 47: found
Player 48: jokes
Player 49: situations
Player 50: funny
Player 51: ( i. e,
Player 52: side - by - side
Player 53: phone
Player 54: conversations,
Player 55: russian
Player 56: olympic
Player 57: spy
Player 58: eating
Player 59: steroid
Player 60: cereal,
Player 61: superman
Player 62: walking
Player 63: lois,
Player 64: etc. ).
Player 65: " attack
Player 66: killer
Player 67: tomatoes
Player 68: "
Player 69: strives
---------- Rewards ----------
v(): 2.251527786254883	 ([])
v(0): 1.6079527139663696	 ([title])
v(1): 1.8477914333343506	 ([like])
v(2): 3.3512041568756104	 ([attack])
v(3): 4.090490341186523	 ([killer])
v(4): 2.6062207221984863	 ([tomatoes!])
v(5): 1.739131212234497	 ([",])
v(6): 2.0438966751098633	 ([anyone])
v(7): 2.54990553855896	 ([going])
v(8): 3.115572690963745	 ([thing])
v(9): 2.3211629390716553	 ([would])
v(10): 3.5113091468811035	 ([expecting])
v(11): 2.273418664932251	 ([either])
v(12): 2.160233974456787	 ([a )])
v(13): 5.17613410949707	 ([bad])
v(14): 2.401486873626709	 ([science])
v(15): 2.339665174484253	 ([fiction])
v(16): 2.6166675090789795	 ([movie])
v(17): 2.248635768890381	 ([b )])
v(18): 0.8445863127708435	 ([comedy])
v(19): 2.5292234420776367	 ([making])
v(20): 2.3104279041290283	 ([fun])
v(21): 6.156846046447754	 ([bad])
v(22): 2.3764562606811523	 ([science])
v(23): 2.045269250869751	 ([fiction])
v(24): 3.1239333152770996	 ([movies.])
v(25): 3.6191112995147705	 ([supposed])
v(26): 3.0032126903533936	 ([mix])
v(27): 1.7943267822265625	 ([both,])
v(28): 3.334209680557251	 ([dose])
v(29): 3.881704330444336	 ([parody])
v(30): 2.405104637145996	 ([splashed])
v(31): 2.2158584594726562	 ([in.])
v(32): 5.063056468963623	 ([unfortunately,])
v(33): 4.717554092407227	 ([falls])
v(34): 1.821435809135437	 ([flat])
v(35): -0.4756377637386322	 ([soon.])
v(36): 2.786163330078125	 ([never])
v(37): 2.895676612854004	 ([supposed])
v(38): 2.960946798324585	 ([take])
v(39): 3.0454962253570557	 ([movie])
v(40): 3.525789737701416	 ([seriously,])
v(41): 1.888749122619629	 ([realize])
v(42): 2.2310800552368164	 ([that,])
v(43): 2.0456748008728027	 ([supposed])
v(44): 2.7198853492736816	 ([think])
v(45): 0.3959919810295105	 ([funny,])
v(46): 1.6614084243774414	 ([right?])
v(47): 2.1158502101898193	 ([found])
v(48): 2.006941318511963	 ([jokes])
v(49): 1.3422579765319824	 ([situations])
v(50): 3.4264092445373535	 ([funny])
v(51): 2.100308656692505	 ([( i. e,])
v(52): 2.0940685272216797	 ([side - by - side])
v(53): 2.015303611755371	 ([phone])
v(54): 0.8499335050582886	 ([conversations,])
v(55): 2.021608352661133	 ([russian])
v(56): 1.734018087387085	 ([olympic])
v(57): 2.6404459476470947	 ([spy])
v(58): 2.8127102851867676	 ([eating])
v(59): 2.3297009468078613	 ([steroid])
v(60): 2.2525784969329834	 ([cereal,])
v(61): 1.349367380142212	 ([superman])
v(62): 1.760836124420166	 ([walking])
v(63): 1.2804780006408691	 ([lois,])
v(64): 1.9339865446090698	 ([etc. ).])
v(65): 3.3838107585906982	 ([" attack])
v(66): 4.439966201782227	 ([killer])
v(67): 2.655092716217041	 ([tomatoes])
v(68): 2.5036416053771973	 (["])
v(69): 1.7380867004394531	 ([strives])
v(0,1): 1.3275202512741089	 ([title][like])
v(0,2): 3.589541435241699	 ([title][attack])
v(0,3): 3.6000547409057617	 ([title][killer])
v(0,4): 2.153972625732422	 ([title][tomatoes!])
v(0,5): 1.4647941589355469	 ([title][",])
v(0,6): 1.5475218296051025	 ([title][anyone])
v(0,7): 1.7105482816696167	 ([title][going])
v(0,8): 2.248141288757324	 ([title][thing])
v(0,9): 1.8561804294586182	 ([title][would])
v(0,10): 2.2767319679260254	 ([title][expecting])
v(0,11): 1.6703526973724365	 ([title][either])
v(0,12): 1.5659598112106323	 ([title][a )])
v(0,13): 4.729925632476807	 ([title][bad])
v(0,14): 1.842613935470581	 ([title][science])
v(0,15): 1.6349269151687622	 ([title][fiction])
v(0,16): 2.036522388458252	 ([title][movie])
v(0,17): 1.630057692527771	 ([title][b )])
v(0,18): 0.4828479588031769	 ([title][comedy])
v(0,19): 1.865584135055542	 ([title][making])
v(0,20): 1.7411397695541382	 ([title][fun])
v(0,21): 5.667159080505371	 ([title][bad])
v(0,22): 1.7675034999847412	 ([title][science])
v(0,23): 1.4114558696746826	 ([title][fiction])
v(0,24): 2.6243200302124023	 ([title][movies.])
v(0,25): 2.964322805404663	 ([title][supposed])
v(0,26): 2.3625783920288086	 ([title][mix])
v(0,27): 1.3018666505813599	 ([title][both,])
v(0,28): 2.805133819580078	 ([title][dose])
v(0,29): 3.404355049133301	 ([title][parody])
v(0,30): 1.7727787494659424	 ([title][splashed])
v(0,31): 1.6315011978149414	 ([title][in.])
v(0,32): 4.4839630126953125	 ([title][unfortunately,])
v(0,33): 3.9493706226348877	 ([title][falls])
v(0,34): 1.4267079830169678	 ([title][flat])
v(0,35): -1.2032833099365234	 ([title][soon.])
v(0,36): 2.073424816131592	 ([title][never])
v(0,37): 2.2413597106933594	 ([title][supposed])
v(0,38): 2.2662782669067383	 ([title][take])
