---------- AND Interactions ----------
I(2): 11.714608192443848	 ([verizon])
I(4): 8.782114028930664	 ([consumers])
I(2 4): -8.47278118133545	 ([verizon][consumers])
I(4 10): -8.222813606262207	 ([consumers][phone])
I(4 14): -7.856406211853027	 ([consumers][wireless])
I(2 14): -6.902680397033691	 ([verizon][wireless])
I(11): 6.114227294921875	 ([company.])
I(10 11): -5.668261528015137	 ([phone][company.])
I(2 11): -5.608787536621094	 ([verizon][company.])
I(4 11): -4.802498817443848	 ([consumers][company.])
I(2 5): -3.706854820251465	 ([verizon][america])
I(5): 3.243683338165283	 ([america])
I(11 13): -3.22768497467041	 ([company.][system.])
I(2 10): -3.124112129211426	 ([verizon][phone])
I(4 9): -3.0822978019714355	 ([consumers][mind.])
I(4 6): -3.042417049407959	 ([consumers][get])
I(6 11): -2.905837059020996	 ([get][company.])
I(5 11): -2.78778076171875	 ([america][company.])
I(9 11): 2.7876405715942383	 ([mind.][company.])
I(11 14): -2.7410130500793457	 ([company.][wireless])
I(10 12): -2.727527141571045	 ([phone][bell])
I(12 14): -2.6065783500671387	 ([bell][wireless])
I(12): 2.606032371520996	 ([bell])
I(5 6): -2.0915822982788086	 ([america][get])
I(14 15): -2.041285991668701	 ([wireless][test])
I(4 13): -1.9814386367797852	 ([consumers][system.])
I(2 9): 1.9552202224731445	 ([verizon][mind.])
I(2 12): -1.9523487091064453	 ([verizon][bell])
I(9 10): 1.9374170303344727	 ([mind.][phone])
I(7 11): -1.9303679466247559	 ([clear][company.])
I(4 8): -1.8854856491088867	 ([consumers][pictures])
I(6 12): -1.8670783042907715	 ([get][bell])
I(11 15): -1.8418240547180176	 ([company.][test])
I(20): -1.8086214065551758	 ([now?])
I(20 21): 1.7831707000732422	 ([now?][quot ;])
I(5 10): -1.724501132965088	 ([america][phone])
I(12 13): -1.7224154472351074	 ([bell][system.])
I(4 5): -1.7021431922912598	 ([consumers][america])
I(9): -1.6793723106384277	 ([mind.])
I(11 12): 1.6111507415771484	 ([company.][bell])
I(2 20): 1.5807037353515625	 ([verizon][now?])
I(8 11): -1.564931869506836	 ([pictures][company.])
I(10): -1.5538053512573242	 ([phone])
I(4 20): 1.5349340438842773	 ([consumers][now?])
I(11 20): -1.5024528503417969	 ([company.][now?])
I(5 15): -1.4575304985046387	 ([america][test])
I(4 12): -1.4085664749145508	 ([consumers][bell])
I(9 12): -1.3164591789245605	 ([mind.][bell])
I(10 20): 1.289961814880371	 ([phone][now?])
I(5 14): -1.2641615867614746	 ([america][wireless])
I(14 16): -1.2493762969970703	 ([wireless][guy])
I(4 18): 1.2298126220703125	 ([consumers][quot ; can])
I(4 19): 1.2276263236999512	 ([consumers][hear])
I(9 13): 1.199267864227295	 ([mind.][system.])
I(10 15): -1.1789731979370117	 ([phone][test])
I(17 18): -1.163255214691162	 ([asking,][quot ; can])
I(6): -1.15724515914917	 ([get])
I(12 19): -1.146768569946289	 ([bell][hear])
I(8 9): 1.1453666687011719	 ([pictures][mind.])
I(1): -1.1352863311767578	 ([name])
I(3 4): 1.1343183517456055	 ([,][consumers])
I(4 7): -1.0868635177612305	 ([consumers][clear])
I(12 15): -1.0812077522277832	 ([bell][test])
I(14 17): -1.0721468925476074	 ([wireless][asking,])
I(10 16): -1.0703449249267578	 ([phone][guy])
I(1 14): 1.0573678016662598	 ([name][wireless])
I(5 13): -1.0365614891052246	 ([america][system.])
I(17): 1.0322818756103516	 ([asking,])
I(1 10): 0.9994115829467773	 ([name][phone])
I(9 20): 0.9954533576965332	 ([mind.][now?])
I(5 7): -0.9879355430603027	 ([america][clear])
I(16): 0.9536075592041016	 ([guy])
I(2 6): -0.9432158470153809	 ([verizon][get])
I(2 16): -0.9302768707275391	 ([verizon][guy])
I(9 14): 0.911959171295166	 ([mind.][wireless])
I(13): -0.9066643714904785	 ([system.])
I(0 12): -0.8935627937316895	 ([say][bell])
I(13 14): 0.8827371597290039	 ([system.][wireless])
I(11 21): 0.876500129699707	 ([company.][quot ;])
I(7 12): -0.8665013313293457	 ([clear][bell])
I(1 9): 0.8531670570373535	 ([name][mind.])
I(2 15): -0.8477354049682617	 ([verizon][test])
I(2 17): -0.8468542098999023	 ([verizon][asking,])
I(12 20): -0.8458480834960938	 ([bell][now?])
I(8): -0.8421354293823242	 ([pictures])
I(1 4): 0.8222007751464844	 ([name][consumers])
I(13 20): 0.8163819313049316	 ([system.][now?])
I(15): 0.7848758697509766	 ([test])
I(18 19): -0.7787580490112305	 ([quot ; can][hear])
I(6 15): -0.772000789642334	 ([get][test])
I(4 21): 0.7621831893920898	 ([consumers][quot ;])
I(7 17): -0.7617020606994629	 ([clear][asking,])
I(6 16): -0.7508559226989746	 ([get][guy])
I(1 20): 0.7345714569091797	 ([name][now?])
I(1 2): 0.7277288436889648	 ([name][verizon])
I(0 4): 0.7196645736694336	 ([say][consumers])
I(7 15): -0.7075905799865723	 ([clear][test])
I(8 17): -0.7046728134155273	 ([pictures][asking,])
I(6 13): 0.6994247436523438	 ([get][system.])
I(6 10): 0.6956219673156738	 ([get][phone])
I(5 17): -0.692948579788208	 ([america][asking,])
I(4 15): -0.6748313903808594	 ([consumers][test])
I(19 21): 0.6737008094787598	 ([hear][quot ;])
I(14 20): 0.6658458709716797	 ([wireless][now?])
I(8 12): -0.6650404930114746	 ([pictures][bell])
I(6 20): 0.6590991020202637	 ([get][now?])
I(1 11): -0.6476926803588867	 ([name][company.])
I(5 18): 0.6373782157897949	 ([america][quot ; can])
I(14): 0.635749340057373	 ([wireless])
I(21): 0.619481086730957	 ([quot ;])
I(7 16): -0.619166374206543	 ([clear][guy])
I(0): 0.5920467376708984	 ([say])
I(9 19): 0.5914125442504883	 ([mind.][hear])
I(10 13): 0.5914015769958496	 ([phone][system.])
I(11 17): -0.5860347747802734	 ([company.][asking,])
I(8 16): -0.5684165954589844	 ([pictures][guy])
I(2 8): -0.5668735504150391	 ([verizon][pictures])
I(6 7): 0.5563845634460449	 ([get][clear])
I(0 14): -0.5553526878356934	 ([say][wireless])
I(10 17): -0.5480318069458008	 ([phone][asking,])
I(11 18): 0.5454797744750977	 ([company.][quot ; can])
I(13 18): 0.5297479629516602	 ([system.][quot ; can])
I(2 18): 0.5246181488037109	 ([verizon][quot ; can])
I(2 3): 0.5201644897460938	 ([verizon][,])
I(16 18): 0.49852705001831055	 ([guy][quot ; can])
I(6 9): 0.48090076446533203	 ([get][mind.])
I(13 16): -0.4798722267150879	 ([system.][guy])
I(17 19): -0.4784531593322754	 ([asking,][hear])
I(8 10): 0.46715450286865234	 ([pictures][phone])
I(7): -0.46641969680786133	 ([clear])
I(18 20): 0.46152591705322266	 ([quot ; can][now?])
I(1 13): 0.4600710868835449	 ([name][system.])
I(8 14): 0.452301025390625	 ([pictures][wireless])
I(16 17): -0.44626951217651367	 ([guy][asking,])
I(16 19): 0.44597625732421875	 ([guy][hear])
I(0 1): -0.4437093734741211	 ([say][name])
I(5 9): 0.4431486129760742	 ([america][mind.])
I(5 21): 0.43805551528930664	 ([america][quot ;])
I(1 8): 0.4273848533630371	 ([name][pictures])
I(8 20): 0.4250631332397461	 ([pictures][now?])
I(0 9): 0.4148674011230469	 ([say][mind.])
I(7 20): 0.41469812393188477	 ([clear][now?])
I(7 14): 0.41363048553466797	 ([clear][wireless])
I(0 18): 0.40308094024658203	 ([say][quot ; can])
I(6 17): -0.39391088485717773	 ([get][asking,])
I(4 16): 0.3920879364013672	 ([consumers][guy])
I(2 13): -0.3915681838989258	 ([verizon][system.])
I(1 6): 0.391420841217041	 ([name][get])
I(17 20): -0.3860464096069336	 ([asking,][now?])
I(8 13): 0.3831186294555664	 ([pictures][system.])
I(7 9): 0.37796545028686523	 ([clear][mind.])
I(0 20): -0.37491321563720703	 ([say][now?])
I(19): -0.3724961280822754	 ([hear])
I(1 5): -0.36889123916625977	 ([name][america])
I(12 17): -0.3677704334259033	 ([bell][asking,])
I(11 16): -0.362123966217041	 ([company.][guy])
I(10 18): 0.3594956398010254	 ([phone][quot ; can])
I(15 17): -0.35948944091796875	 ([test][asking,])
I(0 21): 0.35903167724609375	 ([say][quot ;])
I(1 17): -0.35250043869018555	 ([name][asking,])
I(7 10): 0.3441481590270996	 ([clear][phone])
I(15 16): -0.33183860778808594	 ([test][guy])
I(12 16): -0.3295407295227051	 ([bell][guy])
I(1 12): 0.32581043243408203	 ([name][bell])
I(7 13): 0.3250389099121094	 ([clear][system.])
I(9 21): -0.32256603240966797	 ([mind.][quot ;])
I(6 8): 0.3085956573486328	 ([get][pictures])
Sum: -63.94180917739868
==================================================
