---------- Players ----------
Player 0: new
Player 1: batch
Player 2: phone
Player 3: numbers
Player 4: assigned
Player 5: britain
Player 6: accommodate
Player 7: emerging
Player 8: market
Player 9: cheap
Player 10: phone
Player 11: calls
Player 12: internet,
Player 13: uk
Player 14: # 39 ; s
Player 15: media
Player 16: telecoms
Player 17: regulator
Player 18: said
Player 19: monday.
---------- Rewards ----------
v(): 3.7442750930786133	 ([])
v(0): 3.55586838722229	 ([new])
v(1): 2.82492733001709	 ([batch])
v(2): 5.778412342071533	 ([phone])
v(3): 5.010003089904785	 ([numbers])
v(4): 5.212915897369385	 ([assigned])
v(5): 4.344677448272705	 ([britain])
v(6): 3.7891998291015625	 ([accommodate])
v(7): 3.3614704608917236	 ([emerging])
v(8): -0.7668591737747192	 ([market])
v(9): -3.051551580429077	 ([cheap])
v(10): 6.207205772399902	 ([phone])
v(11): 5.3384552001953125	 ([calls])
v(12): 7.2149200439453125	 ([internet,])
v(13): 1.5181300640106201	 ([uk])
v(14): 3.351027488708496	 ([# 39 ; s])
v(15): 2.1837990283966064	 ([media])
v(16): 2.2432737350463867	 ([telecoms])
v(17): -2.6495320796966553	 ([regulator])
v(18): 1.8793730735778809	 ([said])
v(19): -2.0282247066497803	 ([monday.])
v(0 1): 4.408075332641602	 ([new][batch])
v(0 2): 5.839508056640625	 ([new][phone])
v(0 3): 4.607568740844727	 ([new][numbers])
v(0 4): 5.804242134094238	 ([new][assigned])
v(0 5): 4.513663291931152	 ([new][britain])
v(0 6): 4.224496841430664	 ([new][accommodate])
v(0 7): 3.2435736656188965	 ([new][emerging])
v(0 8): -0.237229585647583	 ([new][market])
v(0 9): -2.7994537353515625	 ([new][cheap])
v(0 10): 6.194820404052734	 ([new][phone])
v(0 11): 5.30275821685791	 ([new][calls])
v(0 12): 7.18513298034668	 ([new][internet,])
v(0 13): 2.3092169761657715	 ([new][uk])
v(0 14): 3.4842779636383057	 ([new][# 39 ; s])
v(0 15): 2.8909225463867188	 ([new][media])
v(0 16): 2.805652618408203	 ([new][telecoms])
v(0 17): -3.0919129848480225	 ([new][regulator])
v(0 18): 1.8937041759490967	 ([new][said])
v(0 19): -0.19357717037200928	 ([new][monday.])
v(1 2): 7.025100231170654	 ([batch][phone])
v(1 3): 5.46310567855835	 ([batch][numbers])
v(1 4): 5.525864601135254	 ([batch][assigned])
v(1 5): 5.433537006378174	 ([batch][britain])
v(1 6): 4.2209601402282715	 ([batch][accommodate])
v(1 7): 3.4953880310058594	 ([batch][emerging])
v(1 8): 1.8741663694381714	 ([batch][market])
v(1 9): -0.15604591369628906	 ([batch][cheap])
v(1 10): 6.425511837005615	 ([batch][phone])
v(1 11): 4.312231063842773	 ([batch][calls])
v(1 12): 7.267496585845947	 ([batch][internet,])
v(1 13): 2.8537847995758057	 ([batch][uk])
v(1 14): 3.108192205429077	 ([batch][# 39 ; s])
v(1 15): 3.1128053665161133	 ([batch][media])
v(1 16): 1.6872490644454956	 ([batch][telecoms])
v(1 17): -2.491567850112915	 ([batch][regulator])
v(1 18): 2.2993531227111816	 ([batch][said])
v(1 19): -0.41377270221710205	 ([batch][monday.])
v(2 3): 5.8928046226501465	 ([phone][numbers])
v(2 4): 6.012845993041992	 ([phone][assigned])
v(2 5): 5.867818832397461	 ([phone][britain])
v(2 6): 5.610382080078125	 ([phone][accommodate])
v(2 7): 5.9553070068359375	 ([phone][emerging])
v(2 8): 5.771765232086182	 ([phone][market])
v(2 9): 5.5338945388793945	 ([phone][cheap])
v(2 10): 6.3172993659973145	 ([phone][phone])
v(2 11): 5.761091232299805	 ([phone][calls])
v(2 12): 7.361574649810791	 ([phone][internet,])
v(2 13): 4.602683067321777	 ([phone][uk])
v(2 14): 5.632816314697266	 ([phone][# 39 ; s])
v(2 15): 5.742312431335449	 ([phone][media])
v(2 16): 6.083110332489014	 ([phone][telecoms])
v(2 17): 5.935165882110596	 ([phone][regulator])
v(2 18): 5.469021797180176	 ([phone][said])
v(2 19): 4.790695667266846	 ([phone][monday.])
v(3 4): 5.886366844177246	 ([numbers][assigned])
v(3 5): 4.562286376953125	 ([numbers][britain])
v(3 6): 4.6014604568481445	 ([numbers][accommodate])
v(3 7): 4.5517497062683105	 ([numbers][emerging])
v(3 8): -1.2800863981246948	 ([numbers][market])
v(3 9): -1.1098166704177856	 ([numbers][cheap])
v(3 10): 6.561023712158203	 ([numbers][phone])
v(3 11): 5.992941379547119	 ([numbers][calls])
v(3 12): 7.480284214019775	 ([numbers][internet,])
v(3 13): 2.9287853240966797	 ([numbers][uk])
v(3 14): 4.321404933929443	 ([numbers][# 39 ; s])
v(3 15): 3.5820207595825195	 ([numbers][media])
v(3 16): 3.667921543121338	 ([numbers][telecoms])
v(3 17): 2.373307228088379	 ([numbers][regulator])
v(3 18): 4.1234965324401855	 ([numbers][said])
v(3 19): 0.856046199798584	 ([numbers][monday.])
v(4 5): 5.386317729949951	 ([assigned][britain])
v(4 6): 5.424923896789551	 ([assigned][accommodate])
v(4 7): 5.359982013702393	 ([assigned][emerging])
v(4 8): 1.0941996574401855	 ([assigned][market])
v(4 9): -0.5920182466506958	 ([assigned][cheap])
v(4 10): 6.381328582763672	 ([assigned][phone])
v(4 11): 5.702919006347656	 ([assigned][calls])
v(4 12): 7.5555830001831055	 ([assigned][internet,])
v(4 13): 3.901702642440796	 ([assigned][uk])
v(4 14): 4.753032207489014	 ([assigned][# 39 ; s])
v(4 15): 4.805771350860596	 ([assigned][media])
v(4 16): 4.669395923614502	 ([assigned][telecoms])
v(4 17): 1.2303600311279297	 ([assigned][regulator])
v(4 18): 3.8972692489624023	 ([assigned][said])
v(4 19): 2.712186813354492	 ([assigned][monday.])
v(5 6): 4.348309516906738	 ([britain][accommodate])
v(5 7): 3.743499517440796	 ([britain][emerging])
v(5 8): 0.9729608297348022	 ([britain][market])
v(5 9): -1.9294862747192383	 ([britain][cheap])
v(5 10): 6.5082502365112305	 ([britain][phone])
v(5 11): 5.980902671813965	 ([britain][calls])
v(5 12): 8.120373725891113	 ([britain][internet,])
v(5 13): 2.924899101257324	 ([britain][uk])
v(5 14): 4.334089756011963	 ([britain][# 39 ; s])
v(5 15): 3.294987916946411	 ([britain][media])
v(5 16): 2.495743751525879	 ([britain][telecoms])
v(5 17): -0.16316258907318115	 ([britain][regulator])
v(5 18): 2.6189653873443604	 ([britain][said])
v(5 19): -0.13022160530090332	 ([britain][monday.])
v(6 7): 4.358150005340576	 ([accommodate][emerging])
v(6 8): 0.07843232154846191	 ([accommodate][market])
v(6 9): -0.6935865879058838	 ([accommodate][cheap])
v(6 10): 6.2930474281311035	 ([accommodate][phone])
v(6 11): 5.000213623046875	 ([accommodate][calls])
v(6 12): 7.223653793334961	 ([accommodate][internet,])
v(6 13): 2.3690314292907715	 ([accommodate][uk])
v(6 14): 3.2538065910339355	 ([accommodate][# 39 ; s])
v(6 15): 2.6931605339050293	 ([accommodate][media])
v(6 16): 2.9681549072265625	 ([accommodate][telecoms])
v(6 17): -2.2154481410980225	 ([accommodate][regulator])
v(6 18): 2.628696918487549	 ([accommodate][said])
v(6 19): -0.5494289398193359	 ([accommodate][monday.])
v(7 8): -1.8846913576126099	 ([emerging][market])
v(7 9): -3.269353151321411	 ([emerging][cheap])
v(7 10): 6.199336528778076	 ([emerging][phone])
v(7 11): 5.754327297210693	 ([emerging][calls])
v(7 12): 6.754020690917969	 ([emerging][internet,])
v(7 13): 1.60492742061615	 ([emerging][uk])
v(7 14): 2.794888973236084	 ([emerging][# 39 ; s])
v(7 15): 1.4649289846420288	 ([emerging][media])
v(7 16): 1.6183981895446777	 ([emerging][telecoms])
v(7 17): -2.442021369934082	 ([emerging][regulator])
v(7 18): 2.142340660095215	 ([emerging][said])
v(7 19): -1.7444274425506592	 ([emerging][monday.])
v(8 9): -0.5929396152496338	 ([market][cheap])
v(8 10): 6.292379856109619	 ([market][phone])
v(8 11): 3.04343843460083	 ([market][calls])
v(8 12): 6.634835243225098	 ([market][internet,])
v(8 13): -0.7467135190963745	 ([market][uk])
v(8 14): -0.07619094848632812	 ([market][# 39 ; s])
v(8 15): -0.07880067825317383	 ([market][media])
v(8 16): -0.7832024097442627	 ([market][telecoms])
v(8 17): -5.985721111297607	 ([market][regulator])
v(8 18): -0.29453420639038086	 ([market][said])
v(8 19): -4.969769477844238	 ([market][monday.])
v(9 10): 7.108867645263672	 ([cheap][phone])
v(9 11): 1.8782731294631958	 ([cheap][calls])
v(9 12): 6.846400737762451	 ([cheap][internet,])
v(9 13): -3.7397422790527344	 ([cheap][uk])
v(9 14): -3.2906484603881836	 ([cheap][# 39 ; s])
v(9 15): -3.175747871398926	 ([cheap][media])
v(9 16): -4.55276346206665	 ([cheap][telecoms])
v(9 17): -5.163745880126953	 ([cheap][regulator])
v(9 18): -4.016874313354492	 ([cheap][said])
v(9 19): -5.982751846313477	 ([cheap][monday.])
v(10 11): 4.385519027709961	 ([phone][calls])
v(10 12): 7.355470180511475	 ([phone][internet,])
v(10 13): 5.188366889953613	 ([phone][uk])
v(10 14): 5.707477569580078	 ([phone][# 39 ; s])
v(10 15): 5.703532695770264	 ([phone][media])
v(10 16): 5.754908561706543	 ([phone][telecoms])
v(10 17): 5.712956428527832	 ([phone][regulator])
v(10 18): 5.609490871429443	 ([phone][said])
v(10 19): 5.083879470825195	 ([phone][monday.])
v(11 12): 6.012516498565674	 ([calls][internet,])
v(11 13): 4.361249923706055	 ([calls][uk])
v(11 14): 4.74373197555542	 ([calls][# 39 ; s])
v(11 15): 3.7254600524902344	 ([calls][media])
v(11 16): 4.5316901206970215	 ([calls][telecoms])
v(11 17): 0.2565600872039795	 ([calls][regulator])
v(11 18): 4.344970703125	 ([calls][said])
v(11 19): 0.9626609086990356	 ([calls][monday.])
v(12 13): 7.602278232574463	 ([internet,][uk])
v(12 14): 7.053897857666016	 ([internet,][# 39 ; s])
v(12 15): 6.280947208404541	 ([internet,][media])
v(12 16): 6.371057987213135	 ([internet,][telecoms])
v(12 17): 5.436976432800293	 ([internet,][regulator])
v(12 18): 6.898169040679932	 ([internet,][said])
v(12 19): 6.510761260986328	 ([internet,][monday.])
v(13 14): 3.6160666942596436	 ([uk][# 39 ; s])
v(13 15): 0.9920065402984619	 ([uk][media])
v(13 16): -0.15465712547302246	 ([uk][telecoms])
v(13 17): -4.058331489562988	 ([uk][regulator])
v(13 18): 0.1999351978302002	 ([uk][said])
v(13 19): -2.7791974544525146	 ([uk][monday.])
v(14 15): 1.8586158752441406	 ([# 39 ; s][media])
v(14 16): 1.772110104560852	 ([# 39 ; s][telecoms])
v(14 17): -1.6934194564819336	 ([# 39 ; s][regulator])
v(14 18): 1.4606775045394897	 ([# 39 ; s][said])
v(14 19): -0.5210239887237549	 ([# 39 ; s][monday.])
v(15 16): 0.747211217880249	 ([media][telecoms])
v(15 17): -4.945197105407715	 ([media][regulator])
v(15 18): 1.0785471200942993	 ([media][said])
v(15 19): -2.8940086364746094	 ([media][monday.])
v(16 17): -2.499889850616455	 ([telecoms][regulator])
v(16 18): 1.2267799377441406	 ([telecoms][said])
v(16 19): -2.2706973552703857	 ([telecoms][monday.])
v(17 18): -3.131978988647461	 ([regulator][said])
v(17 19): -7.59672737121582	 ([regulator][monday.])
v(18 19): -2.6763951778411865	 ([said][monday.])
---------- Rewards-v() ----------
v(17 19): -11.341002464294434, EP: 1.7663267850875854	 ([regulator][monday.])
v(8 17): -9.729995727539062, EP: 1.5154173374176025	 ([market][regulator])
v(9 19): -9.72702693939209, EP: 1.5149550437927246	 ([cheap][monday.])
v(9 17): -8.908020973205566, EP: 1.387397289276123	 ([cheap][regulator])
v(8 19): -8.714044570922852, EP: 1.3571860790252686	 ([market][monday.])
v(15 17): -8.689472198486328, EP: 1.3533589839935303	 ([media][regulator])
v(9 16): -8.297039031982422, EP: 1.292238712310791	 ([cheap][telecoms])
v(13 17): -7.802606582641602, EP: 1.2152323722839355	 ([uk][regulator])
v(9 18): -7.7611494064331055, EP: 1.208775520324707	 ([cheap][said])
v(9 13): -7.484017372131348, EP: 1.165613055229187	 ([cheap][uk])
v(9 14): -7.034923553466797, EP: 1.095668077468872	 ([cheap][# 39 ; s])
v(7 9): -7.013628005981445, EP: 1.0923513174057007	 ([emerging][cheap])
v(9 15): -6.920022964477539, EP: 1.077772617340088	 ([cheap][media])
v(17 18): -6.876254081726074, EP: 1.070955753326416	 ([regulator][said])
v(0 17): -6.836188316345215, EP: 1.0647156238555908	 ([new][regulator])
v(9): -6.7958269119262695, EP: 1.058429479598999	 ([cheap])
v(15 19): -6.638283729553223, EP: 1.0338926315307617	 ([media][monday.])
v(0 9): -6.543728828430176, EP: 1.0191659927368164	 ([new][cheap])
v(13 19): -6.523472785949707, EP: 1.016011118888855	 ([uk][monday.])
v(18 19): -6.420670509338379, EP: 1.0	 ([said][monday.])
v(17): -6.393807411193848, EP: 0.995816171169281	 ([regulator])
v(16 17): -6.244164943695068, EP: 0.9725098013877869	 ([telecoms][regulator])
v(1 17): -6.235842704772949, EP: 0.9712136387825012	 ([batch][regulator])
v(7 17): -6.186296463012695, EP: 0.9634969234466553	 ([emerging][regulator])
v(16 19): -6.014972686767578, EP: 0.9368137717247009	 ([telecoms][monday.])
v(6 17): -5.959723472595215, EP: 0.9282088875770569	 ([accommodate][regulator])
v(19): -5.772500038146973, EP: 0.8990494012832642	 ([monday.])
v(5 9): -5.673761367797852, EP: 0.8836711645126343	 ([britain][cheap])
v(7 8): -5.628966331481934, EP: 0.8766944408416748	 ([emerging][market])
v(7 19): -5.488702774047852, EP: 0.8548488616943359	 ([emerging][monday.])
v(14 17): -5.437694549560547, EP: 0.846904456615448	 ([# 39 ; s][regulator])
v(3 8): -5.024361610412598, EP: 0.7825291156768799	 ([numbers][market])
v(3 9): -4.854091644287109, EP: 0.7560100555419922	 ([numbers][cheap])
v(8 16): -4.527477264404297, EP: 0.7051408886909485	 ([market][telecoms])
v(8): -4.511134147644043, EP: 0.7025954723358154	 ([market])
v(8 13): -4.490988731384277, EP: 0.6994578838348389	 ([market][uk])
v(6 9): -4.437861442565918, EP: 0.6911835074424744	 ([accommodate][cheap])
v(5 12): 4.3760986328125, EP: -0.6815640926361084	 ([britain][internet,])
