---------- AND Interactions ----------
I(9 10): 7.697488784790039	 ([cheap][phone])
I(8 9): 6.9697465896606445	 ([market][cheap])
I(9): -6.7958269119262695	 ([cheap])
I(2 9): 6.551309108734131	 ([phone][cheap])
I(2 17): 6.550560474395752	 ([phone][regulator])
I(9 12): 6.427307605743408	 ([cheap][internet,])
I(17): -6.393807411193848	 ([regulator])
I(10 17): 5.899558067321777	 ([phone][regulator])
I(19): -5.772500038146973	 ([monday.])
I(12 19): 5.068341255187988	 ([internet,][monday.])
I(2 19): 4.784783363342285	 ([phone][monday.])
I(10 19): 4.649173736572266	 ([phone][monday.])
I(12 17): 4.615863800048828	 ([internet,][regulator])
I(8 10): 4.59630823135376	 ([market][phone])
I(8): -4.511134147644043	 ([market])
I(2 8): 4.504487037658691	 ([phone][market])
I(9 17): 4.281613349914551	 ([cheap][regulator])
I(8 12): 3.931049346923828	 ([market][internet,])
I(1 9): 3.8148536682128906	 ([batch][cheap])
I(3 17): 3.7571115493774414	 ([numbers][regulator])
I(1 8): 3.560373306274414	 ([batch][market])
I(12): 3.470644950866699	 ([internet,])
I(10 11): -3.4158668518066406	 ([phone][calls])
I(9 11): 3.3356447219848633	 ([cheap][calls])
I(4 19): 3.27177095413208	 ([assigned][monday.])
I(9 19): 2.8413000106811523	 ([cheap][monday.])
I(11 12): -2.796583652496338	 ([calls][internet,])
I(12 13): 2.6135034561157227	 ([internet,][uk])
I(1 19): 2.5338001251220703	 ([batch][monday.])
I(13 14): 2.4911842346191406	 ([uk][# 39 ; s])
I(10): 2.462930679321289	 ([phone])
I(4 17): 2.4112515449523926	 ([assigned][regulator])
I(8 18): 2.3372268676757812	 ([market][said])
I(10 12): -2.322380542755127	 ([phone][internet,])
I(6 9): 2.3130407333374023	 ([accommodate][cheap])
I(1 13): 2.255002498626709	 ([batch][uk])
I(8 15): 2.2485344409942627	 ([market][media])
I(8 13): 2.246290445327759	 ([market][uk])
I(13): -2.226145029067993	 ([uk])
I(8 11): 2.2161173820495605	 ([market][calls])
I(1 2): 2.1660356521606445	 ([batch][phone])
I(2): 2.03413724899292	 ([phone])
I(0 19): 2.023054599761963	 ([new][monday.])
I(1 5): 2.008207321166992	 ([batch][britain])
I(2 10): -1.9240436553955078	 ([phone][phone])
I(14 19): 1.9004487991333008	 ([# 39 ; s][monday.])
I(2 12): -1.8874826431274414	 ([phone][internet,])
I(5 17): 1.8859672546386719	 ([britain][regulator])
I(18): -1.8649020195007324	 ([said])
I(1 15): 1.8483541011810303	 ([batch][media])
I(2 16): 1.805699348449707	 ([phone][telecoms])
I(3 8): -1.7789554595947266	 ([numbers][market])
I(0 1): 1.771554708480835	 ([new][batch])
I(16 17): 1.6506438255310059	 ([telecoms][regulator])
I(3 19): 1.6185431480407715	 ([numbers][monday.])
I(2 11): -1.6115012168884277	 ([phone][calls])
I(11): 1.5941801071166992	 ([calls])
I(8 19): 1.569589614868164	 ([market][monday.])
I(15): -1.5604760646820068	 ([media])
I(2 18): 1.555511474609375	 ([phone][said])
I(12 18): 1.5481510162353516	 ([internet,][said])
I(9 13): 1.537954330444336	 ([cheap][uk])
I(2 15): 1.5243761539459229	 ([phone][media])
I(16): -1.5010013580322266	 ([telecoms])
I(8 16): 1.4846582412719727	 ([market][telecoms])
I(13 19): 1.4751720428466797	 ([uk][monday.])
I(4): 1.4686408042907715	 ([assigned])
I(9 15): 1.4362800121307373	 ([cheap][media])
I(6 19): 1.4338712692260742	 ([accommodate][monday.])
I(11 19): 1.3967056274414062	 ([calls][monday.])
I(17 18): 1.3824548721313477	 ([regulator][said])
I(1 3): 1.372450351715088	 ([batch][numbers])
I(1 6): 1.3511080741882324	 ([batch][accommodate])
I(14 17): 1.349360466003418	 ([# 39 ; s][regulator])
I(1 18): 1.3393278121948242	 ([batch][said])
I(11 17): 1.3119125366210938	 ([calls][regulator])
I(5 19): 1.2976009845733643	 ([britain][monday.])
I(4 10): -1.294517993927002	 ([assigned][phone])
I(10 18): 1.2671871185302734	 ([phone][said])
I(3): 1.2657279968261719	 ([numbers])
I(16 19): 1.258528709411621	 ([telecoms][monday.])
I(11 13): 1.2489397525787354	 ([calls][uk])
