---------- AND Interactions ----------
I(31): 6.842802047729492	 ([crap.])
I(1,31): -5.2479143142700195	 ([bad][crap.])
I(1): 5.161550998687744	 ([bad])
I(26): 4.999443054199219	 ([damn])
I(26,31): -4.730574607849121	 ([damn][crap.])
I(1,26): -4.380845546722412	 ([bad][damn])
I(1,2): -4.194810390472412	 ([bad][hurts.])
I(2): 4.054121494293213	 ([hurts.])
I(2,31): -3.9069018363952637	 ([hurts.][crap.])
I(29,30): 3.8614625930786133	 ([nothing][credible])
I(2,26): -3.2616071701049805	 ([hurts.][damn])
I(24,26): -1.9518518447875977	 ([morons][damn])
I(24,31): -1.8903942108154297	 ([morons][crap.])
I(24): 1.822361707687378	 ([morons])
I(22,30): 1.7722361087799072	 ([shoulder... can't][credible])
I(0,22): 1.71322762966156	 ([movie][shoulder... can't])
I(1,24): -1.7024996280670166	 ([bad][morons])
I(22): 1.4296232461929321	 ([shoulder... can't])
I(2,24): -1.343888521194458	 ([hurts.][morons])
I(33): 1.1854796409606934	 ([ashamed])
I(1,22): -1.1105161905288696	 ([bad][shoulder... can't])
I(1,33): -1.0986108779907227	 ([bad][ashamed])
I(20,21): 1.0916129350662231	 ([cell][phone])
I(0,2): 1.0579876899719238	 ([movie][hurts.])
I(2,22): -1.0268532037734985	 ([hurts.][shoulder... can't])
I(22,31): -0.9362903833389282	 ([shoulder... can't][crap.])
I(31,33): -0.9340023994445801	 ([crap.][ashamed])
I(26,33): -0.8944387435913086	 ([damn][ashamed])
I(2,3): -0.8682003021240234	 ([hurts.][car])
I(2,33): -0.8532881736755371	 ([hurts.][ashamed])
I(2,14): 0.8079071640968323	 ([hurts.][park! ),])
I(14,26): 0.7980742454528809	 ([park! ),][damn])
I(22,27): -0.7745991349220276	 ([shoulder... can't][phone?])
I(22,33): -0.7729257345199585	 ([shoulder... can't][ashamed])
I(26,29): -0.7688694000244141	 ([damn][nothing])
I(17,19): 0.7614773511886597	 ([almost][hours])
I(36,37): -0.7454913258552551	 ([like][this!])
I(22,35): 0.7030912637710571	 ([shoulder... can't][movie])
I(2,16): 0.6764407157897949	 ([hurts.][drives])
I(4): 0.6640987396240234	 ([30])
I(8,26): 0.6543025970458984	 ([100...][damn])
I(0,6): 0.652826726436615	 ([movie][supposed])
I(1,4): -0.6433615684509277	 ([bad][30])
I(15): 0.6368299722671509	 ([nurse])
I(32,35): 0.6359174847602844	 ([would][movie])
I(1,14): 0.6306906342506409	 ([bad][park! ),])
I(4,31): -0.6213812828063965	 ([30][crap.])
I(5): 0.6047821044921875	 ([mph])
I(12,26): -0.6032857894897461	 ([stuck][damn])
I(14): -0.5916667580604553	 ([park! ),])
I(29,33): -0.5866056680679321	 ([nothing][ashamed])
I(14,31): 0.5767360329627991	 ([park! ),][crap.])
I(22,29): -0.5740976333618164	 ([shoulder... can't][nothing])
I(4,5): -0.5723768472671509	 ([30][mph])
I(3,5): -0.5687836408615112	 ([car][mph])
I(3): 0.568702220916748	 ([car])
I(19,33): 0.5637528896331787	 ([hours][ashamed])
I(2,4): -0.5600671768188477	 ([hurts.][30])
I(22,37): 0.5529561042785645	 ([shoulder... can't][this!])
I(4,26): -0.54779052734375	 ([30][damn])
I(5,15): 0.5433977842330933	 ([mph][nurse])
I(20): -0.5413111448287964	 ([cell])
I(0,1): 0.5310969352722168	 ([movie][bad])
I(29): 0.525066614151001	 ([nothing])
I(33,35): 0.5240786075592041	 ([ashamed][movie])
I(15,31): -0.5231671333312988	 ([nurse][crap.])
I(0,33): 0.5221254825592041	 ([movie][ashamed])
I(12,31): -0.5123577117919922	 ([stuck][crap.])
I(33,37): 0.5115526914596558	 ([ashamed][this!])
