---------- Players ----------
Player 0: suggest
Player 1: anton
Player 2: newcombe
Player 3: brian
Player 4: jonestown
Player 5: massacre
Player 6: could
Player 7: also
Player 8: use
Player 9: therapy
Player 10: putting
Player 11: mildly.
Player 12: dig!
Player 13: grand
Player 14: jury
Player 15: prize
Player 16: sundance,
Player 17: watch
Player 18: band
Player 19: self - sabotage
Player 20: seven
Player 21: years,
Player 22: ex - friends
Player 23: contemporaries
Player 24: dandy
Player 25: warhols
Player 26: rise
Player 27: comparative
Player 28: greatness
Player 29: ( a
Player 30: mobile
Player 31: phone
Player 32: advert,
Player 33: anyway ).
Player 34: elevates
Player 35: dig!
Player 36: contemporaries
Player 37: immense,
Player 38: near - biblical
Player 39: comic - tragedy
Player 40: played
Player 41: out :
Player 42: depressingly
Player 43: honest
Player 44: treatise
Player 45: art
Player 46: versus
Player 47: commerce
Player 48: compromise.
Player 49: look
Player 50: me,
Player 51: i'm
Player 52: bloody
Player 53: genius
Player 54: "
Player 55: posturing,
Player 56: newcombe
Player 57: fact
Player 58: revealed
Player 59: singularly
Player 60: gifted,
Player 61: immensely
Player 62: troubled,
Player 63: musician
Player 64: -
Player 65: far
Player 66: talented
Player 67: rival,
Player 68: dandy's
Player 69: courtney
Player 70: taylor
---------- Rewards ----------
v(): -1.4072906970977783	 ([])
v(0): -1.8010220527648926	 ([suggest])
v(1): -1.4333289861679077	 ([anton])
v(2): -0.8417878150939941	 ([newcombe])
v(3): -0.8984637260437012	 ([brian])
v(4): -1.2717015743255615	 ([jonestown])
v(5): -2.577617645263672	 ([massacre])
v(6): -1.3181920051574707	 ([could])
v(7): -1.2639597654342651	 ([also])
v(8): -1.5108925104141235	 ([use])
v(9): -1.3198376893997192	 ([therapy])
v(10): -1.1243436336517334	 ([putting])
v(11): -2.3436102867126465	 ([mildly.])
v(12): -1.7169113159179688	 ([dig!])
v(13): -1.0441908836364746	 ([grand])
v(14): -2.0677926540374756	 ([jury])
v(15): -1.8600099086761475	 ([prize])
v(16): -2.0794973373413086	 ([sundance,])
v(17): -1.3301444053649902	 ([watch])
v(18): -1.6659939289093018	 ([band])
v(19): -1.9693739414215088	 ([self - sabotage])
v(20): -1.332703948020935	 ([seven])
v(21): -0.6068289875984192	 ([years,])
v(22): -1.2110214233398438	 ([ex - friends])
v(23): -0.7045934200286865	 ([contemporaries])
v(24): -0.45777860283851624	 ([dandy])
v(25): -1.7638602256774902	 ([warhols])
v(26): -0.9551354646682739	 ([rise])
v(27): -1.7162320613861084	 ([comparative])
v(28): -0.6701996326446533	 ([greatness])
v(29): -1.2832164764404297	 ([( a])
v(30): -1.3666459321975708	 ([mobile])
v(31): -1.5366597175598145	 ([phone])
v(32): -3.11983585357666	 ([advert,])
v(33): -1.1077766418457031	 ([anyway ).])
v(34): 1.106378197669983	 ([elevates])
v(35): -1.289629578590393	 ([dig!])
v(36): -0.6281118988990784	 ([contemporaries])
v(37): -0.014987349510192871	 ([immense,])
v(38): -1.5483018159866333	 ([near - biblical])
v(39): -1.5821372270584106	 ([comic - tragedy])
v(40): -1.4075369834899902	 ([played])
v(41): -2.20792293548584	 ([out :])
v(42): -4.1441779136657715	 ([depressingly])
v(43): -1.2843046188354492	 ([honest])
v(44): -0.09494215250015259	 ([treatise])
v(45): -0.9324765205383301	 ([art])
v(46): -1.8863418102264404	 ([versus])
v(47): -0.88788902759552	 ([commerce])
v(48): -0.5259616374969482	 ([compromise.])
v(49): -2.1939613819122314	 ([look])
v(50): -1.2392445802688599	 ([me,])
v(51): -1.4885333776474	 ([i'm])
v(52): -2.9909706115722656	 ([bloody])
v(53): -1.0878881216049194	 ([genius])
v(54): -1.5778160095214844	 (["])
v(55): -1.508293628692627	 ([posturing,])
v(56): -1.3603144884109497	 ([newcombe])
v(57): -1.217665433883667	 ([fact])
v(58): -1.9218472242355347	 ([revealed])
v(59): -1.2441431283950806	 ([singularly])
v(60): -1.1025328636169434	 ([gifted,])
v(61): -1.2141337394714355	 ([immensely])
v(62): -0.5051723122596741	 ([troubled,])
v(63): -1.4689189195632935	 ([musician])
v(64): -1.3090498447418213	 ([-])
v(65): -1.0077229738235474	 ([far])
v(66): -1.6733002662658691	 ([talented])
v(67): -1.73835027217865	 ([rival,])
v(68): -0.7084941864013672	 ([dandy's])
v(69): -2.1593735218048096	 ([courtney])
v(70): -1.6837689876556396	 ([taylor])
v(0,1): -2.164194107055664	 ([suggest][anton])
v(0,2): -1.497290849685669	 ([suggest][newcombe])
v(0,3): -1.481586217880249	 ([suggest][brian])
v(0,4): -1.8782033920288086	 ([suggest][jonestown])
v(0,5): -3.029557228088379	 ([suggest][massacre])
v(0,6): -1.798781394958496	 ([suggest][could])
v(0,7): -1.7387254238128662	 ([suggest][also])
v(0,8): -1.7899327278137207	 ([suggest][use])
v(0,9): -2.2044196128845215	 ([suggest][therapy])
v(0,10): -1.4543465375900269	 ([suggest][putting])
v(0,11): -2.399360418319702	 ([suggest][mildly.])
v(0,12): -2.174285650253296	 ([suggest][dig!])
v(0,13): -1.4107266664505005	 ([suggest][grand])
v(0,14): -2.4365592002868652	 ([suggest][jury])
v(0,15): -2.1927051544189453	 ([suggest][prize])
v(0,16): -2.535463809967041	 ([suggest][sundance,])
v(0,17): -1.7662768363952637	 ([suggest][watch])
v(0,18): -2.0680360794067383	 ([suggest][band])
v(0,19): -2.181691884994507	 ([suggest][self - sabotage])
v(0,20): -1.7069118022918701	 ([suggest][seven])
v(0,21): -1.0484716892242432	 ([suggest][years,])
v(0,22): -1.7797359228134155	 ([suggest][ex - friends])
v(0,23): -1.2446913719177246	 ([suggest][contemporaries])
v(0,24): -0.8262159824371338	 ([suggest][dandy])
v(0,25): -2.1739554405212402	 ([suggest][warhols])
v(0,26): -1.5321892499923706	 ([suggest][rise])
v(0,27): -2.0600500106811523	 ([suggest][comparative])
v(0,28): -1.2848031520843506	 ([suggest][greatness])
v(0,29): -1.6646862030029297	 ([suggest][( a])
v(0,30): -1.8320469856262207	 ([suggest][mobile])
v(0,31): -1.926750898361206	 ([suggest][phone])
v(0,32): -3.4271562099456787	 ([suggest][advert,])
v(0,33): -1.6287492513656616	 ([suggest][anyway ).])
v(0,34): 0.6415668725967407	 ([suggest][elevates])
v(0,35): -1.73726487159729	 ([suggest][dig!])
v(0,36): -1.1079517602920532	 ([suggest][contemporaries])
v(0,37): -0.6907075047492981	 ([suggest][immense,])
v(0,38): -1.9548367261886597	 ([suggest][near - biblical])
v(0,39): -2.0182700157165527	 ([suggest][comic - tragedy])
v(0,40): -1.668574333190918	 ([suggest][played])
v(0,41): -2.4519171714782715	 ([suggest][out :])
v(0,42): -4.293707847595215	 ([suggest][depressingly])
v(0,43): -1.6836268901824951	 ([suggest][honest])
v(0,44): -0.6388007402420044	 ([suggest][treatise])
v(0,45): -1.3520005941390991	 ([suggest][art])
v(0,46): -2.189560890197754	 ([suggest][versus])
v(0,47): -1.304660439491272	 ([suggest][commerce])
v(0,48): -1.0693871974945068	 ([suggest][compromise.])
v(0,49): -2.582413673400879	 ([suggest][look])
v(0,50): -1.7380493879318237	 ([suggest][me,])
v(0,51): -1.9436204433441162	 ([suggest][i'm])
v(0,52): -3.4215474128723145	 ([suggest][bloody])
v(0,53): -1.565185785293579	 ([suggest][genius])
v(0,54): -1.9625186920166016	 ([suggest]["])
v(0,55): -1.906355619430542	 ([suggest][posturing,])
v(0,56): -1.7730435132980347	 ([suggest][newcombe])
v(0,57): -1.6186983585357666	 ([suggest][fact])
v(0,58): -2.404026985168457	 ([suggest][revealed])
v(0,59): -1.6161926984786987	 ([suggest][singularly])
v(0,60): -1.6727240085601807	 ([suggest][gifted,])
v(0,61): -1.5609440803527832	 ([suggest][immensely])
v(0,62): -1.0636802911758423	 ([suggest][troubled,])
v(0,63): -1.9608728885650635	 ([suggest][musician])
v(0,64): -1.726366639137268	 ([suggest][-])
v(0,65): -1.4186614751815796	 ([suggest][far])
