---------- AND Interactions ----------
I(w): -3.2403712272644043	 ([bored])
I(f): -2.9562056064605713	 ([ridiculous,])
I(QR): 2.805338144302368	 ([genius][humor.])
I(lm): 2.622887372970581	 ([strange][way.])
I(EF): -2.5231850147247314	 ([laughing][throughout.])
I(sw): -2.1575541496276855	 ([emotional][bored])
I(bf): -1.7157232761383057	 ([movie][ridiculous,])
I(s): 1.6090850830078125	 ([emotional])
I(ow): -1.5328104496002197	 ([movie][bored])
I(AB): 1.5117135047912598	 ([certain][genius])
I(Q): 1.4371886253356934	 ([genius])
I(DF): -1.4098773002624512	 ([movie.][throughout.])
I(rw): 1.3992691040039062	 ([communicate][bored])
I(BD): 1.359694480895996	 ([genius][movie.])
I(BQ): -1.3012089729309082	 ([genius][genius])
I(l): -1.2887645959854126	 ([strange])
I(q): -1.2377805709838867	 ([entertaining])
I(tw): -1.1087851524353027	 ([level?][bored])
I(ij): 1.0980772972106934	 ([actually][coherent])
I(fh): 1.094921588897705	 ([ridiculous,][idea])
I(fw): 1.0912158489227295	 ([ridiculous,][bored])
I(Bw): -1.0712385177612305	 ([genius][bored])
I(Qf): 1.0625290870666504	 ([genius][ridiculous,])
I(fl): 1.035237193107605	 ([ridiculous,][strange])
I(Lw): -1.0022938251495361	 ([love][bored])
I(OR): 1.0009273290634155	 ([nice][humor.])
I(Rw): -0.9797122478485107	 ([humor.][bored])
I(jl): -0.9464434385299683	 ([coherent][strange])
I(km): 0.9309543967247009	 ([story][way.])
I(Ow): -0.8910070061683655	 ([nice][bored])
I(bw): -0.8896746635437012	 ([movie][bored])
I(jm): 0.8854226469993591	 ([coherent][way.])
I(wx): -0.8818352222442627	 ([bored][many])
I(nw): 0.8816432952880859	 ([point][bored])
I(Ew): -0.8695363998413086	 ([laughing][bored])
I(CD): -0.8669067621231079	 ([behind][movie.])
I(Mw): 0.8644371628761292	 ([heals][bored])
I(Dw): -0.85693359375	 ([movie.][bored])
I(st): -0.800288200378418	 ([emotional][level?])
I(gh): 0.7706635594367981	 ([sweet][idea])
I(lw): 0.7666841745376587	 ([strange][bored])
I(N): -0.7663291692733765	 ([doppelganger])
I(L): 0.7504841685295105	 ([love])
I(ST): -0.7438093423843384	 ([execution][poor,])
I(kw): -0.739346981048584	 ([story][bored])
I(qw): -0.7373766899108887	 ([entertaining][bored])
I(x): 0.731377899646759	 ([many])
I(fg): 0.7114091515541077	 ([ridiculous,][sweet])
I(bp): 0.7088420391082764	 ([movie][logical])
I(k): 0.6995338797569275	 ([story])
I(Qb): 0.696147620677948	 ([genius][movie])
I(PR): -0.6870973110198975	 ([attempt][humor.])
I(S): -0.681384265422821	 ([execution])
I(cf): 0.6803567409515381	 ([say][ridiculous,])
I(rs): -0.6712527275085449	 ([communicate][emotional])
I(b): -0.6667386889457703	 ([movie])
I(Gw): -0.6600914001464844	 ([scene][bored])
I(Y): -0.658791184425354	 ([doppelganger])
I(a): -0.6021953821182251	 ([see])
I(uw): -0.599907636642456	 ([i'm][bored])
I(Qq): 0.5871352553367615	 ([genius][entertaining])
I(R): 0.5681775212287903	 ([humor.])
I(\]): -0.5671080946922302	 ([like...][ok,])
I(`): -0.5561156868934631	 ([let's])
I(B): 0.549342930316925	 ([genius])
I(Rk): -0.5491364598274231	 ([humor.][story])
I(c): -0.5489104986190796	 ([say])
I(bq): -0.5341687202453613	 ([movie][entertaining])
I(vw): 0.5266001224517822	 ([easily][bored])
I(Sw): 0.5245144367218018	 ([execution][bored])
I(Jw): -0.5238028168678284	 ([office,][bored])
I(fo): -0.5126904845237732	 ([ridiculous,][movie])
I(Jb): -0.49430549144744873	 ([office,][movie])
I(MQ): 0.4847736358642578	 ([heals][genius])
I(Yf): 0.4844095706939697	 ([doppelganger][ridiculous,])
I(hj): 0.47943437099456787	 ([idea][coherent])
I(Is): -0.47140973806381226	 ([sex][emotional])
I(fj): -0.4712046980857849	 ([ridiculous,][coherent])
I(ko): -0.4692651033401489	 ([story][movie])
I(gk): 0.46624356508255005	 ([sweet][story])
I(Xf): 0.4651627540588379	 ([talent.][ridiculous,])
I(Ls): -0.45898574590682983	 ([love][emotional])
I(AD): 0.44855648279190063	 ([certain][movie.])
I(C): -0.4467202126979828	 ([behind])
I(df): 0.4459395408630371	 ([".][ridiculous,])
I(r): 0.44282442331314087	 ([communicate])
I(So): -0.44160234928131104	 ([execution][movie])
I(Iw): -0.43987783789634705	 ([sex][bored])
I(Df): 0.43944358825683594	 ([movie.][ridiculous,])
I(GT): 0.43896931409835815	 ([scene][poor,])
I(Yl): 0.43127191066741943	 ([doppelganger][strange])
I(Mf): 0.4294965863227844	 ([heals][ridiculous,])
I(FG): -0.4270015358924866	 ([throughout.][scene])
I(Ys): -0.42158448696136475	 ([doppelganger][emotional])
I(pq): -0.41980433464050293	 ([logical][entertaining])
I(D): -0.4176707863807678	 ([movie.])
I(bd): 0.41584312915802	 ([movie][".])
I(Nf): 0.4136265516281128	 ([doppelganger][ridiculous,])
I(Yo): -0.4081175923347473	 ([doppelganger][movie])
I(Sb): -0.4078770875930786	 ([execution][movie])
I(Mq): -0.4072699546813965	 ([heals][entertaining])
I(ac): 0.40694528818130493	 ([see][say])
I(Jf): -0.406627893447876	 ([office,][ridiculous,])
I(jk): 0.4056280255317688	 ([coherent][story])
I(fu): 0.40542149543762207	 ([ridiculous,][i'm])
I(bx): 0.40232259035110474	 ([movie][many])
I(Nq): -0.4020165205001831	 ([doppelganger][entertaining])
I(m): 0.39208704233169556	 ([way.])
I(Hw): 0.39021557569503784	 ([phone][bored])
I(Nb): -0.38833701610565186	 ([doppelganger][movie])
I(No): -0.3871644139289856	 ([doppelganger][movie])
I(I): -0.38413205742836	 ([sex])
I(Sf): 0.38205885887145996	 ([execution][ridiculous,])
I(j): 0.37608999013900757	 ([coherent])
I(fm): 0.37552231550216675	 ([ridiculous,][way.])
I(Bp): -0.37502288818359375	 ([genius][logical])
I(`a): 0.36838990449905396	 ([let's][see])
I(Ww): -0.3670632839202881	 ([message][bored])
I(Yk): -0.36670538783073425	 ([doppelganger][story])
I(OX): -0.36647355556488037	 ([nice][talent.])
I(ls): -0.3584916591644287	 ([strange][emotional])
I(PQ): -0.35750097036361694	 ([attempt][genius])
I(Nl): 0.3549637794494629	 ([doppelganger][strange])
I(Bs): -0.35372400283813477	 ([genius][emotional])
I(Gk): -0.353154718875885	 ([scene][story])
I(BF): -0.3520864248275757	 ([genius][throughout.])
I(Jo): -0.34867894649505615	 ([office,][movie])
I(BC): 0.34830424189567566	 ([genius][behind])
I(d): 0.3468005061149597	 ([".])
I(bk): -0.34533414244651794	 ([movie][story])
I(Xw): -0.34525585174560547	 ([talent.][bored])
I(Ms): -0.34177297353744507	 ([heals][emotional])
I(t): 0.3401070237159729	 ([level?])
I(Bq): 0.33421850204467773	 ([genius][entertaining])
I(Bk): -0.33111029863357544	 ([genius][story])
I(ef): -0.3303859233856201	 ([certainly][ridiculous,])
I(OP): -0.32923412322998047	 ([nice][attempt])
I(Zw): 0.3260970115661621	 ([split][bored])
I(Yb): -0.3259870409965515	 ([doppelganger][movie])
I(Ef): 0.32260680198669434	 ([laughing][ridiculous,])
I(TX): -0.3224838972091675	 ([poor,][talent.])
I(Dk): -0.3194645643234253	 ([movie.][story])
I(NY): 0.3167891502380371	 ([doppelganger][doppelganger])
I(Ql): 0.31404370069503784	 ([genius][strange])
I(Kf): 0.30881166458129883	 ([discussing][ridiculous,])
I(Qw): -0.3047318458557129	 ([genius][bored])
I([w): 0.30118101835250854	 ([end][bored])
I(aw): 0.3010444641113281	 ([see][bored])
I(DX): -0.30024176836013794	 ([movie.][talent.])
I(h): 0.2991573214530945	 ([idea])
I(fx): -0.2975631356239319	 ([ridiculous,][many])
I(MN): 0.297427237033844	 ([heals][doppelganger])
I(LM): 0.2971044182777405	 ([love][heals])
I(MR): 0.29474395513534546	 ([heals][humor.])
I(P): -0.2934049963951111	 ([attempt])
I(Qs): -0.2931938171386719	 ([genius][emotional])
I(Rq): 0.293176531791687	 ([humor.][entertaining])
I(Rb): 0.2882983088493347	 ([humor.][movie])
I(Yq): -0.2871767282485962	 ([doppelganger][entertaining])
I(Qk): -0.2868461012840271	 ([genius][story])
I(o): -0.28431016206741333	 ([movie])
I(jq): -0.2806272506713867	 ([coherent][entertaining])
I(qu): -0.2798563838005066	 ([entertaining][i'm])
I(MT): 0.2786784768104553	 ([heals][poor,])
I(ln): -0.27736127376556396	 ([strange][point])
I(lp): -0.2771404981613159	 ([strange][logical])
I(Lq): -0.2744441628456116	 ([love][entertaining])
I(fq): 0.2740745544433594	 ([ridiculous,][entertaining])
I(Nx): 0.26946455240249634	 ([doppelganger][many])
I(gj): -0.26609474420547485	 ([sweet][coherent])
I(Es): -0.2659761905670166	 ([laughing][emotional])
I(OT): -0.2653622627258301	 ([nice][poor,])
I(ab): -0.26512885093688965	 ([see][movie])
I(ik): 0.26489442586898804	 ([actually][story])
I(Sp): 0.2632788419723511	 ([execution][logical])
I(il): -0.26101410388946533	 ([actually][strange])
I(Yw): 0.2596607208251953	 ([doppelganger][bored])
I([f): 0.255809485912323	 ([end][ridiculous,])
I(Ds): -0.2547988295555115	 ([movie.][emotional])
I(Yd): -0.25478237867355347	 ([doppelganger][".])
I(ES): -0.25465232133865356	 ([laughing][execution])
I(ps): -0.25028324127197266	 ([logical][emotional])
I(W): 0.24949592351913452	 ([message])
I(Bf): 0.24887967109680176	 ([genius][ridiculous,])
I(Qu): -0.2468845248222351	 ([genius][i'm])
I(gm): 0.2462795376777649	 ([sweet][way.])
I(NR): -0.24603521823883057	 ([doppelganger][humor.])
I(`b): 0.24446582794189453	 ([let's][movie])
I(ao): -0.2442508339881897	 ([see][movie])
I(Rg): 0.24395078420639038	 ([humor.][sweet])
I(Eb): 0.2435430884361267	 ([laughing][movie])
I(gs): -0.24289751052856445	 ([sweet][emotional])
I(bh): -0.24152511358261108	 ([movie][idea])
I(Xb): -0.23784929513931274	 ([talent.][movie])
I(`f): 0.2364833950996399	 ([let's][ridiculous,])
I(GJ): -0.23618733882904053	 ([scene][office,])
I(Ss): -0.23377978801727295	 ([execution][emotional])
I(Fb): -0.23352640867233276	 ([throughout.][movie])
I(DT): -0.2326757311820984	 ([movie.][poor,])
I(KR): -0.23263245820999146	 ([discussing][humor.])
I(`l): 0.2304934859275818	 ([let's][strange])
I(Qp): -0.230194091796875	 ([genius][logical])
I(ks): -0.2297486662864685	 ([story][emotional])
I(LS): -0.22943949699401855	 ([love][execution])
I(CE): 0.22816821932792664	 ([behind][laughing])
I(XY): -0.22607648372650146	 ([talent.][doppelganger])
I(Mo): -0.22502851486206055	 ([heals][movie])
I(Lk): -0.2238088846206665	 ([love][story])
I(RY): -0.22368815541267395	 ([humor.][doppelganger])
I(Bu): -0.22300684452056885	 ([genius][i'm])
I(Xo): -0.22255665063858032	 ([talent.][movie])
I(Rp): -0.2223982810974121	 ([humor.][logical])
I(Ns): -0.22209876775741577	 ([doppelganger][emotional])
I(YZ): 0.22168409824371338	 ([doppelganger][split])
I(gq): 0.22144418954849243	 ([sweet][entertaining])
I(TW): 0.21689611673355103	 ([poor,][message])
I(AC): 0.21523484587669373	 ([certain][behind])
I(N`): 0.21408647298812866	 ([doppelganger][let's])
I(T): 0.21390312910079956	 ([poor,])
I(Gq): -0.2138833999633789	 ([scene][entertaining])
I(Y`): 0.2135487198829651	 ([doppelganger][let's])
I(DJ): -0.21350228786468506	 ([movie.][office,])
I(p): 0.21329879760742188	 ([logical])
I(fv): 0.21245384216308594	 ([ridiculous,][easily])
I(X): 0.21123993396759033	 ([talent.])
I(FX): -0.2106395959854126	 ([throughout.][talent.])
I(Qd): -0.2105078101158142	 ([genius][".])
I(BS): 0.2104899287223816	 ([genius][execution])
I(JL): -0.2087056040763855	 ([office,][love])
I(dw): -0.20866727828979492	 ([".][bored])
I(ck): 0.20848429203033447	 ([say][story])
I(LN): -0.20609945058822632	 ([love][doppelganger])
I(mw): -0.2057824730873108	 ([way.][bored])
I(Xs): -0.20532000064849854	 ([talent.][emotional])
I(Eg): 0.20507830381393433	 ([laughing][sweet])
I(bm): 0.20347559452056885	 ([movie][way.])
I(U): -0.20282328128814697	 ([see])
I(qv): 0.20250803232192993	 ([entertaining][easily])
I(Vk): -0.2021161913871765	 ([writer's][story])
I(qs): -0.2011551856994629	 ([entertaining][emotional])
I(IJ): 0.20059260725975037	 ([sex][office,])
I(XZ): 0.19817322492599487	 ([talent.][split])
I(LY): -0.1971588134765625	 ([love][doppelganger])
I(RX): -0.1960235834121704	 ([humor.][talent.])
I(Qa): 0.19554483890533447	 ([genius][see])
I(FK): -0.19531816244125366	 ([throughout.][discussing])
I(dl): -0.19526207447052002	 ([".][strange])
I(Mk): -0.19516772031784058	 ([heals][story])
I(IQ): 0.19493639469146729	 ([sex][genius])
I(`w): 0.19493204355239868	 ([let's][bored])
I(ox): 0.19474762678146362	 ([movie][many])
I(Y\): 0.19421279430389404	 ([doppelganger][like...])
I(oq): -0.19420427083969116	 ([movie][entertaining])
I(Mx): 0.19400376081466675	 ([heals][many])
I(QX): -0.19398939609527588	 ([genius][talent.])
I(Nk): -0.19251906871795654	 ([doppelganger][story])
I(tu): -0.19139736890792847	 ([level?][i'm])
I(QS): 0.19115877151489258	 ([genius][execution])
I(Ll): -0.1896856427192688	 ([love][strange])
I(KL): -0.18948012590408325	 ([discussing][love])
I(ku): -0.18887418508529663	 ([story][i'm])
I(qr): -0.18885904550552368	 ([entertaining][communicate])
I(Bb): 0.18874073028564453	 ([genius][movie])
I(SY): -0.18865197896957397	 ([execution][doppelganger])
I(Z): -0.18833637237548828	 ([split])
I(hk): -0.18819504976272583	 ([idea][story])
I(DP): -0.18805205821990967	 ([movie.][attempt])
I(Qh): -0.18776220083236694	 ([genius][idea])
I(V_): 0.18743622303009033	 ([writer's][expecting])
I(Uq): -0.18731403350830078	 ([see][entertaining])
I(KX): -0.1866835355758667	 ([discussing][talent.])
I(ms): 0.18649166822433472	 ([way.][emotional])
I(QV): 0.18569415807724	 ([genius][writer's])
I(Qo): 0.1854892373085022	 ([genius][movie])
I(pu): -0.18482643365859985	 ([logical][i'm])
I(GH): -0.18310165405273438	 ([scene][phone])
I([): -0.18269604444503784	 ([end])
I(\w): 0.18204796314239502	 ([like...][bored])
I(Xa): 0.1819118857383728	 ([talent.][see])
I(no): -0.1811789572238922	 ([point][movie])
I(Zf): 0.18082690238952637	 ([split][ridiculous,])
I(bg): 0.18082377314567566	 ([movie][sweet])
I(BH): -0.17964881658554077	 ([genius][phone])
I(Lp): -0.17931699752807617	 ([love][logical])
I(^w): -0.17866569757461548	 ([quite][bored])
I(`p): -0.1786136031150818	 ([let's][logical])
I(FR): -0.1774464249610901	 ([throughout.][humor.])
I(Hs): -0.17734813690185547	 ([phone][emotional])
