---------- Players ----------
Player 0: nokia,
Player 1: world
Player 2: # 39 ; s
Player 3: largest
Player 4: mobile
Player 5: phone
Player 6: maker,
Player 7: took
Player 8: legal
Player 9: action
Player 10: earlier
Player 11: week
Player 12: two
Player 13: european
Player 14: manufacturers
Player 15: allegedly
Player 16: infringing
Player 17: technology
Player 18: patents
Player 19: registered
Player 20: designs.
---------- AND Interactions (Pairwise Only) ----------
I(4 13): 5.957616806030273	 ([mobile][european])
I(0 13): 5.748504638671875	 ([nokia,][european])
I(13 18): 5.649930477142334	 ([european][patents])
I(0 14): 5.625290393829346	 ([nokia,][manufacturers])
I(5 14): 5.208973407745361	 ([phone][manufacturers])
I(9 14): 5.0927934646606445	 ([action][manufacturers])
I(4 5): -4.5699992179870605	 ([mobile][phone])
I(3 13): 4.530886173248291	 ([largest][european])
I(17 18): -4.386227607727051	 ([technology][patents])
I(3 6): -4.34913444519043	 ([largest][maker,])
I(0 4): -4.328914642333984	 ([nokia,][mobile])
I(13 14): 4.034326553344727	 ([european][manufacturers])
I(7 13): 3.997293472290039	 ([took][european])
I(1 18): 3.8517184257507324	 ([world][patents])
I(14 20): 3.8179211616516113	 ([manufacturers][designs.])
I(0 5): -3.687382698059082	 ([nokia,][phone])
I(13 16): 3.5057239532470703	 ([european][infringing])
I(14 18): 3.4746620655059814	 ([manufacturers][patents])
I(4 19): -3.2555713653564453	 ([mobile][registered])
I(1 3): 3.1619067192077637	 ([world][largest])
I(5 19): -3.0804266929626465	 ([phone][registered])
I(5 7): 3.076993942260742	 ([phone][took])
I(13 15): 3.07676362991333	 ([european][allegedly])
I(0 19): -3.029630661010742	 ([nokia,][registered])
I(4 18): -2.9523825645446777	 ([mobile][patents])
I(7 11): 2.9477615356445312	 ([took][week])
I(0 7): 2.9418792724609375	 ([nokia,][took])
I(7 14): 2.877066135406494	 ([took][manufacturers])
I(3 19): -2.8687362670898438	 ([largest][registered])
I(3 17): -2.811666965484619	 ([largest][technology])
I(7 17): 2.796942710876465	 ([took][technology])
I(5 13): 2.791120767593384	 ([phone][european])
I(7 19): 2.6369552612304688	 ([took][registered])
I(7 18): 2.614253044128418	 ([took][patents])
I(4 17): -2.5401740074157715	 ([mobile][technology])
I(4 7): 2.517385482788086	 ([mobile][took])
I(0 17): -2.514812469482422	 ([nokia,][technology])
I(14 16): 2.3946943283081055	 ([manufacturers][infringing])
I(0 1): 2.3632335662841797	 ([nokia,][world])
I(3 16): -2.3352670669555664	 ([largest][infringing])
I(5 18): -2.3251590728759766	 ([phone][patents])
I(17 19): -2.163997173309326	 ([technology][registered])
I(0 9): 2.1339285373687744	 ([nokia,][action])
I(1 14): 2.131735324859619	 ([world][manufacturers])
I(6 16): -2.128092050552368	 ([maker,][infringing])
I(12 13): 2.081529378890991	 ([two][european])
I(3 20): -2.075488328933716	 ([largest][designs.])
I(4 14): 2.062723159790039	 ([mobile][manufacturers])
I(1 4): 2.0346741676330566	 ([world][mobile])
I(5 17): -2.027472972869873	 ([phone][technology])
I(16 19): -1.8980982303619385	 ([infringing][registered])
I(9 18): 1.8963539600372314	 ([action][patents])
I(1 7): 1.8574295043945312	 ([world][took])
I(14 19): -1.8415064811706543	 ([manufacturers][registered])
I(11 14): 1.809234619140625	 ([week][manufacturers])
I(9 11): 1.7952314615249634	 ([action][week])
I(6 13): 1.7820067405700684	 ([maker,][european])
I(3 14): -1.7553744316101074	 ([largest][manufacturers])
I(11 13): 1.7253899574279785	 ([week][european])
I(1 15): -1.7154262065887451	 ([world][allegedly])
I(7 20): 1.711381435394287	 ([took][designs.])
I(0 18): -1.6808137893676758	 ([nokia,][patents])
I(1 10): -1.6297640800476074	 ([world][earlier])
I(9 15): -1.6159589290618896	 ([action][allegedly])
I(1 9): 1.6084399223327637	 ([world][action])
I(9 17): 1.59800124168396	 ([action][technology])
I(9 20): 1.582716703414917	 ([action][designs.])
I(6 18): -1.5146660804748535	 ([maker,][patents])
I(6 9): 1.5090432167053223	 ([maker,][action])
I(1 11): -1.487246036529541	 ([world][week])
I(3 11): -1.4461191892623901	 ([largest][week])
I(7 16): 1.4419288635253906	 ([took][infringing])
I(15 16): 1.4278419017791748	 ([allegedly][infringing])
I(1 19): -1.3980398178100586	 ([world][registered])
I(3 9): -1.3615481853485107	 ([largest][action])
I(4 16): -1.342226266860962	 ([mobile][infringing])
I(0 16): -1.3205089569091797	 ([nokia,][infringing])
I(4 15): -1.3067960739135742	 ([mobile][allegedly])
I(15 19): -1.294257640838623	 ([allegedly][registered])
I(15 20): -1.277247667312622	 ([allegedly][designs.])
I(16 20): 1.2636730670928955	 ([infringing][designs.])
I(14 15): 1.2533926963806152	 ([manufacturers][allegedly])
I(5 9): -1.2483782768249512	 ([phone][action])
I(19 20): -1.2443103790283203	 ([registered][designs.])
I(11 20): 1.210863471031189	 ([week][designs.])
I(8 20): -1.197704792022705	 ([legal][designs.])
I(6 7): 1.0926544666290283	 ([maker,][took])
I(10 18): -1.0922110080718994	 ([earlier][patents])
I(11 17): 1.0905098915100098	 ([week][technology])
I(12 15): -1.0651347637176514	 ([two][allegedly])
I(1 6): 1.0617483854293823	 ([world][maker,])
I(3 4): 1.0151195526123047	 ([largest][mobile])
I(10 14): -0.9937291145324707	 ([earlier][manufacturers])
I(2 16): -0.9890981912612915	 ([# 39 ; s][infringing])
I(5 15): -0.9750633239746094	 ([phone][allegedly])
I(2 11): -0.9384795427322388	 ([# 39 ; s][week])
I(5 11): 0.9310650825500488	 ([phone][week])
I(7 8): -0.925574779510498	 ([took][legal])
I(0 11): 0.8788961172103882	 ([nokia,][week])
I(12 18): -0.8735313415527344	 ([two][patents])
I(3 10): -0.8607074022293091	 ([largest][earlier])
I(1 2): 0.8585562705993652	 ([world][# 39 ; s])
I(2 13): 0.8567571640014648	 ([# 39 ; s][european])
I(16 18): 0.8484694957733154	 ([infringing][patents])
I(9 12): -0.8457696437835693	 ([action][two])
I(9 16): 0.8413224220275879	 ([action][infringing])
I(13 20): 0.8192992210388184	 ([european][designs.])
