---------- AND Interactions ----------
I(52): 3.7097291946411133	 ([worse - - there's])
I(27): 0.6314939260482788	 ([torture,])
I(26,52): -0.6281983852386475	 ([rape,][worse - - there's])
I(65,66): -0.6280592083930969	 ([prisoner][forced])
I(53): 0.6276029348373413	 ([plentiful])
I(60,65): -0.6234805583953857	 ([disgusting][prisoner])
I(0,5): -0.6129648685455322	 ([originally][involves])
I(29,32): -0.602206826210022	 ([humiliation][disturbing])
I(0,1): -0.6012437343597412	 ([originally][aired])
I(26,39): -0.5987142324447632	 ([rape,][nudity])
I(67,68): -0.5943317413330078	 ([strip][lesbian])
I(33): 0.594293475151062	 ([conclusion.])
I(14,45): -0.5916537642478943	 ([camp][sleaziness])
I(31,33): -0.5895462036132812	 ([leading][conclusion.])
I(5,10): 0.5888775587081909	 ([involves][college])
I(4,32): 0.586594820022583	 ([week.][disturbing])
I(3,10): 0.5851850509643555	 ([movie][college])
I(3,68): 0.580620288848877	 ([movie][lesbian])
I(29): 0.578504204750061	 ([humiliation])
I(54,73): 0.5753860473632812	 ([nudity,][yuck!])
I(56,57): -0.573302686214447	 ([extreme][and,])
I(4,66): 0.569896936416626	 ([week.][forced])
I(2,27): -0.56714928150177	 ([abc][torture,])
I(9,32): -0.566529393196106	 ([female][disturbing])
I(2,45): -0.5652141571044922	 ([abc][sleaziness])
I(70,73): -0.5620745420455933	 ([uses][yuck!])
I(10): 0.5617756843566895	 ([college])
I(27,55): -0.5597745180130005	 ([torture,][violence])
I(21,55): -0.5594477653503418	 ([nobody][violence])
I(32,74): -0.5552695989608765	 ([disturbing][there's])
I(53,54): 0.5516247749328613	 ([plentiful][nudity,])
I(5,11): -0.5502704381942749	 ([involves][students])
I(48,65): -0.5476870536804199	 ([down.][prisoner])
I(18): 0.5455138683319092	 ([allowed])
I(4,21): 0.5406979322433472	 ([week.][nobody])
I(26,67): -0.536588191986084	 ([rape,][strip])
I(5,32): -0.5335478782653809	 ([involves][disturbing])
I(55,56): -0.5312272310256958	 ([violence][extreme])
I(63): 0.5288487672805786	 ([crying])
I(32,65): -0.5245144367218018	 ([disturbing][prisoner])
I(48,52): -0.5244240760803223	 ([down.][worse - - there's])
I(20,21): 0.5201812982559204	 ([calls][nobody])
I(5,8): 0.518640398979187	 ([involves][innocent])
I(8,45): -0.5178314447402954	 ([innocent][sleaziness])
I(2,54): -0.517829179763794	 ([abc][nudity,])
I(53,55): -0.514293909072876	 ([plentiful][violence])
I(2,9): 0.5140644311904907	 ([abc][female])
I(2,14): -0.5133373141288757	 ([abc][camp])
I(2,44): 0.5083231925964355	 ([abc][feeling])
I(56): 0.5082212686538696	 ([extreme])
I(1,66): 0.5076904296875	 ([aired][forced])
I(12,14): -0.5056993961334229	 ([railroaded][camp])
I(10,60): -0.5055594444274902	 ([college][disgusting])
I(1,3): -0.5045657157897949	 ([aired][movie])
I(4,65): 0.501549482345581	 ([week.][prisoner])
I(3,39): 0.5004501342773438	 ([movie][nudity])
I(12,45): -0.49750661849975586	 ([railroaded][sleaziness])
I(60,62): 0.49700927734375	 ([disgusting][see])
I(55,61): 0.49616795778274536	 ([violence][sequence,])
I(22,33): -0.49111059308052063	 ([knows][conclusion.])
I(9,68): -0.489990234375	 ([female][lesbian])
I(40): -0.48935726284980774	 ([beatings])
I(2,64): -0.48742783069610596	 ([abc][female])
I(2,68): -0.4867357015609741	 ([abc][lesbian])
I(39,40): -0.48650527000427246	 ([nudity][beatings])
I(8): 0.4827141761779785	 ([innocent])
I(24,25): 0.48221659660339355	 ([there.][follows])
I(1,73): -0.48146772384643555	 ([aired][yuck!])
I(25,26): 0.4786468744277954	 ([follows][rape,])
I(44,55): 0.47771942615509033	 ([feeling][violence])
I(28,32): -0.47716689109802246	 ([beatings,][disturbing])
I(9,52): -0.4762992858886719	 ([female][worse - - there's])
I(25,39): 0.47180497646331787	 ([follows][nudity])
I(55,59): -0.4691137969493866	 ([violence][particularly])
I(71): 0.46653568744659424	 (["])
I(65,68): -0.46600258350372314	 ([prisoner][lesbian])
I(29,45): -0.46451663970947266	 ([humiliation][sleaziness])
I(3,9): 0.4621291160583496	 ([movie][female])
I(68,70): -0.4618610143661499	 ([lesbian][uses])
I(66,73): 0.4603726863861084	 ([forced][yuck!])
I(3,64): 0.4582219123840332	 ([movie][female])
I(46,52): -0.45384883880615234	 ([wore][worse - - there's])
I(9,60): -0.453798770904541	 ([female][disgusting])
I(4,73): -0.4518880844116211	 ([week.][yuck!])
I(53,65): -0.4487788677215576	 ([plentiful][prisoner])
I(34,48): 0.44797372817993164	 ([tv][down.])
I(26,54): -0.4471566677093506	 ([rape,][nudity,])
I(22): -0.44614705443382263	 ([knows])
I(32,63): -0.44509029388427734	 ([disturbing][crying])
I(26,34): 0.44172000885009766	 ([rape,][tv])
I(50,55): 0.4407765865325928	 ([version][violence])
I(9,10): -0.4394838809967041	 ([female][college])
I(2,63): -0.4358196258544922	 ([abc][crying])
I(32,53): -0.4356158971786499	 ([disturbing][plentiful])
I(62): 0.4354982376098633	 ([see])
I(11,68): -0.4329119920730591	 ([students][lesbian])
I(52,61): 0.43111562728881836	 ([worse - - there's][sequence,])
I(26,53): -0.4300769567489624	 ([rape,][plentiful])
I(64,65): -0.42786145210266113	 ([female][prisoner])
I(2,70): 0.42668354511260986	 ([abc][uses])
I(3,26): 0.42595458030700684	 ([movie][rape,])
I(27,53): -0.42495977878570557	 ([torture,][plentiful])
I(49,52): -0.42493271827697754	 ([unrated][worse - - there's])
I(53,56): -0.42412686347961426	 ([plentiful][extreme])
I(19): 0.4241039752960205	 ([phone])
I(32,67): -0.42384910583496094	 ([disturbing][strip])
I(2,21): 0.423154354095459	 ([abc][nobody])
I(28,33): -0.42287784814834595	 ([beatings,][conclusion.])
I(34,39): 0.4211583137512207	 ([tv][nudity])
I(10,55): 0.4179258346557617	 ([college][violence])
I(69,70): -0.41705405712127686	 ([guard][uses])
I(0,3): 0.41589272022247314	 ([originally][movie])
I(46): 0.415804386138916	 ([wore])
I(8,52): -0.41395044326782227	 ([innocent][worse - - there's])
I(70): 0.4135702848434448	 ([uses])
I(3,66): 0.4127737283706665	 ([movie][forced])
I(8,60): -0.4126720428466797	 ([innocent][disgusting])
I(46,55): -0.41197872161865234	 ([wore][violence])
I(43): 0.41114163398742676	 ([overall])
I(29,55): -0.40932178497314453	 ([humiliation][violence])
I(69): 0.40722954273223877	 ([guard])
I(12,66): -0.4064439535140991	 ([railroaded][forced])
I(12,21): -0.4050886631011963	 ([railroaded][nobody])
I(5,9): 0.40355563163757324	 ([involves][female])
I(21,29): -0.40116703510284424	 ([nobody][humiliation])
I(18,24): -0.39921969175338745	 ([allowed][there.])
I(31): 0.3981841802597046	 ([leading])
I(65): 0.3972165584564209	 ([prisoner])
I(34,37): -0.3957219123840332	 ([tv][time )])
I(46,47): -0.3954656720161438	 ([wore][one])
I(27,60): -0.39357900619506836	 ([torture,][disgusting])
I(55,62): 0.39341604709625244	 ([violence][see])
I(2,60): -0.39159488677978516	 ([abc][disgusting])
I(39,73): 0.3912832736968994	 ([nudity][yuck!])
I(45,69): -0.39109158515930176	 ([sleaziness][guard])
I(52,63): -0.3910093307495117	 ([worse - - there's][crying])
I(45,66): -0.3904738426208496	 ([sleaziness][forced])
I(2,74): 0.39031362533569336	 ([abc][there's])
I(44,46): 0.389858603477478	 ([feeling][wore])
I(21,27): -0.3894939422607422	 ([nobody][torture,])
I(2,5): 0.38865554332733154	 ([abc][involves])
I(3,67): 0.38635575771331787	 ([movie][strip])
I(17,21): 0.3858356475830078	 ([town.][nobody])
I(71,72): -0.385351300239563	 (["][her.])
I(2,53): -0.3838428258895874	 ([abc][plentiful])
I(29,65): -0.38361656665802	 ([humiliation][prisoner])
I(1,43): -0.3769252300262451	 ([aired][overall])
I(10,11): 0.3761610984802246	 ([college][students])
I(3,18): 0.37606966495513916	 ([movie][allowed])
I(55,60): -0.37519407272338867	 ([violence][disgusting])
I(39,56): 0.3749903440475464	 ([nudity][extreme])
I(18,19): -0.37485265731811523	 ([allowed][phone])
I(31,32): 0.37408745288848877	 ([leading][disturbing])
I(52,56): -0.37306737899780273	 ([worse - - there's][extreme])
I(33,41): 0.37066614627838135	 ([conclusion.][pretty])
I(27,48): -0.36860430240631104	 ([torture,][down.])
I(17,60): 0.36802101135253906	 ([town.][disgusting])
I(43,52): 0.36710143089294434	 ([overall][worse - - there's])
I(22,24): -0.36645200848579407	 ([knows][there.])
I(21,26): -0.3657459020614624	 ([nobody][rape,])
I(0,52): -0.3617846965789795	 ([originally][worse - - there's])
I(27,67): -0.36155903339385986	 ([torture,][strip])
I(52,70): -0.3601961135864258	 ([worse - - there's][uses])
I(3,5): 0.35903310775756836	 ([movie][involves])
I(4,17): 0.35714197158813477	 ([week.][town.])
I(2,40): 0.3560345470905304	 ([abc][beatings])
I(5,7): 0.3530406951904297	 ([involves][young])
I(24,60): 0.35254859924316406	 ([there.][disgusting])
I(31,52): -0.3517535924911499	 ([leading][worse - - there's])
I(48,60): -0.3515498638153076	 ([down.][disgusting])
I(21,48): -0.35134971141815186	 ([nobody][down.])
I(59,61): 0.34955254197120667	 ([particularly][sequence,])
I(45,61): 0.3466086983680725	 ([sleaziness][sequence,])
I(32,70): -0.3460506200790405	 ([disturbing][uses])
I(2,67): -0.3449910879135132	 ([abc][strip])
I(48,55): -0.34443581104278564	 ([down.][violence])
I(52,62): 0.34340524673461914	 ([worse - - there's][see])
I(4,7): 0.34113532304763794	 ([week.][young])
I(2,29): -0.3409379720687866	 ([abc][humiliation])
I(1,13): 0.34091663360595703	 ([aired][prison])
I(14,44): -0.3408359885215759	 ([camp][feeling])
I(17,63): -0.34020495414733887	 ([town.][crying])
I(32,44): 0.33763647079467773	 ([disturbing][feeling])
I(61,62): -0.3375517725944519	 ([sequence,][see])
I(39,42): 0.33749663829803467	 ([nudity][tame])
I(41,44): 0.33723896741867065	 ([pretty][feeling])
I(30,32): 0.33698123693466187	 ([degradation][disturbing])
I(48): 0.3361818790435791	 ([down.])
I(10,68): -0.335421085357666	 ([college][lesbian])
I(22,52): 0.33530569076538086	 ([knows][worse - - there's])
I(4,41): 0.3338198661804199	 ([week.][pretty])
I(38,73): 0.3335031270980835	 ([grim.][yuck!])
I(9,11): -0.3331567049026489	 ([female][students])
I(5,27): -0.33237016201019287	 ([involves][torture,])
I(4,43): -0.3317826986312866	 ([week.][overall])
I(40,44): 0.33159494400024414	 ([beatings][feeling])
I(4,12): 0.3312798738479614	 ([week.][railroaded])
I(68,72): -0.3309077024459839	 ([lesbian][her.])
I(55,66): -0.3307318687438965	 ([violence][forced])
I(28,55): -0.3305899500846863	 ([beatings,][violence])
I(4,10): 0.33016109466552734	 ([week.][college])
I(60,63): -0.32997798919677734	 ([disgusting][crying])
I(43,68): -0.3295074701309204	 ([overall][lesbian])
I(64,72): -0.3288285732269287	 ([female][her.])
I(74): 0.32882583141326904	 ([there's])
I(39,48): 0.32871317863464355	 ([nudity][down.])
I(33,52): -0.3286762237548828	 ([conclusion.][worse - - there's])
I(28,40): 0.32731106877326965	 ([beatings,][beatings])
I(32,41): -0.3272022008895874	 ([disturbing][pretty])
I(39,63): 0.3270756006240845	 ([nudity][crying])
I(27,30): 0.32660382986068726	 ([torture,][degradation])
I(2,65): -0.326138973236084	 ([abc][prisoner])
I(3,44): -0.32612234354019165	 ([movie][feeling])
I(2,11): 0.325947642326355	 ([abc][students])
I(29,48): -0.32578790187835693	 ([humiliation][down.])
I(25,27): 0.3252450227737427	 ([follows][torture,])
I(45,67): -0.32522082328796387	 ([sleaziness][strip])
I(31,66): 0.32507872581481934	 ([leading][forced])
I(24,52): 0.3249044418334961	 ([there.][worse - - there's])
I(43,46): -0.32474303245544434	 ([overall][wore])
I(2,72): -0.324609637260437	 ([abc][her.])
I(35,55): 0.32309436798095703	 ([version][violence])
I(29,60): -0.32165205478668213	 ([humiliation][disgusting])
I(11,60): -0.321260929107666	 ([students][disgusting])
I(27,65): -0.32103633880615234	 ([torture,][prisoner])
I(4,24): 0.3207399249076843	 ([week.][there.])
I(11,54): -0.3202282190322876	 ([students][nudity,])
I(41,60): -0.31880760192871094	 ([pretty][disgusting])
I(38,52): -0.3186294436454773	 ([grim.][worse - - there's])
I(19,32): -0.3182089328765869	 ([phone][disturbing])
I(21,73): -0.31679248809814453	 ([nobody][yuck!])
I(21,68): -0.31659555435180664	 ([nobody][lesbian])
I(8,53): -0.3157522678375244	 ([innocent][plentiful])
I(0,44): 0.3136449456214905	 ([originally][feeling])
I(12,67): -0.31362414360046387	 ([railroaded][strip])
I(13,14): -0.3134217858314514	 ([prison][camp])
I(12,29): -0.3114151954650879	 ([railroaded][humiliation])
I(2,28): -0.31070441007614136	 ([abc][beatings,])
I(1,48): -0.30972981452941895	 ([aired][down.])
I(27,28): -0.3093181252479553	 ([torture,][beatings,])
I(52,66): -0.3091239929199219	 ([worse - - there's][forced])
I(32,54): -0.3090888261795044	 ([disturbing][nudity,])
I(19,45): 0.3072892427444458	 ([phone][sleaziness])
I(4,72): 0.30714499950408936	 ([week.][her.])
I(17,67): -0.30654585361480713	 ([town.][strip])
I(13,66): -0.30644088983535767	 ([prison][forced])
I(3,72): 0.3054208755493164	 ([movie][her.])
I(73,74): 0.30538249015808105	 ([yuck!][there's])
I(39,55): 0.3038480281829834	 ([nudity][violence])
I(18,27): -0.3021763563156128	 ([allowed][torture,])
I(36,39): 0.30173301696777344	 ([( for][nudity])
I(5,6): -0.3013969659805298	 ([involves][two])
I(44,53): -0.30029821395874023	 ([feeling][plentiful])
I(0,45): 0.30006682872772217	 ([originally][sleaziness])
I(18,33): -0.2990514039993286	 ([allowed][conclusion.])
I(5,60): -0.29903745651245117	 ([involves][disgusting])
I(34,54): 0.2983982563018799	 ([tv][nudity,])
I(27,68): -0.29793810844421387	 ([torture,][lesbian])
I(1,20): -0.2977602481842041	 ([aired][calls])
I(55,58): -0.29757922887802124	 ([violence][one])
I(38,49): 0.29622042179107666	 ([grim.][unrated])
I(29,30): -0.296021044254303	 ([humiliation][degradation])
I(3,69): 0.2960050106048584	 ([movie][guard])
I(32,71): -0.2949467897415161	 ([disturbing]["])
I(21,53): -0.29427146911621094	 ([nobody][plentiful])
I(25,45): -0.2942037582397461	 ([follows][sleaziness])
I(12,24): -0.2940244674682617	 ([railroaded][there.])
I(1,46): -0.2935791015625	 ([aired][wore])
I(37,68): -0.29277873039245605	 ([time )][lesbian])
I(64,69): -0.29175591468811035	 ([female][guard])
I(62,70): -0.2914004325866699	 ([see][uses])
I(4,45): -0.29101765155792236	 ([week.][sleaziness])
I(25,34): 0.2906607389450073	 ([follows][tv])
I(2,13): -0.29052114486694336	 ([abc][prison])
I(2,66): -0.29021596908569336	 ([abc][forced])
I(10,65): -0.28933727741241455	 ([college][prisoner])
I(0,4): 0.2893170118331909	 ([originally][week.])
I(37,48): -0.28906822204589844	 ([time )][down.])
I(67,70): -0.2889798879623413	 ([strip][uses])
I(27,34): 0.28884804248809814	 ([torture,][tv])
I(3,48): 0.2883373498916626	 ([movie][down.])
I(39,45): -0.2869699001312256	 ([nudity][sleaziness])
I(15,17): -0.28591108322143555	 ([little][town.])
I(3,40): -0.285042941570282	 ([movie][beatings])
I(54,70): -0.2850381135940552	 ([nudity,][uses])
I(1,29): -0.2847820520401001	 ([aired][humiliation])
I(14,29): -0.2846936583518982	 ([camp][humiliation])
I(55,70): -0.28450703620910645	 ([violence][uses])
I(12,17): -0.2843055725097656	 ([railroaded][town.])
I(14,69): -0.2841448187828064	 ([camp][guard])
I(29,38): -0.28355294466018677	 ([humiliation][grim.])
I(27,33): -0.283077597618103	 ([torture,][conclusion.])
I(27,73): -0.2825850248336792	 ([torture,][yuck!])
I(52,64): -0.2824831008911133	 ([worse - - there's][female])
I(3,32): -0.2819223403930664	 ([movie][disturbing])
I(60,64): -0.28185558319091797	 ([disgusting][female])
I(21,65): -0.28139710426330566	 ([nobody][prisoner])
I(41): 0.2812284231185913	 ([pretty])
I(10,45): 0.2806600332260132	 ([college][sleaziness])
I(40,67): -0.27982908487319946	 ([beatings][strip])
I(28,45): -0.27916353940963745	 ([beatings,][sleaziness])
I(2,36): 0.27901577949523926	 ([abc][( for])
I(40,48): -0.278490275144577	 ([beatings][down.])
I(17,45): -0.27829957008361816	 ([town.][sleaziness])
I(29,39): -0.27802789211273193	 ([humiliation][nudity])
I(28,48): -0.278020977973938	 ([beatings,][down.])
I(29,54): -0.27793872356414795	 ([humiliation][nudity,])
I(33,39): -0.277889609336853	 ([conclusion.][nudity])
I(4,33): 0.2777128219604492	 ([week.][conclusion.])
I(8,32): -0.2776045799255371	 ([innocent][disturbing])
I(41,52): -0.27754640579223633	 ([pretty][worse - - there's])
I(3,54): 0.27741098403930664	 ([movie][nudity,])
I(45,46): -0.2772113084793091	 ([sleaziness][wore])
I(48,53): -0.27471327781677246	 ([down.][plentiful])
I(12,31): -0.27393651008605957	 ([railroaded][leading])
I(54,60): -0.2738528251647949	 ([nudity,][disgusting])
I(54,63): 0.27364230155944824	 ([nudity,][crying])
I(63,66): 0.2724425792694092	 ([crying][forced])
I(11,39): -0.27222132682800293	 ([students][nudity])
I(57,60): 0.27208757400512695	 ([and,][disgusting])
I(34,44): -0.27151548862457275	 ([tv][feeling])
I(33,45): -0.2713155746459961	 ([conclusion.][sleaziness])
I(25,68): 0.27110815048217773	 ([follows][lesbian])
I(67,69): -0.27049732208251953	 ([strip][guard])
I(26,28): -0.2700100541114807	 ([rape,][beatings,])
I(17,33): -0.2680288553237915	 ([town.][conclusion.])
I(26,60): -0.2676670551300049	 ([rape,][disgusting])
I(25,48): -0.26721787452697754	 ([follows][down.])
I(25,33): -0.2650262117385864	 ([follows][conclusion.])
I(21,45): -0.26495659351348877	 ([nobody][sleaziness])
I(11,67): -0.2649112939834595	 ([students][strip])
I(32,56): -0.2646995782852173	 ([disturbing][extreme])
I(2,18): -0.2644975185394287	 ([abc][allowed])
I(45,47): 0.26439952850341797	 ([sleaziness][one])
I(14,15): -0.2643983066082001	 ([camp][little])
I(2,61): 0.2636205554008484	 ([abc][sequence,])
I(32,48): -0.26352667808532715	 ([disturbing][down.])
I(13,63): -0.26313847303390503	 ([prison][crying])
I(58,61): -0.2629826068878174	 ([one][sequence,])
I(13,52): -0.2617788314819336	 ([prison][worse - - there's])
I(3,13): 0.26177704334259033	 ([movie][prison])
I(66,69): -0.2616558074951172	 ([forced][guard])
I(4,11): -0.2616240382194519	 ([week.][students])
I(40,45): -0.26159822940826416	 ([beatings][sleaziness])
I(8,55): -0.26153039932250977	 ([innocent][violence])
I(2,12): -0.26138734817504883	 ([abc][railroaded])
I(55,64): 0.2612752914428711	 ([violence][female])
I(3,65): 0.26107752323150635	 ([movie][prisoner])
I(19,20): 0.2595837116241455	 ([phone][calls])
I(42): -0.2593440115451813	 ([tame])
I(5,39): 0.2591404914855957	 ([involves][nudity])
I(2,20): 0.25884079933166504	 ([abc][calls])
I(2,30): -0.2588043808937073	 ([abc][degradation])
I(11,73): -0.2587786912918091	 ([students][yuck!])
I(4,31): 0.2587270736694336	 ([week.][leading])
I(1,55): -0.2579164505004883	 ([aired][violence])
I(27,38): -0.2578997015953064	 ([torture,][grim.])
I(6,9): 0.25767791271209717	 ([two][female])
I(43,54): 0.25744879245758057	 ([overall][nudity,])
I(32,46): -0.2568669319152832	 ([disturbing][wore])
I(45,53): -0.25603604316711426	 ([sleaziness][plentiful])
I(5,54): 0.2549288272857666	 ([involves][nudity,])
I(0,21): -0.25388872623443604	 ([originally][nobody])
I(20,63): -0.25381946563720703	 ([calls][crying])
I(51): -0.25278669595718384	 ([even])
I(12,33): -0.2523918151855469	 ([railroaded][conclusion.])
I(4,61): -0.2518922686576843	 ([week.][sequence,])
I(1,37): -0.250982403755188	 ([aired][time )])
I(37,54): -0.24996685981750488	 ([time )][nudity,])
I(69,72): -0.24871504306793213	 ([guard][her.])
I(17,73): 0.24849653244018555	 ([town.][yuck!])
I(31,67): 0.24787509441375732	 ([leading][strip])
I(13,27): -0.24778735637664795	 ([prison][torture,])
I(19,52): -0.2474660873413086	 ([phone][worse - - there's])
I(33,54): -0.24627673625946045	 ([conclusion.][nudity,])
I(40,73): -0.24506282806396484	 ([beatings][yuck!])
I(1,22): 0.24503564834594727	 ([aired][knows])
I(3,37): -0.2444700002670288	 ([movie][time )])
I(13,53): -0.2437543272972107	 ([prison][plentiful])
I(32,49): 0.24313807487487793	 ([disturbing][unrated])
I(12,39): 0.24300622940063477	 ([railroaded][nudity])
I(5,73): -0.24283981323242188	 ([involves][yuck!])
I(0,68): -0.2426159381866455	 ([originally][lesbian])
I(39,44): -0.2425246238708496	 ([nudity][feeling])
I(7,8): 0.24099969863891602	 ([young][innocent])
I(17,66): -0.24097061157226562	 ([town.][forced])
I(14,66): -0.24017316102981567	 ([camp][forced])
I(29,44): -0.2399137020111084	 ([humiliation][feeling])
I(1,33): -0.23920917510986328	 ([aired][conclusion.])
I(32,38): -0.2385985255241394	 ([disturbing][grim.])
I(45,68): -0.23636138439178467	 ([sleaziness][lesbian])
I(5,72): 0.23525750637054443	 ([involves][her.])
I(4,62): -0.23495548963546753	 ([week.][see])
I(59): -0.23486676812171936	 ([particularly])
I(3,7): 0.23479688167572021	 ([movie][young])
I(1,27): -0.23418903350830078	 ([aired][torture,])
I(31,73): -0.23313987255096436	 ([leading][yuck!])
I(14,55): -0.23187655210494995	 ([camp][violence])
I(53,66): -0.23083007335662842	 ([plentiful][forced])
I(33,46): -0.23079705238342285	 ([conclusion.][wore])
I(32,69): -0.23071110248565674	 ([disturbing][guard])
I(46,69): -0.23055529594421387	 ([wore][guard])
I(62,68): 0.2293916940689087	 ([see][lesbian])
I(10,52): -0.22847890853881836	 ([college][worse - - there's])
I(28,38): -0.22802072763442993	 ([beatings,][grim.])
I(33,34): 0.22767889499664307	 ([conclusion.][tv])
I(18,32): -0.22758150100708008	 ([allowed][disturbing])
I(11): 0.2275320291519165	 ([students])
I(28,30): 0.2274181842803955	 ([beatings,][degradation])
I(5,36): -0.22615551948547363	 ([involves][( for])
I(5,61): -0.22584635019302368	 ([involves][sequence,])
I(65,69): -0.22577548027038574	 ([prisoner][guard])
