---------- AND Interactions ----------
I(0,4): 3.8688302040100098	 ([blows][made.])
I(15,18): 0.741717517375946	 ([revenge][would])
I(6,26): 0.7377536296844482	 ([worked][worth])
I(40): 0.7327228784561157	 ([" fbi])
I(49): 0.730790376663208	 ([" arrest])
I(9,27): 0.72294020652771	 ([emails][emails])
I(53,55): -0.7211685180664062	 ([bad][even])
I(31): 0.72041916847229	 ([even])
I(4,10): 0.7100880146026611	 ([made.][answering])
I(45,53): 0.6983490586280823	 ([far,][bad])
I(41): -0.6915094256401062	 ([files])
I(6,20): 0.6895461082458496	 ([worked][needless])
I(22,46): -0.68327796459198	 ([revenge][worst])
I(18,19): 0.6751091480255127	 ([would][good.])
I(37,55): -0.6641391515731812	 ([bad][even])
I(4,31): 0.6489999294281006	 ([made.][even])
I(22,23): -0.6442826986312866	 ([revenge][forced])
I(9): -0.6395667791366577	 ([emails])
I(4,36): 0.6377726793289185	 ([made.][acting])
I(5,6): 0.6375781297683716	 ([watched][worked])
I(5,37): 0.6306610107421875	 ([watched][bad])
I(15,23): -0.6234054565429688	 ([revenge][forced])
I(33,46): -0.6229162216186523	 ([happened][worst])
I(2,53): 0.6216917037963867	 ([movie][bad])
I(26,55): -0.6215882301330566	 ([worth][even])
I(3,5): 0.6133634448051453	 ([got][watched])
I(26,38): 0.6126708984375	 ([worth][re - enactment])
I(26,56): 0.6122596263885498	 ([worth][know])
I(4,33): 0.610663652420044	 ([made.][happened])
I(36,38): 0.6098466515541077	 ([acting][re - enactment])
I(31,55): -0.609101414680481	 ([even][even])
I(28,31): 0.6056503653526306	 ([watched.][even])
I(46,55): -0.5960221290588379	 ([worst][even])
I(40,53): -0.5900454521179199	 ([" fbi][bad])
I(4,58): 0.5832196474075317	 ([made.][man])
I(37,45): 0.5812745690345764	 ([bad][far,])
I(35,37): 0.5763070583343506	 ([more.][bad])
I(23,28): 0.5714603066444397	 ([forced][watched.])
I(4,25): -0.5702422857284546	 ([made.][twists])
I(40,46): -0.5629589557647705	 ([" fbi][worst])
I(5): -0.5596985816955566	 ([watched])
I(26,43): 0.5524299144744873	 ([worth][show])
I(0,5): 0.5511906147003174	 ([blows][watched])
I(22,27): 0.5508944988250732	 ([revenge][emails])
I(5,14): 0.5477696657180786	 ([watched][hoped])
I(15,39): 0.5410903096199036	 ([revenge][scenarios])
I(36): 0.5351846218109131	 ([acting])
I(26,39): 0.5345299243927002	 ([worth][scenarios])
I(31,37): -0.522385835647583	 ([even][bad])
I(36,39): 0.5213467478752136	 ([acting][scenarios])
I(46,47): -0.5165845155715942	 ([worst][re - enactments])
I(37,50): -0.5143332481384277	 ([bad][trial])
I(5,22): 0.5064117908477783	 ([watched][revenge])
I(22,25): 0.504733681678772	 ([revenge][twists])
I(19,37): -0.5026524066925049	 ([good.][bad])
I(23,26): -0.4983614683151245	 ([forced][worth])
I(15,54): 0.4978303909301758	 ([revenge][re - enactments ).])
I(7,37): 0.4960068464279175	 ([home][bad])
I(31,53): -0.4959218502044678	 ([even][bad])
I(4,30): 0.4930744767189026	 ([made.][i'm])
I(53,60): -0.4914395809173584	 ([bad][eye])
I(7,9): 0.49006056785583496	 ([home][emails])
I(5,13): 0.48853182792663574	 ([watched][watched])
I(2,36): 0.48752015829086304	 ([movie][acting])
I(15,55): -0.48729586601257324	 ([revenge][even])
I(25,46): 0.4857691526412964	 ([twists][worst])
I(28,53): 0.4849444031715393	 ([watched.][bad])
I(15,22): -0.47988367080688477	 ([revenge][revenge])
I(52): 0.4794541597366333	 ([possibly])
I(2,15): 0.4772734045982361	 ([movie][revenge])
I(18,26): -0.4750654697418213	 ([would][worth])
I(0,7): -0.47246789932250977	 ([blows][home])
I(0): 0.4724162817001343	 ([blows])
I(46,56): 0.47217345237731934	 ([worst][know])
I(18,20): -0.46661055088043213	 ([would][needless])
I(5,53): 0.46635961532592773	 ([watched][bad])
I(36,43): 0.4655586779117584	 ([acting][show])
I(27): -0.46529218554496765	 ([emails])
I(30,55): -0.4645494818687439	 ([i'm][even])
I(15,17): 0.46161335706710815	 ([revenge][part])
I(44,55): 0.4590674042701721	 ([- -][even])
I(0,37): -0.4577803611755371	 ([blows][bad])
I(15,49): -0.45133960247039795	 ([revenge][" arrest])
I(35): -0.4507043659687042	 ([more.])
I(0,54): 0.4484156370162964	 ([blows][re - enactments ).])
I(23,46): -0.4445124864578247	 ([forced][worst])
I(15,56): 0.4438990354537964	 ([revenge][know])
I(6,40): -0.4422948360443115	 ([worked][" fbi])
I(23,53): -0.4407777786254883	 ([forced][bad])
I(15,43): 0.4407193958759308	 ([revenge][show])
I(33,37): -0.43702006340026855	 ([happened][bad])
I(20,26): -0.4361259937286377	 ([needless][worth])
I(15,41): 0.43475133180618286	 ([revenge][files])
I(5,21): 0.42824649810791016	 ([watched][say,])
I(41,43): 0.42588672041893005	 ([files][show])
I(27,28): 0.42560920119285583	 ([emails][watched.])
I(4,21): 0.423015832901001	 ([made.][say,])
I(13,37): 0.4216320514678955	 ([watched][bad])
I(4,45): -0.4173230528831482	 ([made.][far,])
I(6,22): 0.4172796308994293	 ([worked][revenge])
I(22,53): -0.41393446922302246	 ([revenge][bad])
I(27,54): 0.4137510061264038	 ([emails][re - enactments ).])
I(29,37): 0.4090718626976013	 ([fact,][bad])
I(14,15): 0.40728580951690674	 ([hoped][revenge])
I(52,53): 0.4055795669555664	 ([possibly][bad])
I(21,26): -0.4035179615020752	 ([say,][worth])
I(22,47): 0.40094032883644104	 ([revenge][re - enactments])
I(50): 0.3951810598373413	 ([trial])
I(20,37): -0.3914778232574463	 ([needless][bad])
I(0,15): -0.3875765800476074	 ([blows][revenge])
I(37,41): 0.38608187437057495	 ([bad][files])
I(9,53): 0.3843187093734741	 ([emails][bad])
I(22,54): 0.3812035620212555	 ([revenge][re - enactments ).])
I(36,37): -0.38107800483703613	 ([acting][bad])
I(2,14): 0.3807661533355713	 ([movie][hoped])
I(47,50): 0.37434688210487366	 ([re - enactments][trial])
I(37,43): 0.3722441494464874	 ([bad][show])
I(27,41): 0.37214627861976624	 ([emails][files])
I(2,37): 0.37174367904663086	 ([movie][bad])
I(37,60): -0.3702991008758545	 ([bad][eye])
I(19,28): 0.37006843090057373	 ([good.][watched.])
I(40,49): -0.36923885345458984	 ([" fbi][" arrest])
I(4,60): 0.36763525009155273	 ([made.][eye])
I(30,32): -0.36598485708236694	 ([i'm][sure])
I(15,29): 0.36516374349594116	 ([revenge][fact,])
I(15,45): 0.3651481866836548	 ([revenge][far,])
I(19,20): 0.3649405241012573	 ([good.][needless])
I(25,37): -0.3644202947616577	 ([twists][bad])
I(7,20): 0.3630456328392029	 ([home][needless])
I(30,31): 0.36166077852249146	 ([i'm][even])
I(43): -0.3598010838031769	 ([show])
I(46,58): -0.3569697141647339	 ([worst][man])
I(54,56): 0.35537469387054443	 ([re - enactments ).][know])
I(0,53): -0.35364580154418945	 ([blows][bad])
I(0,6): 0.3520153760910034	 ([blows][worked])
I(20,28): 0.35176748037338257	 ([needless][watched.])
I(14,55): -0.3498467206954956	 ([hoped][even])
I(47,53): 0.3490605354309082	 ([re - enactments][bad])
I(0,9): 0.3477334976196289	 ([blows][emails])
I(40,54): 0.34692102670669556	 ([" fbi][re - enactments ).])
I(6,45): 0.3449915051460266	 ([worked][far,])
I(34,53): 0.34438633918762207	 ([end][bad])
I(1,26): 0.34417057037353516	 ([mind][worth])
I(6,53): 0.3430144786834717	 ([worked][bad])
I(39,45): -0.3426925539970398	 ([scenarios][far,])
I(12,26): 0.34176433086395264	 ([- -][worth])
I(14,18): -0.34171587228775024	 ([hoped][would])
I(2,49): 0.34105682373046875	 ([movie][" arrest])
I(26,31): -0.339003324508667	 ([worth][even])
I(4,50): 0.3387080430984497	 ([made.][trial])
I(40,55): -0.3383798599243164	 ([" fbi][even])
I(50,53): -0.33835506439208984	 ([trial][bad])
I(19): 0.3373787999153137	 ([good.])
I(20,32): -0.33701109886169434	 ([needless][sure])
I(15,27): 0.3364311158657074	 ([revenge][emails])
I(31,54): 0.33470606803894043	 ([even][re - enactments ).])
I(24,28): 0.33315569162368774	 ([plot][watched.])
I(20,55): -0.33244478702545166	 ([needless][even])
I(26,47): 0.33139848709106445	 ([worth][re - enactments])
I(2,28): 0.33020520210266113	 ([movie][watched.])
I(22,28): 0.3285987973213196	 ([revenge][watched.])
I(22,36): 0.3273969888687134	 ([revenge][acting])
I(0,2): 0.32712942361831665	 ([blows][movie])
I(31,56): 0.3249349594116211	 ([even][know])
I(7,22): 0.32436496019363403	 ([home][revenge])
I(17,18): 0.32292139530181885	 ([part][would])
I(15,25): 0.32256925106048584	 ([revenge][twists])
I(0,22): -0.32116496562957764	 ([blows][revenge])
I(7,55): -0.3189570903778076	 ([home][even])
I(38,40): 0.3181964159011841	 ([re - enactment][" fbi])
I(27,36): 0.31782057881355286	 ([emails][acting])
I(0,14): 0.31661415100097656	 ([blows][hoped])
I(31,46): -0.3158745765686035	 ([even][worst])
I(27,38): 0.3153783082962036	 ([emails][re - enactment])
I(4,43): -0.3146626949310303	 ([made.][show])
I(29): -0.3139628767967224	 ([fact,])
I(33): -0.3137424886226654	 ([happened])
I(9,41): 0.31320035457611084	 ([emails][files])
I(7,15): 0.3121126890182495	 ([home][revenge])
I(49,55): -0.3117004632949829	 ([" arrest][even])
I(34,46): 0.31100451946258545	 ([end][worst])
I(28,46): 0.31088459491729736	 ([watched.][worst])
I(9,37): 0.3101557493209839	 ([emails][bad])
I(0,20): 0.3090510368347168	 ([blows][needless])
I(30,46): -0.3065451383590698	 ([i'm][worst])
I(6,7): 0.3053237199783325	 ([worked][home])
I(57,58): 0.30529797077178955	 ([leading][man])
I(27,47): 0.3037869930267334	 ([emails][re - enactments])
I(11,28): 0.30312392115592957	 ([phone][watched.])
I(28,43): 0.3025132119655609	 ([watched.][show])
I(25,28): 0.30054986476898193	 ([twists][watched.])
I(58,59): -0.29940682649612427	 ([man][third])
I(9,10): 0.29879555106163025	 ([emails][answering])
I(51): 0.29650354385375977	 (["])
I(7,36): 0.29617834091186523	 ([home][acting])
I(12): -0.2948673963546753	 ([- -])
I(20,46): -0.29384922981262207	 ([needless][worst])
I(22,24): 0.293658971786499	 ([revenge][plot])
I(28,40): 0.2936033606529236	 ([watched.][" fbi])
I(4,27): 0.2923147678375244	 ([made.][emails])
I(23,49): -0.2911890745162964	 ([forced][" arrest])
I(45,47): -0.29035037755966187	 ([far,][re - enactments])
I(1,55): 0.2886795997619629	 ([mind][even])
I(26,33): -0.28790807723999023	 ([worth][happened])
I(55,59): -0.2876986861228943	 ([even][third])
I(25,33): 0.28705134987831116	 ([twists][happened])
I(6,39): -0.28694915771484375	 ([worked][scenarios])
I(5,31): 0.2868776321411133	 ([watched][even])
I(9,28): 0.2868398427963257	 ([emails][watched.])
I(48,53): -0.28649210929870605	 ([( really][bad])
I(2,22): 0.2864423990249634	 ([movie][revenge])
I(27,43): 0.2863805294036865	 ([emails][show])
I(10,37): -0.28620555996894836	 ([answering][bad])
I(46,52): 0.28590714931488037	 ([worst][possibly])
I(9,15): 0.28575682640075684	 ([emails][revenge])
I(5,30): 0.2856579124927521	 ([watched][i'm])
I(1,18): 0.28460830450057983	 ([mind][would])
I(7,53): 0.2839106321334839	 ([home][bad])
I(39,50): 0.2838054299354553	 ([scenarios][trial])
I(2,58): 0.2809453010559082	 ([movie][man])
I(41,46): 0.28047430515289307	 ([files][worst])
I(31,35): -0.27969929575920105	 ([even][more.])
I(5,46): 0.2793475389480591	 ([watched][worst])
I(46,60): -0.27924251556396484	 ([worst][eye])
I(35,53): 0.27878689765930176	 ([more.][bad])
I(20,31): -0.27769434452056885	 ([needless][even])
I(9,26): 0.2765624523162842	 ([emails][worth])
I(9,22): 0.2765004634857178	 ([emails][revenge])
I(26,60): -0.27585721015930176	 ([worth][eye])
I(32,46): -0.2752676010131836	 ([sure][worst])
I(39,55): 0.274810791015625	 ([scenarios][even])
I(48,49): -0.2745227813720703	 ([( really][" arrest])
I(15,47): 0.273861289024353	 ([revenge][re - enactments])
I(4,5): 0.27187156677246094	 ([made.][watched])
I(50,54): 0.27183103561401367	 ([trial][re - enactments ).])
I(51,52): -0.27133166790008545	 (["][possibly])
I(13,22): 0.2711542844772339	 ([watched][revenge])
I(0,35): 0.2704530656337738	 ([blows][more.])
I(38,55): 0.2699981927871704	 ([re - enactment][even])
I(37,59): -0.26984041929244995	 ([bad][third])
I(23): 0.26955366134643555	 ([forced])
I(39,54): -0.2676066756248474	 ([scenarios][re - enactments ).])
I(1,21): 0.2671715021133423	 ([mind][say,])
I(1,20): 0.26610875129699707	 ([mind][needless])
I(15,31): -0.26566970348358154	 ([revenge][even])
I(13,25): -0.26527878642082214	 ([watched][twists])
I(36,40): 0.26515722274780273	 ([acting][" fbi])
I(21,37): -0.26401543617248535	 ([say,][bad])
I(11,47): 0.2635534107685089	 ([phone][re - enactments])
I(10): -0.26279279589653015	 ([answering])
I(7,13): -0.2626763582229614	 ([home][watched])
I(49,58): -0.26201438903808594	 ([" arrest][man])
I(39,41): 0.2611232399940491	 ([scenarios][files])
I(24): 0.2605738639831543	 ([plot])
I(1,13): 0.2598074674606323	 ([mind][watched])
I(0,60): -0.25801122188568115	 ([blows][eye])
I(40,47): 0.2570836544036865	 ([" fbi][re - enactments])
I(4,44): 0.25662827491760254	 ([made.][- -])
I(15,35): 0.2561071217060089	 ([revenge][more.])
I(29,58): 0.25588059425354004	 ([fact,][man])
I(12,37): 0.25545060634613037	 ([- -][bad])
I(51,53): -0.2549600601196289	 (["][bad])
I(3,15): 0.2547382712364197	 ([got][revenge])
I(21): 0.254528284072876	 ([say,])
I(11,54): 0.25356629490852356	 ([phone][re - enactments ).])
I(11,43): 0.25317904353141785	 ([phone][show])
I(22,39): 0.2524108290672302	 ([revenge][scenarios])
I(14,27): 0.25229549407958984	 ([hoped][emails])
I(2,26): 0.25188636779785156	 ([movie][worth])
I(31,38): 0.24908405542373657	 ([even][re - enactment])
I(3,13): 0.24869412183761597	 ([got][watched])
I(17,19): -0.24855446815490723	 ([part][good.])
I(3,28): 0.24674689769744873	 ([got][watched.])
I(14,22): 0.24666500091552734	 ([hoped][revenge])
I(13,46): 0.24649834632873535	 ([watched][worst])
I(38,39): -0.24647217988967896	 ([re - enactment][scenarios])
I(3,54): 0.24626988172531128	 ([got][re - enactments ).])
I(60): 0.2457716464996338	 ([eye])
I(43,54): 0.24494346976280212	 ([show][re - enactments ).])
I(11,27): 0.24469923973083496	 ([phone][emails])
I(26,35): 0.24418973922729492	 ([worth][more.])
I(4,40): 0.2438334822654724	 ([made.][" fbi])
I(36,56): 0.24381911754608154	 ([acting][know])
I(38,46): -0.24379676580429077	 ([re - enactment][worst])
I(38,50): 0.2429993748664856	 ([re - enactment][trial])
I(9,47): 0.24276655912399292	 ([emails][re - enactments])
I(5,28): 0.24247807264328003	 ([watched][watched.])
I(43,47): 0.2417909801006317	 ([show][re - enactments])
I(5,43): 0.2414269745349884	 ([watched][show])
I(29,46): 0.24127137660980225	 ([fact,][worst])
I(33,53): 0.24107003211975098	 ([happened][bad])
I(41,54): 0.23993653059005737	 ([files][re - enactments ).])
I(23,25): 0.23985707759857178	 ([forced][twists])
I(11): -0.23895063996315002	 ([phone])
I(51,55): -0.23819828033447266	 (["][even])
I(13,20): 0.23761224746704102	 ([watched][needless])
I(14,19): 0.23759275674819946	 ([hoped][good.])
I(39,42): -0.2369556427001953	 ([scenarios]["])
I(6,55): -0.23583149909973145	 ([worked][even])
I(24,53): 0.2355504035949707	 ([plot][bad])
I(7,45): 0.23519772291183472	 ([home][far,])
I(30,37): -0.23495644330978394	 ([i'm][bad])
I(15,38): 0.2344014048576355	 ([revenge][re - enactment])
I(13,28): -0.23435848951339722	 ([watched][watched.])
I(2,20): 0.233845055103302	 ([movie][needless])
I(26,36): 0.23270487785339355	 ([worth][acting])
I(21,22): -0.23214221000671387	 ([say,][revenge])
I(30,53): -0.23179548978805542	 ([i'm][bad])
I(13,26): 0.23178887367248535	 ([watched][worth])
I(11,38): 0.2309330403804779	 ([phone][re - enactment])
I(7,11): 0.23075810074806213	 ([home][phone])
I(6,14): 0.23046326637268066	 ([worked][hoped])
I(22,38): 0.22984540462493896	 ([revenge][re - enactment])
I(22,41): 0.22946447134017944	 ([revenge][files])
I(5,60): -0.22809195518493652	 ([watched][eye])
I(25,41): 0.22748661041259766	 ([twists][files])
I(13,54): -0.2274768352508545	 ([watched][re - enactments ).])
I(40,42): -0.22731924057006836	 ([" fbi]["])
I(0,47): 0.22638967633247375	 ([blows][re - enactments])
I(32,55): -0.22593820095062256	 ([sure][even])
I(30,56): 0.22536438703536987	 ([i'm][know])
I(26,59): -0.224093496799469	 ([worth][third])
I(4,29): 0.2233019471168518	 ([made.][fact,])
I(4,28): 0.22329962253570557	 ([made.][watched.])
I(4,54): -0.22315406799316406	 ([made.][re - enactments ).])
I(14,38): 0.22305774688720703	 ([hoped][re - enactment])
I(7,26): 0.22294187545776367	 ([home][worth])
I(22,49): -0.22216534614562988	 ([revenge][" arrest])
I(39,43): 0.22130855917930603	 ([scenarios][show])
I(7,56): -0.22010350227355957	 ([home][know])
I(31,43): 0.22005963325500488	 ([even][show])
I(11,15): 0.21965861320495605	 ([phone][revenge])
I(6,44): 0.21911472082138062	 ([worked][- -])
I(32,33): 0.2190168797969818	 ([sure][happened])
I(9,38): 0.2188715934753418	 ([emails][re - enactment])
I(45,55): -0.21643728017807007	 ([far,][even])
I(47,54): 0.21624648571014404	 ([re - enactments][re - enactments ).])
I(3,22): 0.21539974212646484	 ([got][revenge])
I(0,57): 0.21392786502838135	 ([blows][leading])
I(0,27): 0.21346548199653625	 ([blows][emails])
I(20,53): -0.21344494819641113	 ([needless][bad])
I(6,10): 0.21321257948875427	 ([worked][answering])
I(28,30): 0.21291184425354004	 ([watched.][i'm])
I(20,23): -0.21248853206634521	 ([needless][forced])
I(25,36): 0.21208608150482178	 ([twists][acting])
I(0,26): -0.2113713026046753	 ([blows][worth])
I(27,58): 0.21136638522148132	 ([emails][man])
I(19,30): 0.21047937870025635	 ([good.][i'm])
I(0,38): 0.21020406484603882	 ([blows][re - enactment])
I(37,57): -0.20968091487884521	 ([bad][leading])
I(36,53): 0.20913100242614746	 ([acting][bad])
I(22,33): -0.20897889137268066	 ([revenge][happened])
I(9,54): 0.2083219289779663	 ([emails][re - enactments ).])
I(5,58): 0.20791003108024597	 ([watched][man])
I(13,14): -0.20782005786895752	 ([watched][hoped])
I(49,52): -0.20676422119140625	 ([" arrest][possibly])
I(6,29): 0.20603013038635254	 ([worked][fact,])
I(22,56): 0.20591533184051514	 ([revenge][know])
I(53,57): -0.2058563232421875	 ([bad][leading])
I(14,46): -0.20429086685180664	 ([hoped][worst])
I(33,49): -0.20373961329460144	 ([happened][" arrest])
I(14,31): -0.2036048173904419	 ([hoped][even])
I(9,35): 0.2034972906112671	 ([emails][more.])
I(7,40): 0.20325496792793274	 ([home][" fbi])
I(22,45): 0.20219427347183228	 ([revenge][far,])
I(54,58): 0.20204246044158936	 ([re - enactments ).][man])
I(44): -0.20176786184310913	 ([- -])
I(40,41): -0.2011483907699585	 ([" fbi][files])
I(0,8): 0.20106655359268188	 ([blows][writing])
I(43,49): 0.1996469795703888	 ([show][" arrest])
I(28,39): 0.19917362928390503	 ([watched.][scenarios])
I(17,53): 0.199052095413208	 ([part][bad])
I(20,43): 0.1982976496219635	 ([needless][show])
I(0,46): -0.19761431217193604	 ([blows][worst])
I(0,39): 0.19663387537002563	 ([blows][scenarios])
I(48,52): -0.1963798999786377	 ([( really][possibly])
I(9,58): 0.19582325220108032	 ([emails][man])
I(5,10): 0.19566944241523743	 ([watched][answering])
I(25,58): 0.1943873167037964	 ([twists][man])
I(19,21): -0.19437044858932495	 ([good.][say,])
I(20,47): 0.1941826343536377	 ([needless][re - enactments])
I(13,58): 0.1928267478942871	 ([watched][man])
I(10,12): 0.19281187653541565	 ([answering][- -])
I(10,35): 0.1926562786102295	 ([answering][more.])
I(29,45): 0.19258743524551392	 ([fact,][far,])
I(49,56): 0.1924641728401184	 ([" arrest][know])
I(59,60): -0.19218838214874268	 ([third][eye])
I(9,46): 0.19214248657226562	 ([emails][worst])
I(7,39): 0.19204360246658325	 ([home][scenarios])
I(0,13): 0.19181299209594727	 ([blows][watched])
I(7,8): -0.1910383701324463	 ([home][writing])
I(41,42): -0.19099700450897217	 ([files]["])
I(23,31): -0.19024550914764404	 ([forced][even])
I(15,40): -0.1899961233139038	 ([revenge][" fbi])
I(14,23): -0.18809235095977783	 ([hoped][forced])
I(9,59): 0.1880415678024292	 ([emails][third])
I(4,6): -0.18789458274841309	 ([made.][worked])
I(3,33): 0.1874462068080902	 ([got][happened])
I(11,20): -0.18729552626609802	 ([phone][needless])
I(1,5): 0.1868220567703247	 ([mind][watched])
I(9,11): 0.18681123852729797	 ([emails][phone])
I(11,39): 0.18679657578468323	 ([phone][scenarios])
I(28,41): 0.186550110578537	 ([watched.][files])
I(5,7): -0.18642902374267578	 ([watched][home])
I(57): 0.1859210729598999	 ([leading])
I(30): 0.18590277433395386	 ([i'm])
I(5,29): 0.18555408716201782	 ([watched][fact,])
I(48,51): -0.1853143572807312	 ([( really]["])
I(14,32): -0.1852879524230957	 ([hoped][sure])
I(1,19): -0.18503022193908691	 ([mind][good.])
I(10,53): -0.1842992603778839	 ([answering][bad])
I(9,33): 0.18410170078277588	 ([emails][happened])
I(55,57): 0.18381190299987793	 ([even][leading])
I(14,58): 0.18311679363250732	 ([hoped][man])
I(27,35): 0.18307942152023315	 ([emails][more.])
I(52,55): 0.18209660053253174	 ([possibly][even])
I(11,41): 0.1811431348323822	 ([phone][files])
I(45,58): 0.18060404062271118	 ([far,][man])
I(2,18): 0.17984217405319214	 ([movie][would])
I(14,37): -0.1798248291015625	 ([hoped][bad])
I(12,44): 0.17972233891487122	 ([- -][- -])
I(34,38): 0.17953452467918396	 ([end][re - enactment])
I(1,6): 0.17893755435943604	 ([mind][worked])
I(32,37): -0.17807245254516602	 ([sure][bad])
I(24,36): 0.1779487133026123	 ([plot][acting])
I(2,31): 0.17739301919937134	 ([movie][even])
I(3,56): 0.17674386501312256	 ([got][know])
I(4,24): 0.1758589744567871	 ([made.][plot])
I(40,56): 0.1754055619239807	 ([" fbi][know])
I(22,43): 0.17516794800758362	 ([revenge][show])
I(1,35): 0.17487797141075134	 ([mind][more.])
I(30,33): -0.17353352904319763	 ([i'm][happened])
I(23,39): 0.17224115133285522	 ([forced][scenarios])
I(24,25): 0.17174148559570312	 ([plot][twists])
I(20,33): -0.17164313793182373	 ([needless][happened])
I(14,16): -0.17161935567855835	 ([hoped]["])
I(21,45): 0.17121055722236633	 ([say,][far,])
I(27,40): -0.17112532258033752	 ([emails][" fbi])
I(9,36): 0.17075753211975098	 ([emails][acting])
I(20,54): 0.17072832584381104	 ([needless][re - enactments ).])
I(56,60): 0.1694747805595398	 ([know][eye])
I(2,46): 0.1684056520462036	 ([movie][worst])
I(1,31): 0.16799187660217285	 ([mind][even])
I(25,38): 0.16785675287246704	 ([twists][re - enactment])
I(36,54): 0.16766220331192017	 ([acting][re - enactments ).])
I(15,36): 0.16718721389770508	 ([revenge][acting])
I(43,53): 0.16700151562690735	 ([show][bad])
I(27,33): 0.166975200176239	 ([emails][happened])
I(1,14): 0.1667613983154297	 ([mind][hoped])
I(31,39): 0.16659420728683472	 ([even][scenarios])
I(30,54): 0.16655811667442322	 ([i'm][re - enactments ).])
I(38,41): 0.16632550954818726	 ([re - enactment][files])
I(41,53): 0.16624945402145386	 ([files][bad])
I(26,58): -0.16608154773712158	 ([worth][man])
I(7,47): 0.16591548919677734	 ([home][re - enactments])
I(14,41): 0.1658058762550354	 ([hoped][files])
I(3,58): 0.16577529907226562	 ([got][man])
I(3,7): 0.1654471755027771	 ([got][home])
I(6,35): 0.16527128219604492	 ([worked][more.])
I(41,58): 0.16484707593917847	 ([files][man])
I(15,24): 0.16482090950012207	 ([revenge][plot])
I(33,34): 0.16437125205993652	 ([happened][end])
I(34,43): 0.16404324769973755	 ([end][show])
