---------- AND Interactions ----------
I(31): 1.8750367164611816	 ([enjoy])
I(36,38): -1.4601715803146362	 ([like][movie])
I(0,1): -1.3980861902236938	 ([afraid][movie])
I(0): -1.1464207172393799	 ([afraid])
I(20): -0.9683331251144409	 ([crazy?])
I(1): 0.8453257083892822	 ([movie])
I(2): -0.7595432996749878	 ([actually])
I(31,37): 0.7025456428527832	 ([enjoy][type])
I(36): -0.6926146745681763	 ([like])
I(43): -0.6630181074142456	 ([slam])
I(35): 0.6347730159759521	 ([people])
I(31,32): 0.6286640167236328	 ([enjoy][way. i])
I(1,3): 0.6177921295166016	 ([movie][watch])
I(11): -0.595023512840271	 ([leathal])
I(13,14): 0.5719970464706421	 ([part][58])
I(44): -0.5634465217590332	 ([..... duh])
I(30): 0.5498952865600586	 ([ever])
I(38): -0.5377223491668701	 ([movie])
I(31,35): -0.524613618850708	 ([enjoy][people])
I(41): -0.5230778455734253	 ([watch])
I(18): 0.4955325126647949	 ([riggs])
I(31,38): 0.4646768569946289	 ([enjoy][movie])
I(6,38): -0.4575526714324951	 ([it. i][movie])
I(37,39): 0.4445376396179199	 ([type][type])
I(6): -0.4433443546295166	 ([it. i])
I(36,40): -0.4415254592895508	 ([like][anything])
I(37,41): -0.436282753944397	 ([type][watch])
I(18,20): 0.4289799928665161	 ([riggs][crazy?])
I(0,38): -0.42455506324768066	 ([afraid][movie])
I(26): -0.41238653659820557	 ([run])
I(12): -0.3817317485809326	 ([weapon])
I(37,43): -0.3768947124481201	 ([type][slam])
I(0,36): -0.36605870723724365	 ([afraid][like])
I(9,10): -0.36144423484802246	 ([like][.....])
I(2,3): 0.35706794261932373	 ([actually][watch])
I(26,27): 0.35669219493865967	 ([run][everywhere])
I(26,28): 0.3466963768005371	 ([run][talk])
I(39,41): -0.34461987018585205	 ([type][watch])
I(32): 0.33737611770629883	 ([way. i])
I(4): -0.3330106735229492	 ([get])
I(1,33): 0.32938528060913086	 ([movie][noticed])
I(6,31): 0.32237911224365234	 ([it. i][enjoy])
I(1,36): 0.3159102201461792	 ([movie][like])
I(34): 0.3127410411834717	 ([past])
I(33,36): -0.3107168674468994	 ([noticed][like])
I(38,42): 0.30830705165863037	 ([movie][movie])
I(21,38): 0.3029567003250122	 ([movie][movie])
I(1,37): -0.29981088638305664	 ([movie][type])
I(32,33): -0.29807329177856445	 ([way. i][noticed])
I(1,29): 0.29232609272003174	 ([movie][phone])
I(34,36): -0.2918229103088379	 ([past][like])
I(1,41): 0.29173123836517334	 ([movie][watch])
I(41,43): 0.2896606922149658	 ([watch][slam])
I(22,31): -0.28912878036499023	 ([pretty][enjoy])
I(37,45): -0.2869274616241455	 ([type][get])
I(0,29): -0.2786363363265991	 ([afraid][phone])
I(1,6): -0.2743973731994629	 ([movie][it. i])
I(2,31): 0.2702449560165405	 ([actually][enjoy])
I(1,20): 0.2695695161819458	 ([movie][crazy?])
I(42,43): -0.2678852081298828	 ([movie][slam])
I(11,31): 0.25825464725494385	 ([leathal][enjoy])
I(40,42): -0.2573503255844116	 ([anything][movie])
I(0,16): -0.2556111812591553	 ([afraid][know])
I(29,30): -0.25106585025787354	 ([phone][ever])
I(0,33): -0.2492659091949463	 ([afraid][noticed])
I(5,6): -0.24653422832489014	 ([anything][it. i])
I(38,43): -0.24480974674224854	 ([movie][slam])
I(8,38): 0.24402546882629395	 ([movie][movie])
I(11,42): -0.2436659336090088	 ([leathal][movie])
I(35,36): -0.24349725246429443	 ([people][like])
I(41,42): 0.24330902099609375	 ([watch][movie])
I(1,10): 0.24068307876586914	 ([movie][.....])
I(38,41): 0.23775076866149902	 ([movie][watch])
I(1,21): -0.2312941551208496	 ([movie][movie])
I(20,38): -0.22874534130096436	 ([crazy?][movie])
I(0,37): 0.22799348831176758	 ([afraid][type])
I(0,5): 0.22626841068267822	 ([afraid][anything])
I(42): -0.2259882688522339	 ([movie])
I(9): -0.22515082359313965	 ([like])
I(32,34): -0.22495317459106445	 ([way. i][past])
I(6,33): -0.2228008508682251	 ([it. i][noticed])
I(19,20): -0.21560966968536377	 ([really][crazy?])
I(26,36): -0.21253228187561035	 ([run][like])
I(29,31): 0.2123492956161499	 ([phone][enjoy])
I(38,44): -0.20885825157165527	 ([movie][..... duh])
I(40): 0.20856952667236328	 ([anything])
I(2,38): -0.20462310314178467	 ([actually][movie])
I(32,43): -0.20292723178863525	 ([way. i][slam])
I(16,36): -0.20200634002685547	 ([know][like])
I(37,38): -0.20064878463745117	 ([type][movie])
I(29,41): 0.20016121864318848	 ([phone][watch])
I(0,25): -0.19971513748168945	 ([afraid][beginning.])
I(35,38): 0.19731831550598145	 ([people][movie])
I(31,40): -0.1970987319946289	 ([enjoy][anything])
I(4,6): 0.19582319259643555	 ([get][it. i])
I(3,37): -0.19495058059692383	 ([watch][type])
I(10,11): 0.19447851181030273	 ([.....][leathal])
I(26,29): 0.19431376457214355	 ([run][phone])
I(0,4): 0.19380533695220947	 ([afraid][get])
I(26,31): 0.19162189960479736	 ([run][enjoy])
I(7,33): 0.18935775756835938	 ([mindless][noticed])
I(20,22): 0.18770122528076172	 ([crazy?][pretty])
I(32,36): -0.1875014305114746	 ([way. i][like])
I(25,28): 0.18710458278656006	 ([beginning.][talk])
I(26,32): -0.18677282333374023	 ([run][way. i])
I(12,18): -0.1863422393798828	 ([weapon][riggs])
I(1,25): 0.18397140502929688	 ([movie][beginning.])
I(32,37): -0.18262171745300293	 ([way. i][type])
I(33): 0.18256688117980957	 ([noticed])
I(1,30): -0.18253636360168457	 ([movie][ever])
I(3,41): 0.18116557598114014	 ([watch][watch])
I(20,31): 0.17789268493652344	 ([crazy?][enjoy])
I(28): -0.17674624919891357	 ([talk])
I(45): -0.17664825916290283	 ([get])
I(11,29): 0.1761794090270996	 ([leathal][phone])
I(2,16): -0.17557549476623535	 ([actually][know])
I(6,36): -0.17545640468597412	 ([it. i][like])
I(36,45): 0.17344677448272705	 ([like][get])
I(37): 0.17308855056762695	 ([type])
I(1,7): 0.17243480682373047	 ([movie][mindless])
I(11,38): -0.17183244228363037	 ([leathal][movie])
I(18,22): -0.1717529296875	 ([riggs][pretty])
I(12,22): -0.17036354541778564	 ([weapon][pretty])
I(31,45): 0.1694798469543457	 ([enjoy][get])
I(24): -0.167222261428833	 ([end])
I(18,19): 0.16572141647338867	 ([riggs][really])
I(12,38): -0.16461336612701416	 ([weapon][movie])
I(1,26): 0.1642850637435913	 ([movie][run])
I(25,36): 0.1640223264694214	 ([beginning.][like])
I(3,38): 0.16388893127441406	 ([watch][movie])
I(16): -0.163185715675354	 ([know])
I(0,27): 0.1629089117050171	 ([afraid][everywhere])
I(26,37): -0.16276943683624268	 ([run][type])
I(20,28): 0.16225719451904297	 ([crazy?][talk])
I(38,45): -0.1622549295425415	 ([movie][get])
I(20,43): 0.16196084022521973	 ([crazy?][slam])
I(0,7): 0.16087913513183594	 ([afraid][mindless])
I(25,31): 0.15942692756652832	 ([beginning.][enjoy])
I(1,4): -0.15885496139526367	 ([movie][get])
I(11,36): -0.15631794929504395	 ([leathal][like])
I(36,42): -0.15482354164123535	 ([like][movie])
I(17): 0.15463638305664062	 ([one])
I(11,12): -0.15407443046569824	 ([leathal][weapon])
I(2,19): 0.15156018733978271	 ([actually][really])
I(14,15): 0.15073895454406738	 ([58]["])
I(39,43): -0.14973318576812744	 ([type][slam])
I(12,37): -0.14965176582336426	 ([weapon][type])
I(8,9): 0.14890098571777344	 ([movie][like])
I(32,38): -0.14811944961547852	 ([way. i][movie])
I(27): 0.14783740043640137	 ([everywhere])
I(1,42): -0.1473454236984253	 ([movie][movie])
I(30,35): -0.14658188819885254	 ([ever][people])
I(28,35): -0.14569318294525146	 ([talk][people])
I(27,28): 0.1451190710067749	 ([everywhere][talk])
I(35,44): 0.1446549892425537	 ([people][..... duh])
I(28,31): 0.14464139938354492	 ([talk][enjoy])
I(35,45): 0.14419949054718018	 ([people][get])
I(20,27): 0.13990771770477295	 ([crazy?][everywhere])
I(18,29): 0.13948547840118408	 ([riggs][phone])
I(12,42): -0.13831079006195068	 ([weapon][movie])
I(3,20): -0.13656413555145264	 ([watch][crazy?])
I(29,43): 0.13627731800079346	 ([phone][slam])
I(36,37): -0.13622748851776123	 ([like][type])
I(2,4): 0.13601469993591309	 ([actually][get])
I(39,42): -0.13583588600158691	 ([type][movie])
I(8,12): -0.1355654001235962	 ([movie][weapon])
I(12,21): -0.13515877723693848	 ([weapon][movie])
I(25,32): -0.1335437297821045	 ([beginning.][way. i])
I(6,21): -0.13088250160217285	 ([it. i][movie])
I(7,21): 0.13009357452392578	 ([mindless][movie])
I(18,36): -0.12997424602508545	 ([riggs][like])
I(29): -0.129114031791687	 ([phone])
I(16,21): -0.12792742252349854	 ([know][movie])
I(35,37): 0.1278243064880371	 ([people][type])
I(11,35): 0.1274183988571167	 ([leathal][people])
I(0,2): -0.12700998783111572	 ([afraid][actually])
I(22,37): -0.12604713439941406	 ([pretty][type])
I(17,36): 0.1260157823562622	 ([one][like])
I(33,37): -0.12445306777954102	 ([noticed][type])
I(42,44): -0.12416326999664307	 ([movie][..... duh])
I(28,30): -0.12372171878814697	 ([talk][ever])
I(8,42): 0.12267684936523438	 ([movie][movie])
I(43,44): -0.12233054637908936	 ([slam][..... duh])
I(0,31): 0.1216878890991211	 ([afraid][enjoy])
I(30,36): -0.1212615966796875	 ([ever][like])
I(17,18): 0.12089252471923828	 ([one][riggs])
I(8,10): -0.1199331283569336	 ([movie][.....])
I(21,41): 0.11960160732269287	 ([movie][watch])
I(7,22): 0.11765193939208984	 ([mindless][pretty])
I(33,35): -0.11723947525024414	 ([noticed][people])
I(1,38): 0.11703181266784668	 ([movie][movie])
I(3,5): -0.11558306217193604	 ([watch][anything])
I(0,32): -0.11529934406280518	 ([afraid][way. i])
I(0,3): -0.11411142349243164	 ([afraid][watch])
I(21,37): -0.1139669418334961	 ([movie][type])
I(1,44): 0.1137535572052002	 ([movie][..... duh])
I(4,38): -0.11210966110229492	 ([get][movie])
I(12,43): 0.11204469203948975	 ([weapon][slam])
I(19): 0.11127376556396484	 ([really])
I(28,43): 0.11081409454345703	 ([talk][slam])
I(6,30): 0.11023402214050293	 ([it. i][ever])
I(29,38): 0.10937130451202393	 ([phone][movie])
I(21,33): 0.10883212089538574	 ([movie][noticed])
I(0,30): 0.10874521732330322	 ([afraid][ever])
I(18,31): -0.1084299087524414	 ([riggs][enjoy])
I(12,41): 0.10752153396606445	 ([weapon][watch])
I(38,39): -0.10735189914703369	 ([movie][type])
I(29,36): 0.10698866844177246	 ([phone][like])
I(25,37): -0.1068265438079834	 ([beginning.][type])
