---------- AND Interactions ----------
I(FG): -3.825232744216919	 ([healthy][gunfight])
I(u): 2.860656976699829	 ([incessant])
I(q): -2.798719644546509	 ([coolness])
I({|): 2.2353806495666504	 ([crawl - space][chic,])
I(EG): -1.9591479301452637	 ([sketch.][gunfight])
I(e): 1.7622292041778564	 ([whore])
I(fg): 1.709429383277893	 ([bitch]["])
I(s): 1.6161861419677734	 ([bloody])
I(CD): 1.4359198808670044	 ([could][redeemed])
I(F): -1.429043173789978	 ([healthy])
I(st): -1.4159941673278809	 ([bloody][tampon,])
I(du): -1.3351702690124512	 ([snags ;][incessant])
I(k): -1.2861230373382568	 ([protagonist])
I(cd): -1.2477577924728394	 ([resolved][snags ;])
I(pq): 1.2381786108016968	 ([explaining][coolness])
I(X): 1.2150238752365112	 ([guys])
I(GN): 1.2110074758529663	 ([gunfight][motel])
I(eu): -1.2048897743225098	 ([whore][incessant])
I(N): 1.2000771760940552	 ([motel])
I(|): -1.1948635578155518	 ([chic,])
I(Gu): -1.1395924091339111	 ([gunfight][incessant])
I(qt): 1.1096012592315674	 ([coolness][tampon,])
I(ei): -1.098479151725769	 ([whore][windscreen,])
I({): 1.0729950666427612	 ([crawl - space])
I(ru): -1.0530614852905273	 ([pressure][incessant])
I(b): 1.0390918254852295	 ([smithereens,])
I(FL): 0.9985568523406982	 ([healthy][delicatessen,])
I(_b): -0.9903934597969055	 ([blown][smithereens,])
I(bd): -0.9797542691230774	 ([smithereens,][snags ;])
I(EF): -0.9761810302734375	 ([sketch.][healthy])
I(DF): -0.9637340307235718	 ([redeemed][healthy])
I(h): -0.9622344970703125	 ([ode])
I(Fq): 0.9312695264816284	 ([healthy][coolness])
I(Gq): 0.9300976991653442	 ([gunfight][coolness])
I(_`): -0.928469717502594	 ([blown][freezing])
I(EN): -0.9267481565475464	 ([sketch.][motel])
I(t): -0.9237165451049805	 ([tampon,])
I(mq): 0.8925302028656006	 ([friends,][coolness])
I(Gd): -0.8785021305084229	 ([gunfight][snags ;])
I(Wu): 0.8696227073669434	 ([rent - boy][incessant])
I(AF): 0.8451210260391235	 ([one][healthy])
I(r): 0.8411102890968323	 ([pressure])
I(FI): -0.8279280662536621	 ([healthy][couple,])
I(be): -0.8083866834640503	 ([smithereens,][whore])
I(kq): 0.7863001823425293	 ([protagonist][coolness])
I(\q): 0.7804656028747559	 ([house.][coolness])
I(T_): 0.77309250831604	 ([watching][blown])
I(hi): 0.7584718465805054	 ([ode][windscreen,])
I(l): 0.7542951107025146	 ([" no])
I(eq): 0.7500132322311401	 ([whore][coolness])
I(BD): -0.7498767375946045	 ([thing][redeemed])
I(_a): -0.7498461604118347	 ([blown][shack])
I(km): 0.7443711757659912	 ([protagonist][friends,])
I(_d): -0.7422854900360107	 ([blown][snags ;])
I(Dk): 0.7336418628692627	 ([redeemed][protagonist])
I(J): 0.7322704792022705	 ([exotic])
I(ek): 0.7125191688537598	 ([whore][protagonist])
I(HI): -0.706466794013977	 ([happy][couple,])
I(t|): 0.705335259437561	 ([tampon,][chic,])
I(EH): -0.701115071773529	 ([sketch.][happy])
I(tu): 0.6999404430389404	 ([tampon,][incessant])
I(bu): -0.6870520114898682	 ([smithereens,][incessant])
I(BE): -0.6832587718963623	 ([thing][sketch.])
I(ef): 0.6808388233184814	 ([whore][bitch])
I(Z): -0.6734051704406738	 ([shared])
I(q|): 0.673180341720581	 ([coolness][chic,])
I(Nq): -0.6680334806442261	 ([motel][coolness])
I(W{): 0.6669126749038696	 ([rent - boy][crawl - space])
I(i|): 0.6663488149642944	 ([windscreen,][chic,])
I(de): -0.6643784046173096	 ([snags ;][whore])
I(lu): -0.6588413715362549	 ([" no][incessant])
I(Dq): 0.6535570621490479	 ([redeemed][coolness])
I([): 0.6436108350753784	 ([rubber])
I(m): -0.6418249607086182	 ([friends,])
I(AD): 0.6325898170471191	 ([one][redeemed])
I(dr): -0.6230711936950684	 ([snags ;][pressure])
I(DG): -0.6174068450927734	 ([redeemed][gunfight])
I(Uu): 0.6165635585784912	 ([woods][incessant])
I(jk): -0.6039044857025146	 ([reason][protagonist])
I(`b): -0.6033631563186646	 ([freezing][smithereens,])
I(fq): 0.5929653644561768	 ([bitch][coolness])
I(_): 0.586728572845459	 ([blown])
I(WX): 0.5826617479324341	 ([rent - boy][guys])
I(Vu): -0.5724749565124512	 ([aging][incessant])
I(lq): 0.5722230672836304	 ([" no][coolness])
I(Ge): -0.5702136754989624	 ([gunfight][whore])
I(Z\): 0.5669106245040894	 ([shared][house.])
I(Nd): 0.566644549369812	 ([motel][snags ;])
I(EO): -0.5633349418640137	 ([sketch.][( it])
I(u|): -0.562455415725708	 ([incessant][chic,])
I(uw): -0.5565854907035828	 ([incessant][calls])
I([_): -0.5523086786270142	 ([rubber][blown])
I(Du): -0.5495429039001465	 ([redeemed][incessant])
I(d~): 0.5436320304870605	 ([snags ;][thumb,])
I(w): 0.5411266684532166	 ([calls])
I(sv): -0.5318792462348938	 ([bloody][phone])
I(Wq): 0.5316753387451172	 ([rent - boy][coolness])
I(su): -0.5303249359130859	 ([bloody][incessant])
I(wx): -0.5272068977355957	 ([calls][.])
I(`d): -0.5244876146316528	 ([freezing][snags ;])
I(af): 0.5231838226318359	 ([shack][bitch])
I(Ek): 0.5230557918548584	 ([sketch.][protagonist])
I(d): 0.5228204727172852	 ([snags ;])
I(I): -0.5164016485214233	 ([couple,])
I(Gk): 0.5130366086959839	 ([gunfight][protagonist])
I(jm): -0.5122580528259277	 ([reason][friends,])
I([d): 0.5104014873504639	 ([rubber][snags ;])
I(\): -0.5099070072174072	 ([house.])
I(Ku): 0.5061454772949219	 ([model][incessant])
I(\k): 0.5050667524337769	 ([house.][protagonist])
I(fm): 0.5036829113960266	 ([bitch][friends,])
