---------- Players ----------
Player 0: one
Player 1: thing
Player 2: could
Player 3: redeemed
Player 4: sketch.
Player 5: healthy
Player 6: gunfight
Player 7: happy
Player 8: couple,
Player 9: exotic
Player 10: model
Player 11: delicatessen,
Player 12: old - timer
Player 13: motel
Player 14: ( it
Player 15: would
Player 16: turned
Player 17: out )
Player 18: secretly
Player 19: watching
Player 20: woods
Player 21: aging
Player 22: rent - boy
Player 23: guys
Player 24: they'd
Player 25: shared
Player 26: rubber
Player 27: house.
Player 28: process,
Player 29: could
Player 30: blown
Player 31: freezing
Player 32: shack
Player 33: smithereens,
Player 34: resolved
Player 35: snags ;
Player 36: whore
Player 37: bitch
Player 38: "
Player 39: ode
Player 40: windscreen,
Player 41: reason
Player 42: protagonist
Player 43: " no
Player 44: friends,
Player 45: "
Player 46: well
Player 47: explaining
Player 48: coolness
Player 49: pressure
Player 50: bloody
Player 51: tampon,
Player 52: incessant
Player 53: phone
Player 54: calls
Player 55: .
Player 56: .
Player 57: .
Player 58: crawl - space
Player 59: chic,
Player 60: green
Player 61: thumb,
---------- Rewards ----------
v(): -0.34240129590034485	 ([])
v(0): -0.39603132009506226	 ([one])
v(1): -0.2613539397716522	 ([thing])
v(2): -0.14029720425605774	 ([could])
v(3): -0.611232578754425	 ([redeemed])
v(4): -0.6503318548202515	 ([sketch.])
v(5): -1.7714444398880005	 ([healthy])
v(6): -0.3171204924583435	 ([gunfight])
v(7): -0.5562371015548706	 ([happy])
v(8): -0.8588029742240906	 ([couple,])
v(9): 0.38986918330192566	 ([exotic])
v(10): -0.2970089018344879	 ([model])
v(11): -0.4379909634590149	 ([delicatessen,])
v(12): -0.5331834554672241	 ([old - timer])
v(13): 0.8576758503913879	 ([motel])
v(14): -0.4393349885940552	 ([( it])
v(15): -0.09943792223930359	 ([would])
v(16): -0.49679094552993774	 ([turned])
v(17): -0.2245703637599945	 ([out )])
v(18): -0.39773815870285034	 ([secretly])
v(19): -0.4804462194442749	 ([watching])
v(20): -0.6368610262870789	 ([woods])
v(21): -0.27524101734161377	 ([aging])
v(22): -0.04742431640625	 ([rent - boy])
v(23): 0.872622549533844	 ([guys])
v(24): -0.3830106258392334	 ([they'd])
v(25): -1.0158064365386963	 ([shared])
v(26): 0.3012095093727112	 ([rubber])
v(27): -0.8523083329200745	 ([house.])
v(28): -0.1508893370628357	 ([process,])
v(29): -0.28987306356430054	 ([could])
v(30): 0.24432730674743652	 ([blown])
v(31): 0.05631685256958008	 ([freezing])
v(32): -0.12723129987716675	 ([shack])
v(33): 0.6966904997825623	 ([smithereens,])
v(34): -0.5082614421844482	 ([resolved])
v(35): 0.1804192066192627	 ([snags ;])
v(36): 1.419827938079834	 ([whore])
v(37): 0.06470531225204468	 ([bitch])
v(38): -0.2597436010837555	 (["])
v(39): -1.304635763168335	 ([ode])
v(40): -0.196903258562088	 ([windscreen,])
v(41): -0.28211280703544617	 ([reason])
v(42): -1.6285243034362793	 ([protagonist])
v(43): 0.4118938148021698	 ([" no])
v(44): -0.9842262268066406	 ([friends,])
v(45): -0.24787160754203796	 (["])
v(46): -0.2742117941379547	 ([well])
v(47): -0.2611933648586273	 ([explaining])
v(48): -3.1411209106445312	 ([coolness])
v(49): 0.4987089931964874	 ([pressure])
v(50): 1.273784875869751	 ([bloody])
v(51): -1.266117811203003	 ([tampon,])
v(52): 2.5182557106018066	 ([incessant])
v(53): -0.027989476919174194	 ([phone])
v(54): 0.1987253725528717	 ([calls])
v(55): -0.34196972846984863	 ([.])
v(56): -0.30216479301452637	 ([.])
v(57): -0.44099920988082886	 ([.])
v(58): 0.730593740940094	 ([crawl - space])
v(59): -1.5372648239135742	 ([chic,])
v(60): -0.7094892263412476	 ([green])
v(61): -0.3618970513343811	 ([thumb,])
v(0,1): -0.17691630125045776	 ([one][thing])
v(0,2): -0.3607485294342041	 ([one][could])
v(0,3): -0.032272785902023315	 ([one][redeemed])
v(0,4): -0.9022375345230103	 ([one][sketch.])
v(0,5): -0.9799534678459167	 ([one][healthy])
v(0,6): -0.4995897710323334	 ([one][gunfight])
v(0,7): -0.5344105362892151	 ([one][happy])
v(0,8): -0.814546525478363	 ([one][couple,])
v(0,9): 0.2682536542415619	 ([one][exotic])
v(0,10): -0.3118883967399597	 ([one][model])
v(0,11): -0.4784264862537384	 ([one][delicatessen,])
v(0,12): -0.5444872975349426	 ([one][old - timer])
v(0,13): 0.7406553626060486	 ([one][motel])
v(0,14): -0.44299983978271484	 ([one][( it])
v(0,15): -0.15644413232803345	 ([one][would])
v(0,16): -0.5106869339942932	 ([one][turned])
v(0,17): -0.3296571373939514	 ([one][out )])
v(0,18): -0.44559720158576965	 ([one][secretly])
v(0,19): -0.4689672589302063	 ([one][watching])
v(0,20): -0.6747167706489563	 ([one][woods])
v(0,21): -0.35665467381477356	 ([one][aging])
v(0,22): -0.05387204885482788	 ([one][rent - boy])
v(0,23): 0.8376482129096985	 ([one][guys])
v(0,24): -0.4765034019947052	 ([one][they'd])
v(0,25): -1.1046903133392334	 ([one][shared])
v(0,26): 0.22225549817085266	 ([one][rubber])
v(0,27): -0.8511286973953247	 ([one][house.])
v(0,28): -0.2286338210105896	 ([one][process,])
v(0,29): -0.4563823342323303	 ([one][could])
v(0,30): 0.10576450824737549	 ([one][blown])
v(0,31): 0.014989674091339111	 ([one][freezing])
v(0,32): -0.23930957913398743	 ([one][shack])
v(0,33): 0.5730565786361694	 ([one][smithereens,])
v(0,34): -0.654083788394928	 ([one][resolved])
v(0,35): 0.248585045337677	 ([one][snags ;])
v(0,36): 1.3039623498916626	 ([one][whore])
v(0,37): 0.017621397972106934	 ([one][bitch])
v(0,38): -0.31508034467697144	 ([one]["])
v(0,39): -1.3411492109298706	 ([one][ode])
v(0,40): -0.3117212653160095	 ([one][windscreen,])
v(0,41): -0.3302273750305176	 ([one][reason])
v(0,42): -1.629042387008667	 ([one][protagonist])
v(0,43): 0.35928040742874146	 ([one][" no])
v(0,44): -0.99001145362854	 ([one][friends,])
v(0,45): -0.28970542550086975	 ([one]["])
v(0,46): -0.3453958034515381	 ([one][well])
v(0,47): -0.224365234375	 ([one][explaining])
v(0,48): -2.856854200363159	 ([one][coolness])
v(0,49): 0.37846288084983826	 ([one][pressure])
v(0,50): 1.1005773544311523	 ([one][bloody])
v(0,51): -1.2764374017715454	 ([one][tampon,])
v(0,52): 2.5257058143615723	 ([one][incessant])
v(0,53): -0.06692451238632202	 ([one][phone])
v(0,54): 0.13914567232131958	 ([one][calls])
v(0,55): -0.39708834886550903	 ([one][.])
v(0,56): -0.35291996598243713	 ([one][.])
v(0,57): -0.47576746344566345	 ([one][.])
v(0,58): 0.7566215395927429	 ([one][crawl - space])
v(0,59): -1.4857386350631714	 ([one][chic,])
v(0,60): -0.7101818323135376	 ([one][green])
v(0,61): -0.34938493371009827	 ([one][thumb,])
v(1,2): 0.02712196111679077	 ([thing][could])
v(1,3): -1.280061960220337	 ([thing][redeemed])
v(1,4): -1.2525432109832764	 ([thing][sketch.])
v(1,5): -1.4145008325576782	 ([thing][healthy])
v(1,6): -0.026218831539154053	 ([thing][gunfight])
v(1,7): -0.5434712767601013	 ([thing][happy])
v(1,8): -0.6366652846336365	 ([thing][couple,])
v(1,9): 0.405775785446167	 ([thing][exotic])
v(1,10): -0.25159791111946106	 ([thing][model])
v(1,11): -0.35524970293045044	 ([thing][delicatessen,])
v(1,12): -0.37347638607025146	 ([thing][old - timer])
v(1,13): 0.9183925986289978	 ([thing][motel])
v(1,14): -0.3159865736961365	 ([thing][( it])
v(1,15): -0.0639382004737854	 ([thing][would])
v(1,16): -0.4509984850883484	 ([thing][turned])
v(1,17): -0.15583327412605286	 ([thing][out )])
v(1,18): -0.3518012464046478	 ([thing][secretly])
v(1,19): -0.36281949281692505	 ([thing][watching])
v(1,20): -0.5481025576591492	 ([thing][woods])
v(1,21): -0.19096967577934265	 ([thing][aging])
v(1,22): 0.139884352684021	 ([thing][rent - boy])
v(1,23): 0.8198064565658569	 ([thing][guys])
v(1,24): -0.29389509558677673	 ([thing][they'd])
v(1,25): -0.832875669002533	 ([thing][shared])
v(1,26): 0.31168702244758606	 ([thing][rubber])
v(1,27): -0.7021403312683105	 ([thing][house.])
v(1,28): -0.059927016496658325	 ([thing][process,])
v(1,29): -0.17354866862297058	 ([thing][could])
v(1,30): 0.23159773647785187	 ([thing][blown])
v(1,31): 0.07375383377075195	 ([thing][freezing])
v(1,32): -0.06703853607177734	 ([thing][shack])
v(1,33): 0.6130921840667725	 ([thing][smithereens,])
v(1,34): -0.5271835923194885	 ([thing][resolved])
v(1,35): 0.10780492424964905	 ([thing][snags ;])
v(1,36): 1.3590679168701172	 ([thing][whore])
v(1,37): 0.3229707181453705	 ([thing][bitch])
v(1,38): -0.19163358211517334	 ([thing]["])
v(1,39): -1.1818660497665405	 ([thing][ode])
v(1,40): -0.12082701921463013	 ([thing][windscreen,])
v(1,41): -0.16177788376808167	 ([thing][reason])
v(1,42): -1.28701913356781	 ([thing][protagonist])
v(1,43): 0.3624146580696106	 ([thing][" no])
v(1,44): -0.8729552030563354	 ([thing][friends,])
v(1,45): -0.16100791096687317	 ([thing]["])
v(1,46): -0.23505857586860657	 ([thing][well])
v(1,47): -0.2369159758090973	 ([thing][explaining])
v(1,48): -2.836416482925415	 ([thing][coolness])
v(1,49): 0.4354628920555115	 ([thing][pressure])
v(1,50): 1.158135175704956	 ([thing][bloody])
v(1,51): -1.0179057121276855	 ([thing][tampon,])
v(1,52): 2.2061469554901123	 ([thing][incessant])
v(1,53): 0.02685442566871643	 ([thing][phone])
v(1,54): 0.2234346568584442	 ([thing][calls])
v(1,55): -0.2521069347858429	 ([thing][.])
v(1,56): -0.22897499799728394	 ([thing][.])
v(1,57): -0.361534059047699	 ([thing][.])
v(1,58): 0.7700324058532715	 ([thing][crawl - space])
v(1,59): -1.2485027313232422	 ([thing][chic,])
v(1,60): -0.6092013716697693	 ([thing][green])
v(1,61): -0.24799326062202454	 ([thing][thumb,])
v(2,3): 1.0267914533615112	 ([could][redeemed])
v(2,4): -0.6728201508522034	 ([could][sketch.])
v(2,5): -1.4207711219787598	 ([could][healthy])
v(2,6): 0.01716861128807068	 ([could][gunfight])
v(2,7): -0.3439916968345642	 ([could][happy])
v(2,8): -0.6106134653091431	 ([could][couple,])
v(2,9): 0.6074196100234985	 ([could][exotic])
v(2,10): -0.10086989402770996	 ([could][model])
v(2,11): -0.21450543403625488	 ([could][delicatessen,])
v(2,12): -0.35021841526031494	 ([could][old - timer])
v(2,13): 1.0389485359191895	 ([could][motel])
v(2,14): -0.23165997862815857	 ([could][( it])
v(2,15): -0.020034849643707275	 ([could][would])
v(2,16): -0.17087405920028687	 ([could][turned])
v(2,17): 0.0018633008003234863	 ([could][out )])
v(2,18): -0.1859874427318573	 ([could][secretly])
v(2,19): -0.23630699515342712	 ([could][watching])
v(2,20): -0.3840177059173584	 ([could][woods])
v(2,21): 0.0038525760173797607	 ([could][aging])
v(2,22): 0.23731589317321777	 ([could][rent - boy])
v(2,23): 1.1202787160873413	 ([could][guys])
v(2,24): -0.2063816487789154	 ([could][they'd])
v(2,25): -0.8428890109062195	 ([could][shared])
v(2,26): 0.5152330994606018	 ([could][rubber])
v(2,27): -0.5559167861938477	 ([could][house.])
