---------- Players ----------
Player 0: .... as
Player 1: level
Player 2: wit
Player 3: comedy
Player 4: operates.
Player 5: barely
Player 6: even
Player 7: reaching
Player 8: feature
Player 9: length,
Player 10: it....'till
Player 11: need
Player 12: glasses
Player 13: "
Player 14: collection
Player 15: ( mostly )
Player 16: dirty
Player 17: jokes.
Player 18: many
Player 19: short
Player 20: can't
Player 21: believe
Player 22: realize
Player 23: supposed
Player 24: punchline
Player 25: ( example :
Player 26: santa
Player 27: claus
Player 28: gag ) ;
Player 29: others
Player 30: long
Player 31: can't
Player 32: believe
Player 33: realize
Player 34: needed
Player 35: much
Player 36: time
Player 37: set
Player 38: punchline
Player 39: ( example :
Player 40: students '
Player 41: awards
Player 42: gag ).
Player 43: nearly
Player 44: directed
Player 45: without
Player 46: artistry.
Player 47: get
Player 48: wrong :
Player 49: 1
Player 50: every
Player 51: 10
Player 52: jokes
Player 53: actually
Player 54: manages
Player 55: funny
Player 56: ( the
Player 57: iron
Player 58: phone
Player 59: one
Player 60: probably
---------- Rewards ----------
v(): -1.3653199672698975	 ([])
v(0): -0.9785498976707458	 ([.... as])
v(1): -1.4227120876312256	 ([level])
v(2): -1.106191873550415	 ([wit])
v(3): -2.0866219997406006	 ([comedy])
v(4): -2.034816265106201	 ([operates.])
v(5): 0.020932048559188843	 ([barely])
v(6): -1.3329036235809326	 ([even])
v(7): -2.2468068599700928	 ([reaching])
v(8): -0.49375826120376587	 ([feature])
v(9): -1.040097951889038	 ([length,])
v(10): -1.3676090240478516	 ([it....'till])
v(11): -1.4642136096954346	 ([need])
v(12): -1.0557509660720825	 ([glasses])
v(13): -1.2241417169570923	 (["])
v(14): -2.3789162635803223	 ([collection])
v(15): -1.6341594457626343	 ([( mostly )])
v(16): 0.6577739119529724	 ([dirty])
v(17): -1.989355206489563	 ([jokes.])
v(18): -1.532598853111267	 ([many])
v(19): -1.3467916250228882	 ([short])
v(20): -1.0613383054733276	 ([can't])
v(21): -1.6330264806747437	 ([believe])
v(22): -1.5091543197631836	 ([realize])
v(23): -1.0797271728515625	 ([supposed])
v(24): -1.4030981063842773	 ([punchline])
v(25): -1.1357433795928955	 ([( example :])
v(26): -0.897139847278595	 ([santa])
v(27): -1.502182126045227	 ([claus])
v(28): -0.4352511763572693	 ([gag ) ;])
v(29): -1.4074491262435913	 ([others])
v(30): -1.6127054691314697	 ([long])
v(31): -1.2445704936981201	 ([can't])
v(32): -1.7039451599121094	 ([believe])
v(33): -1.4738125801086426	 ([realize])
v(34): -1.1894049644470215	 ([needed])
v(35): -1.3824779987335205	 ([much])
v(36): -1.7907989025115967	 ([time])
v(37): -1.2769066095352173	 ([set])
v(38): -1.2462456226348877	 ([punchline])
v(39): -1.1304172277450562	 ([( example :])
v(40): -1.062700629234314	 ([students '])
v(41): -1.3090568780899048	 ([awards])
v(42): -0.15824085474014282	 ([gag ).])
v(43): -1.3836697340011597	 ([nearly])
v(44): -0.485382616519928	 ([directed])
v(45): -1.498807430267334	 ([without])
v(46): -0.580565333366394	 ([artistry.])
v(47): -1.2351337671279907	 ([get])
v(48): -1.906677484512329	 ([wrong :])
v(49): -0.6187357902526855	 ([1])
v(50): -1.4442768096923828	 ([every])
v(51): -1.3589667081832886	 ([10])
v(52): -0.42815834283828735	 ([jokes])
v(53): -0.7619123458862305	 ([actually])
v(54): -1.816282033920288	 ([manages])
v(55): 0.7500569224357605	 ([funny])
v(56): -1.3186650276184082	 ([( the])
v(57): -0.7352869510650635	 ([iron])
v(58): -0.8934654593467712	 ([phone])
v(59): -1.4496147632598877	 ([one])
v(60): -1.7691446542739868	 ([probably])
v(0,1): -0.85708087682724	 ([.... as][level])
v(0,2): -0.5556358695030212	 ([.... as][wit])
v(0,3): -1.8768800497055054	 ([.... as][comedy])
v(0,4): -1.8100076913833618	 ([.... as][operates.])
v(0,5): 0.5498611927032471	 ([.... as][barely])
v(0,6): -0.9924688935279846	 ([.... as][even])
v(0,7): -1.8268588781356812	 ([.... as][reaching])
v(0,8): -0.1575080156326294	 ([.... as][feature])
v(0,9): -0.9000738263130188	 ([.... as][length,])
v(0,10): -1.193286657333374	 ([.... as][it....'till])
v(0,11): -0.9888758063316345	 ([.... as][need])
v(0,12): -0.7614427208900452	 ([.... as][glasses])
v(0,13): -1.0070374011993408	 ([.... as]["])
v(0,14): -2.0490031242370605	 ([.... as][collection])
v(0,15): -1.2703262567520142	 ([.... as][( mostly )])
v(0,16): 1.0223664045333862	 ([.... as][dirty])
v(0,17): -2.098548173904419	 ([.... as][jokes.])
v(0,18): -1.0787253379821777	 ([.... as][many])
v(0,19): -1.0541958808898926	 ([.... as][short])
v(0,20): -0.6820627450942993	 ([.... as][can't])
v(0,21): -1.1687164306640625	 ([.... as][believe])
v(0,22): -1.1680806875228882	 ([.... as][realize])
v(0,23): -0.7425857186317444	 ([.... as][supposed])
v(0,24): -1.1547085046768188	 ([.... as][punchline])
v(0,25): -0.7950459718704224	 ([.... as][( example :])
v(0,26): -0.5195997953414917	 ([.... as][santa])
v(0,27): -1.09612238407135	 ([.... as][claus])
v(0,28): -0.14012488722801208	 ([.... as][gag ) ;])
v(0,29): -1.0314339399337769	 ([.... as][others])
v(0,30): -1.1641972064971924	 ([.... as][long])
v(0,31): -0.8451878428459167	 ([.... as][can't])
v(0,32): -1.2579635381698608	 ([.... as][believe])
v(0,33): -1.07764732837677	 ([.... as][realize])
v(0,34): -0.7157998085021973	 ([.... as][needed])
v(0,35): -0.8709837198257446	 ([.... as][much])
v(0,36): -1.1007131338119507	 ([.... as][time])
v(0,37): -0.7350408434867859	 ([.... as][set])
v(0,38): -0.9252472519874573	 ([.... as][punchline])
v(0,39): -0.8113734126091003	 ([.... as][( example :])
v(0,40): -0.9832677841186523	 ([.... as][students '])
v(0,41): -0.9614195823669434	 ([.... as][awards])
v(0,42): -0.007377177476882935	 ([.... as][gag ).])
v(0,43): -1.0805269479751587	 ([.... as][nearly])
v(0,44): -0.46290504932403564	 ([.... as][directed])
v(0,45): -1.1372946500778198	 ([.... as][without])
v(0,46): -0.37845659255981445	 ([.... as][artistry.])
v(0,47): -0.9371930360794067	 ([.... as][get])
v(0,48): -1.454323410987854	 ([.... as][wrong :])
v(0,49): -0.29304349422454834	 ([.... as][1])
v(0,50): -0.8815182447433472	 ([.... as][every])
v(0,51): -0.9107463359832764	 ([.... as][10])
v(0,52): -0.01833641529083252	 ([.... as][jokes])
v(0,53): -0.4083285331726074	 ([.... as][actually])
v(0,54): -0.9973366260528564	 ([.... as][manages])
v(0,55): 0.7516211867332458	 ([.... as][funny])
v(0,56): -0.8183948993682861	 ([.... as][( the])
v(0,57): -0.45760655403137207	 ([.... as][iron])
v(0,58): -0.6151893138885498	 ([.... as][phone])
v(0,59): -0.9878900647163391	 ([.... as][one])
v(0,60): -1.2093523740768433	 ([.... as][probably])
v(1,2): -2.024329662322998	 ([level][wit])
v(1,3): -2.493955135345459	 ([level][comedy])
v(1,4): -2.43550443649292	 ([level][operates.])
v(1,5): 0.48007816076278687	 ([level][barely])
v(1,6): -1.439950942993164	 ([level][even])
v(1,7): -2.4115331172943115	 ([level][reaching])
v(1,8): -0.1594885289669037	 ([level][feature])
v(1,9): -1.3350874185562134	 ([level][length,])
v(1,10): -1.4479782581329346	 ([level][it....'till])
v(1,11): -1.587224006652832	 ([level][need])
v(1,12): -1.2551742792129517	 ([level][glasses])
v(1,13): -1.1811679601669312	 ([level]["])
v(1,14): -2.7173056602478027	 ([level][collection])
v(1,15): -1.6849582195281982	 ([level][( mostly )])
v(1,16): 0.4813055396080017	 ([level][dirty])
v(1,17): -3.8231160640716553	 ([level][jokes.])
v(1,18): -1.5923212766647339	 ([level][many])
v(1,19): -1.4417178630828857	 ([level][short])
v(1,20): -1.0885765552520752	 ([level][can't])
v(1,21): -1.7246956825256348	 ([level][believe])
v(1,22): -1.654853343963623	 ([level][realize])
v(1,23): -1.0672225952148438	 ([level][supposed])
v(1,24): -1.5749213695526123	 ([level][punchline])
v(1,25): -1.155495524406433	 ([level][( example :])
v(1,26): -1.0087101459503174	 ([level][santa])
v(1,27): -1.5836105346679688	 ([level][claus])
v(1,28): -0.6015609502792358	 ([level][gag ) ;])
v(1,29): -1.4426239728927612	 ([level][others])
v(1,30): -1.6604275703430176	 ([level][long])
v(1,31): -1.2946122884750366	 ([level][can't])
v(1,32): -1.8824156522750854	 ([level][believe])
v(1,33): -1.614119052886963	 ([level][realize])
v(1,34): -1.0519587993621826	 ([level][needed])
v(1,35): -1.3000673055648804	 ([level][much])
v(1,36): -1.5642143487930298	 ([level][time])
v(1,37): -1.162745714187622	 ([level][set])
v(1,38): -1.3121010065078735	 ([level][punchline])
v(1,39): -1.1605651378631592	 ([level][( example :])
v(1,40): -1.1893342733383179	 ([level][students '])
v(1,41): -1.3863842487335205	 ([level][awards])
