---------- AND Interactions ----------
I(45,46): 3.8299875259399414	 ([without][artistry.])
I(44,46): 2.4497342109680176	 ([directed][artistry.])
I(55): 2.1153769493103027	 ([funny])
I(16): 2.0230939388275146	 ([dirty])
I(2,3): -1.8958816528320312	 ([wit][comedy])
I(1,17): -1.7763687372207642	 ([level][jokes.])
I(3,17): -1.4183591604232788	 ([comedy][jokes.])
I(14,17): -1.4075181484222412	 ([collection][jokes.])
I(5): 1.3862520456314087	 ([barely])
I(52,55): -1.363372564315796	 ([jokes][funny])
I(5,6): 1.2722467184066772	 ([barely][even])
I(4,5): 1.2445024251937866	 ([operates.][barely])
I(28,42): -1.2170779705047607	 ([gag ) ;][gag ).])
I(42): 1.2070791721343994	 ([gag ).])
I(5,7): 1.2004903554916382	 ([barely][reaching])
I(2,17): -1.1027098894119263	 ([wit][jokes.])
I(53,54): 1.0717313289642334	 ([actually][manages])
I(15,17): -1.0595543384552002	 ([( mostly )][jokes.])
I(5,17): 1.0574016571044922	 ([barely][jokes.])
I(11,12): 1.0168869495391846	 ([need][glasses])
I(14): -1.0135962963104248	 ([collection])
I(3,46): 1.0002917051315308	 ([comedy][artistry.])
I(40,42): -0.9413230419158936	 ([students '][gag ).])
I(52): 0.9371616244316101	 ([jokes])
I(28): 0.9300687909126282	 ([gag ) ;])
I(10,11): 0.921142041683197	 ([it....'till][need])
I(17,46): 0.8846248388290405	 ([jokes.][artistry.])
I(7): -0.8814868927001953	 ([reaching])
I(44): 0.8799373507499695	 ([directed])
I(8): 0.8715617060661316	 ([feature])
I(1,2): -0.8607456684112549	 ([level][wit])
I(3,5): 0.859920859336853	 ([comedy][barely])
I(17,55): -0.8431062698364258	 ([jokes.][funny])
I(48,54): -0.819838285446167	 ([wrong :][manages])
I(46,48): -0.8086116313934326	 ([artistry.][wrong :])
I(46): 0.7847546339035034	 ([artistry.])
I(49): 0.7465841770172119	 ([1])
I(50,51): 0.734236478805542	 ([every][10])
I(4,55): -0.7272917032241821	 ([operates.][funny])
I(3,14): -0.7247376441955566	 ([comedy][collection])
I(3): -0.7213020324707031	 ([comedy])
I(17,28): -0.712925374507904	 ([jokes.][gag ) ;])
I(2,4): -0.7106807231903076	 ([wit][operates.])
I(46,54): 0.6918864250183105	 ([artistry.][manages])
I(3,60): -0.678463339805603	 ([comedy][probably])
I(4): -0.6694962978363037	 ([operates.])
I(4,17): -0.6526225805282593	 ([operates.][jokes.])
I(39,55): -0.6483631134033203	 ([( example :][funny])
I(16,58): -0.6343978643417358	 ([dirty][phone])
I(57): 0.630033016204834	 ([iron])
I(7,9): 0.6298195123672485	 ([reaching][length,])
I(31,32): 0.6281036138534546	 ([can't][believe])
I(17): -0.6240352392196655	 ([jokes.])
I(57,58): -0.6148723363876343	 ([iron][phone])
I(55,58): -0.6146259903907776	 ([funny][phone])
I(4,54): 0.60417640209198	 ([operates.][manages])
I(53): 0.603407621383667	 ([actually])
I(52,54): 0.5992174744606018	 ([jokes][manages])
I(49,54): 0.5930877923965454	 ([1][manages])
I(42,46): 0.5894616842269897	 ([gag ).][artistry.])
I(54,55): 0.5739307403564453	 ([manages][funny])
I(43,46): 0.5715153217315674	 ([nearly][artistry.])
I(42,44): 0.5637958645820618	 ([gag ).][directed])
I(2,55): -0.5584697723388672	 ([wit][funny])
I(40,41): -0.5443353652954102	 ([students '][awards])
I(48): -0.5413575172424316	 ([wrong :])
I(2,5): 0.5281821489334106	 ([wit][barely])
I(7,8): -0.5272039771080017	 ([reaching][feature])
I(6,7): 0.5255826711654663	 ([even][reaching])
I(4,42): -0.5172790288925171	 ([operates.][gag ).])
I(1,5): 0.5165382623672485	 ([level][barely])
I(17,52): -0.5095677971839905	 ([jokes.][jokes])
I(10,16): 0.5073072910308838	 ([it....'till][dirty])
I(41,54): 0.5071096420288086	 ([awards][manages])
I(43,44): 0.49917668104171753	 ([nearly][directed])
I(0,17): -0.49596303701400757	 ([.... as][jokes.])
I(3,55): -0.4932260513305664	 ([comedy][funny])
I(34,46): 0.4899168014526367	 ([needed][artistry.])
I(39,42): -0.4819110631942749	 ([( example :][gag ).])
I(16,24): -0.4806983470916748	 ([dirty][punchline])
I(59,60): 0.47723352909088135	 ([one][probably])
I(58): 0.4718545079231262	 ([phone])
I(8,17): -0.46939605474472046	 ([feature][jokes.])
I(3,4): -0.46889352798461914	 ([comedy][operates.])
I(26): 0.4681801199913025	 ([santa])
I(17,40): -0.4664015769958496	 ([jokes.][students '])
I(42,55): -0.4594583511352539	 ([gag ).][funny])
I(2,40): -0.455807089805603	 ([wit][students '])
I(3,54): 0.4540975093841553	 ([comedy][manages])
I(17,54): 0.4514111280441284	 ([jokes.][manages])
I(54): -0.4509620666503906	 ([manages])
I(52,58): -0.4483458995819092	 ([jokes][phone])
I(44,54): 0.44623810052871704	 ([directed][manages])
I(54,57): 0.43755507469177246	 ([manages][iron])
I(4,16): -0.4342472553253174	 ([operates.][dirty])
I(0,54): 0.43217533826828003	 ([.... as][manages])
I(14,54): -0.4293529987335205	 ([collection][manages])
I(3,40): -0.4276372194290161	 ([comedy][students '])
I(54,56): 0.4274871349334717	 ([manages][( the])
I(36): -0.4254789352416992	 ([time])
I(55,56): -0.41973721981048584	 ([funny][( the])
I(11,17): 0.4157254695892334	 ([need][jokes.])
I(7,16): -0.41541314125061035	 ([reaching][dirty])
I(10,54): 0.41364216804504395	 ([it....'till][manages])
I(4,28): -0.41196495294570923	 ([operates.][gag ) ;])
I(2,14): -0.4085536003112793	 ([wit][collection])
I(8,9): -0.40835732221603394	 ([feature][length,])
I(60): -0.40382468700408936	 ([probably])
I(11,13): -0.40225183963775635	 ([need]["])
I(4,10): 0.3977874517440796	 ([operates.][it....'till])
