---------- AND Interactions ----------
I(20): 4.677618503570557	 ([bad])
I(20,44): -3.9319238662719727	 ([bad][pathetic])
I(44): 3.920158863067627	 ([pathetic])
I(14,44): -3.1619081497192383	 ([pathetic][pathetic])
I(14,20): -3.0756406784057617	 ([pathetic][bad])
I(14): 3.0467090606689453	 ([pathetic])
I(20,32): -2.3698372840881348	 ([bad][sucks])
I(32): 2.368478298187256	 ([sucks])
I(32,44): -2.186222553253174	 ([sucks][pathetic])
I(8,20): -1.9938939809799194	 ([bad. after][bad])
I(8): 1.9906600713729858	 ([bad. after])
I(14,32): -1.8618721961975098	 ([pathetic][sucks])
I(11,12): -1.8182185888290405	 ([finally][watched])
I(8,44): -1.740659236907959	 ([bad. after][pathetic])
I(54,55): 1.6740747690200806	 ([cell][phone])
I(8,14): -1.6569994688034058	 ([bad. after][pathetic])
I(52): 1.618712067604065	 ([cheap])
I(31,32): 1.5577222108840942	 ([movie][sucks])
I(20,36): -1.4979438781738281	 ([bad][bad])
I(11,13): -1.4604374170303345	 ([finally][it.])
I(14,36): -1.4191535711288452	 ([pathetic][bad])
I(20,52): -1.3793950080871582	 ([bad][cheap])
I(36,44): -1.343581199645996	 ([bad][pathetic])
I(37): 1.3223565816879272	 ([filmmaker])
I(21,45): -1.2744821310043335	 ([movie, but][movie,])
I(36): 1.2526034116744995	 ([bad])
I(27,28): -1.2507299184799194	 ([complete][movie.])
I(44,52): -1.2357888221740723	 ([pathetic][cheap])
I(45): 1.2322849035263062	 ([movie,])
I(32,36): -1.22134530544281	 ([sucks][bad])
I(45,50): -1.214661955833435	 ([movie,][movie.])
I(42): 1.204677700996399	 ([financed])
I(6,8): 1.1946130990982056	 ([movie][bad. after])
I(20,27): 1.119459629058838	 ([bad][complete])
I(27): -1.0954456329345703	 ([complete])
I(56): 1.090593695640564	 ([camera])
I(37,45): -1.0865453481674194	 ([filmmaker][movie,])
I(19): 1.0839132070541382	 ([watching])
I(13,16): 1.061152458190918	 ([it.][.])
I(31,45): -1.059186339378357	 ([movie][movie,])
I(8,36): -1.0590341091156006	 ([bad. after][bad])
I(27,44): 1.058342456817627	 ([complete][pathetic])
I(21,28): -1.049728512763977	 ([movie, but][movie.])
I(10,20): 1.0266990661621094	 ([year][bad])
I(10): -1.0204925537109375	 ([year])
I(8,52): -1.0104002952575684	 ([bad. after][cheap])
I(49,50): 1.0034315586090088	 ([produce][movie.])
I(8,32): -0.9966548681259155	 ([bad. after][sucks])
I(36,37): 0.9942761659622192	 ([bad][filmmaker])
I(36,38): -0.9865438938140869	 ([bad][wane])
I(1,45): -0.9860001802444458	 ([movie][movie,])
I(15,16): 0.970008134841919	 ([movie][.])
I(28,45): -0.9646714925765991	 ([movie.][movie,])
I(50): 0.9635323286056519	 ([movie.])
I(20,37): -0.9615044593811035	 ([bad][filmmaker])
I(14,52): -0.9573583602905273	 ([pathetic][cheap])
I(35,36): -0.9496945142745972	 ([shocked][bad])
I(20,42): -0.933721661567688	 ([bad][financed])
I(6,45): -0.9232860803604126	 ([movie][movie,])
I(0,32): 0.9156510829925537	 ([received][sucks])
I(42,43): 0.906883716583252	 ([financed][make])
I(53,56): -0.8955696821212769	 ([camcorder][camera])
I(54): -0.8828390836715698	 ([cell])
I(18,19): 0.8820054531097412	 ([finish][watching])
I(53): 0.8688358068466187	 ([camcorder])
I(4): 0.8687847852706909	 ([dvd])
I(42,52): -0.8684276342391968	 ([financed][cheap])
I(14,15): -0.8508486747741699	 ([pathetic][movie])
I(10,44): 0.8485841751098633	 ([year][pathetic])
I(44,54): 0.8440208435058594	 ([pathetic][cell])
I(20,54): 0.8434944152832031	 ([bad][cell])
I(18): 0.8382982015609741	 ([finish])
I(0,20): 0.8377881050109863	 ([received][bad])
I(46,49): 0.8308919668197632	 ([cost][produce])
I(19,44): -0.816551685333252	 ([watching][pathetic])
I(28,50): -0.8164929151535034	 ([movie.][movie.])
I(9): 0.8158525228500366	 ([watching])
I(9,19): -0.8126119375228882	 ([watching][watching])
I(21,50): -0.8027347326278687	 ([movie, but][movie.])
I(31,50): -0.8013559579849243	 ([movie][movie.])
I(16): 0.7970117330551147	 ([.])
I(4,45): -0.7909201383590698	 ([dvd][movie,])
I(32,52): -0.7905813455581665	 ([sucks][cheap])
I(24,52): -0.7884806394577026	 ([review][cheap])
I(20,45): -0.7851890325546265	 ([bad][movie,])
I(0): -0.7826735973358154	 ([received])
I(35,44): -0.7661600112915039	 ([shocked][pathetic])
I(12): 0.7562860250473022	 ([watched])
I(0,44): 0.7544856071472168	 ([received][pathetic])
I(20,50): -0.7512111663818359	 ([bad][movie.])
I(16,20): -0.7401156425476074	 ([.][bad])
I(37,44): -0.7391867637634277	 ([filmmaker][pathetic])
I(27,32): 0.7366547584533691	 ([complete][sucks])
I(8,10): 0.7301769256591797	 ([bad. after][year])
I(20,35): -0.7252140045166016	 ([bad][shocked])
I(1,6): -0.721044659614563	 ([movie][movie])
I(10,14): 0.719120979309082	 ([year][pathetic])
I(15): 0.7186607122421265	 ([movie])
I(20,46): 0.7176095247268677	 ([bad][cost])
I(4,28): -0.7110077142715454	 ([dvd][movie.])
I(35): 0.7077821493148804	 ([shocked])
I(6): 0.7048043012619019	 ([movie])
I(14,24): -0.7045965194702148	 ([pathetic][review])
I(6,28): -0.7043594121932983	 ([movie][movie.])
I(31): 0.7028259038925171	 ([movie])
I(42,45): 0.7026948928833008	 ([financed][movie,])
I(3,32): 0.7019282579421997	 ([knew][sucks])
I(24): 0.6993376016616821	 ([review])
I(18,20): -0.6972365379333496	 ([finish][bad])
I(1,8): 0.6911242008209229	 ([movie][bad. after])
I(5): 0.6898025274276733	 ([cover,])
I(19,20): -0.6875190734863281	 ([watching][bad])
I(51): 0.687512993812561	 ([need])
I(20,56): -0.686586856842041	 ([bad][camera])
I(52,53): -0.6846350431442261	 ([cheap][camcorder])
I(14,27): 0.6817584037780762	 ([pathetic][complete])
I(0,14): 0.6805741786956787	 ([received][pathetic])
I(12,20): -0.6794313192367554	 ([watched][bad])
I(4,21): -0.6760557889938354	 ([dvd][movie, but])
I(1,28): -0.6692110300064087	 ([movie][movie.])
I(20,24): -0.6688523292541504	 ([bad][review])
I(2,45): 0.6678069829940796	 ([gift,][movie,])
I(28): 0.665979266166687	 ([movie.])
I(0,46): -0.6644822359085083	 ([received][cost])
I(2,50): 0.6638485193252563	 ([gift,][movie.])
I(52,55): -0.6636260747909546	 ([cheap][phone])
I(14,35): -0.6621413230895996	 ([pathetic][shocked])
I(37,50): -0.6618255376815796	 ([filmmaker][movie.])
I(9,12): -0.6539188623428345	 ([watching][watched])
I(0,2): 0.6526768207550049	 ([received][gift,])
I(59): -0.6517089605331421	 ([people])
I(2,20): 0.6496181488037109	 ([gift,][bad])
I(52,56): -0.6444425582885742	 ([cheap][camera])
I(24,44): -0.6396784782409668	 ([review][pathetic])
I(44,46): 0.6374961137771606	 ([pathetic][cost])
I(21,32): 0.6350979804992676	 ([movie, but][sucks])
I(6,50): -0.6348274946212769	 ([movie][movie.])
I(42,44): -0.6345643997192383	 ([financed][pathetic])
I(12,19): -0.630386233329773	 ([watched][watching])
I(2): -0.6261435747146606	 ([gift,])
I(15,21): -0.6243370771408081	 ([movie][movie, but])
I(34,35): 0.6182020902633667	 ([truly][shocked])
I(28,29): 0.6180297136306763	 ([movie.][trust])
I(15,45): -0.6131943464279175	 ([movie][movie,])
I(19,26): -0.6106430292129517	 ([watching][watching])
I(37,56): -0.6101211309432983	 ([filmmaker][camera])
I(34): -0.610094428062439	 ([truly])
I(9,20): -0.6093820333480835	 ([watching][bad])
I(19,36): -0.6058353185653687	 ([watching][bad])
I(1): 0.6046665906906128	 ([movie])
I(46,48): 0.6021081209182739	 ([cost][000])
I(48,49): 0.6007682085037231	 ([000][produce])
I(20,34): 0.5991692543029785	 ([bad][truly])
I(32,46): 0.5966306924819946	 ([sucks][cost])
I(28,31): -0.5909045934677124	 ([movie.][movie])
I(7): 0.5905667543411255	 ([going])
I(15,31): -0.5901297330856323	 ([movie][movie])
I(18,44): -0.5882687568664551	 ([finish][pathetic])
I(47,48): -0.5874736309051514	 ([20][000])
I(46): -0.5862675905227661	 ([cost])
I(34,44): 0.5852384567260742	 ([truly][pathetic])
I(3,8): 0.5842010974884033	 ([knew][bad. after])
I(8,21): 0.5830284357070923	 ([bad. after][movie, but])
I(25,26): 0.5814317464828491	 ([without][watching])
I(1,4): -0.5798043012619019	 ([movie][dvd])
I(20,31): -0.5675591230392456	 ([bad][movie])
I(16,18): 0.5675256252288818	 ([.][finish])
I(4,20): -0.564753532409668	 ([dvd][bad])
I(14,37): -0.5624971389770508	 ([pathetic][filmmaker])
I(12,44): -0.5606951713562012	 ([watched][pathetic])
I(3,44): 0.5604219436645508	 ([knew][pathetic])
I(16,44): -0.5594797134399414	 ([.][pathetic])
I(5,48): -0.5521661043167114	 ([cover,][000])
I(5,46): -0.5493103265762329	 ([cover,][cost])
I(1,21): -0.5425733327865601	 ([movie][movie, but])
I(14,42): -0.541966438293457	 ([pathetic][financed])
I(19,22): 0.5398479700088501	 ([watching][unfair])
I(21,37): -0.5364068746566772	 ([movie, but][filmmaker])
I(6,20): -0.5332107543945312	 ([movie][bad])
I(5,52): -0.532469630241394	 ([cover,][cheap])
I(11): -0.5305287837982178	 ([finally])
I(1,31): -0.5298784971237183	 ([movie][movie])
I(4,56): -0.5288656949996948	 ([dvd][camera])
I(8,35): -0.526862382888794	 ([bad. after][shocked])
I(28,37): -0.5254391431808472	 ([movie.][filmmaker])
I(5,10): -0.5246100425720215	 ([cover,][year])
I(1,50): -0.5234769582748413	 ([movie][movie.])
I(23,45): -0.5213111639022827	 ([write][movie,])
I(36,42): -0.5189872980117798	 ([bad][financed])
I(12,16): 0.5185554027557373	 ([watched][.])
I(44,50): -0.517951488494873	 ([pathetic][movie.])
I(14,46): 0.5160107612609863	 ([pathetic][cost])
I(4,15): -0.5157588720321655	 ([dvd][movie])
I(44,51): -0.5147261619567871	 ([pathetic][need])
I(6,21): -0.514609694480896	 ([movie][movie, but])
I(7,20): -0.5132580995559692	 ([going][bad])
I(21,56): -0.5125225782394409	 ([movie, but][camera])
I(20,51): -0.5109343528747559	 ([bad][need])
I(15,37): -0.5071953535079956	 ([movie][filmmaker])
I(15,20): -0.5060620307922363	 ([movie][bad])
I(0,8): 0.5038129091262817	 ([received][bad. after])
I(14,19): -0.5021743774414062	 ([pathetic][watching])
I(58,59): 0.5021713972091675	 ([15][people])
I(4,10): -0.5017657279968262	 ([dvd][year])
I(8,24): -0.5002140998840332	 ([bad. after][review])
I(42,49): 0.49933290481567383	 ([financed][produce])
I(24,28): -0.4972461462020874	 ([review][movie.])
I(15,44): -0.4967002868652344	 ([movie][pathetic])
I(48,50): -0.49499261379241943	 ([000][movie.])
I(9,44): -0.494661808013916	 ([watching][pathetic])
I(6,44): -0.49415016174316406	 ([movie][pathetic])
I(44,56): -0.49296045303344727	 ([pathetic][camera])
I(28,56): -0.49100053310394287	 ([movie.][camera])
I(53,54): 0.4873465299606323	 ([camcorder][cell])
