---------- Players ----------
Player 0: fcc
Player 1: ruled
Player 2: state
Player 3: regulation
Player 4: voice - over - ip
Player 5: phone
Player 6: services,
Player 7: saying
Player 8: disparate
Player 9: state
Player 10: regulations
Player 11: would
Player 12: slow
Player 13: rollout.
---------- Rewards ----------
v(): -2.664400577545166	 ([])
v(0): 0.6931164264678955	 ([fcc])
v(1): -2.3100175857543945	 ([ruled])
v(2): -3.955284357070923	 ([state])
v(3): 4.664900302886963	 ([regulation])
v(4): -7.080490589141846	 ([voice - over - ip])
v(5): -7.4246087074279785	 ([phone])
v(6): 1.1938422918319702	 ([services,])
v(7): -2.599623441696167	 ([saying])
v(8): -2.2995445728302	 ([disparate])
v(9): -3.3803114891052246	 ([state])
v(10): -0.19244325160980225	 ([regulations])
v(11): -2.3632702827453613	 ([would])
v(12): -4.481095314025879	 ([slow])
v(13): 5.130405426025391	 ([rollout.])
v(0 1): 3.1197597980499268	 ([fcc][ruled])
v(0 2): 0.18477082252502441	 ([fcc][state])
v(0 3): 6.511902809143066	 ([fcc][regulation])
v(0 4): -2.247697353363037	 ([fcc][voice - over - ip])
v(0 5): -2.578298568725586	 ([fcc][phone])
v(0 6): 2.629495620727539	 ([fcc][services,])
v(0 7): 0.6192378997802734	 ([fcc][saying])
v(0 8): 1.3526530265808105	 ([fcc][disparate])
v(0 9): 0.057021141052246094	 ([fcc][state])
v(0 10): 1.6660029888153076	 ([fcc][regulations])
v(0 11): 1.2744266986846924	 ([fcc][would])
v(0 12): 0.6528980731964111	 ([fcc][slow])
v(0 13): 6.6073126792907715	 ([fcc][rollout.])
v(1 2): -5.017107963562012	 ([ruled][state])
v(1 3): 3.997433662414551	 ([ruled][regulation])
v(1 4): -5.955601692199707	 ([ruled][voice - over - ip])
v(1 5): -5.586942672729492	 ([ruled][phone])
v(1 6): 0.546360969543457	 ([ruled][services,])
v(1 7): -2.5596230030059814	 ([ruled][saying])
v(1 8): -1.4124797582626343	 ([ruled][disparate])
v(1 9): -2.2872674465179443	 ([ruled][state])
v(1 10): -0.05384385585784912	 ([ruled][regulations])
v(1 11): 0.042037010192871094	 ([ruled][would])
v(1 12): -0.5480085611343384	 ([ruled][slow])
v(1 13): 4.2126994132995605	 ([ruled][rollout.])
v(2 3): 0.2105480432510376	 ([state][regulation])
v(2 4): -7.387419700622559	 ([state][voice - over - ip])
v(2 5): -6.725983619689941	 ([state][phone])
v(2 6): -2.9484033584594727	 ([state][services,])
v(2 7): -4.383154392242432	 ([state][saying])
v(2 8): -3.4141883850097656	 ([state][disparate])
v(2 9): -3.3048439025878906	 ([state][state])
v(2 10): -2.5580997467041016	 ([state][regulations])
v(2 11): -2.253117084503174	 ([state][would])
v(2 12): -3.147122859954834	 ([state][slow])
v(2 13): 3.3110761642456055	 ([state][rollout.])
v(3 4): -7.354686737060547	 ([regulation][voice - over - ip])
