---------- Players ----------
Player 0: vodafone
Player 1: become
Player 2: first
Player 3: uk
Player 4: mobile
Player 5: phone
Player 6: operator
Player 7: offer
Player 8: research
Player 9: motion
Player 10: # 39 ; s
Player 11: latest
Player 12: mobile
Player 13: device,
Player 14: blackberry
Player 15: 7100.
---------- Rewards ----------
v(): 4.716751575469971	 ([])
v(0): -8.023223876953125	 ([vodafone])
v(1): 4.7958245277404785	 ([become])
v(2): 5.385039329528809	 ([first])
v(3): 3.900573968887329	 ([uk])
v(4): 7.152742862701416	 ([mobile])
v(5): 6.462924957275391	 ([phone])
v(6): 5.26197624206543	 ([operator])
v(7): 5.2916178703308105	 ([offer])
v(8): 6.382471561431885	 ([research])
v(9): 4.9127020835876465	 ([motion])
v(10): 5.066177845001221	 ([# 39 ; s])
v(11): 6.005423069000244	 ([latest])
v(12): 7.007747650146484	 ([mobile])
v(13): 4.9609055519104	 ([device,])
v(14): 1.6485607624053955	 ([blackberry])
v(15): 5.1876397132873535	 ([7100.])
v(0 1): -8.421985626220703	 ([vodafone][become])
v(0 2): -7.140078544616699	 ([vodafone][first])
v(0 3): -8.020111083984375	 ([vodafone][uk])
v(0 4): 0.34412264823913574	 ([vodafone][mobile])
v(0 5): -1.4576597213745117	 ([vodafone][phone])
v(0 6): -6.8528313636779785	 ([vodafone][operator])
v(0 7): -5.710905075073242	 ([vodafone][offer])
v(0 8): -4.500385761260986	 ([vodafone][research])
v(0 9): -3.3136379718780518	 ([vodafone][motion])
v(0 10): -8.35428237915039	 ([vodafone][# 39 ; s])
v(0 11): -5.648133754730225	 ([vodafone][latest])
v(0 12): -0.35833191871643066	 ([vodafone][mobile])
v(0 13): -5.718898773193359	 ([vodafone][device,])
v(0 14): -1.946429967880249	 ([vodafone][blackberry])
v(0 15): -5.4680681228637695	 ([vodafone][7100.])
v(1 2): 5.274126052856445	 ([become][first])
v(1 3): 3.7590668201446533	 ([become][uk])
v(1 4): 7.245204448699951	 ([become][mobile])
v(1 5): 6.620537281036377	 ([become][phone])
v(1 6): 5.564031600952148	 ([become][operator])
v(1 7): 5.675709247589111	 ([become][offer])
v(1 8): 5.95013427734375	 ([become][research])
v(1 9): 4.756922245025635	 ([become][motion])
v(1 10): 4.983081817626953	 ([become][# 39 ; s])
v(1 11): 5.960862159729004	 ([become][latest])
v(1 12): 6.902709484100342	 ([become][mobile])
v(1 13): 3.6809115409851074	 ([become][device,])
v(1 14): 2.191035032272339	 ([become][blackberry])
v(1 15): 5.838466644287109	 ([become][7100.])
v(2 3): 3.8902359008789062	 ([first][uk])
v(2 4): 7.220360279083252	 ([first][mobile])
v(2 5): 6.561499118804932	 ([first][phone])
v(2 6): 5.527920246124268	 ([first][operator])
v(2 7): 5.81544828414917	 ([first][offer])
v(2 8): 7.030714988708496	 ([first][research])
v(2 9): 5.1838555335998535	 ([first][motion])
v(2 10): 5.692497253417969	 ([first][# 39 ; s])
v(2 11): 6.311225414276123	 ([first][latest])
v(2 12): 7.249632358551025	 ([first][mobile])
v(2 13): 5.524042129516602	 ([first][device,])
v(2 14): 1.710052728652954	 ([first][blackberry])
v(2 15): 5.348368167877197	 ([first][7100.])
v(3 4): 6.855329513549805	 ([uk][mobile])
v(3 5): 5.802822113037109	 ([uk][phone])
v(3 6): 4.553866386413574	 ([uk][operator])
v(3 7): 5.060864448547363	 ([uk][offer])
v(3 8): 5.277721881866455	 ([uk][research])
v(3 9): 3.8881773948669434	 ([uk][motion])
v(3 10): 4.345702171325684	 ([uk][# 39 ; s])
v(3 11): 5.106820583343506	 ([uk][latest])
v(3 12): 6.762850761413574	 ([uk][mobile])
v(3 13): 4.605937957763672	 ([uk][device,])
v(3 14): 2.2327799797058105	 ([uk][blackberry])
v(3 15): 5.681998252868652	 ([uk][7100.])
v(4 5): 6.363794326782227	 ([mobile][phone])
v(4 6): 4.862898826599121	 ([mobile][operator])
v(4 7): 6.22163200378418	 ([mobile][offer])
v(4 8): 7.516721248626709	 ([mobile][research])
v(4 9): 7.370338439941406	 ([mobile][motion])
v(4 10): 6.636466979980469	 ([mobile][# 39 ; s])
v(4 11): 7.148172855377197	 ([mobile][latest])
v(4 12): 6.820900917053223	 ([mobile][mobile])
v(4 13): 6.322223663330078	 ([mobile][device,])
v(4 14): 4.4779863357543945	 ([mobile][blackberry])
v(4 15): 6.623592853546143	 ([mobile][7100.])
v(5 6): 5.888176918029785	 ([phone][operator])
v(5 7): 6.844494819641113	 ([phone][offer])
v(5 8): 7.425543785095215	 ([phone][research])
v(5 9): 6.861111640930176	 ([phone][motion])
v(5 10): 5.689197063446045	 ([phone][# 39 ; s])
v(5 11): 7.496236324310303	 ([phone][latest])
v(5 12): 6.638315677642822	 ([phone][mobile])
v(5 13): 6.421168804168701	 ([phone][device,])
v(5 14): 3.184422016143799	 ([phone][blackberry])
v(5 15): 6.726857662200928	 ([phone][7100.])
v(6 7): 5.641794204711914	 ([operator][offer])
v(6 8): 6.956737041473389	 ([operator][research])
v(6 9): 5.695324420928955	 ([operator][motion])
v(6 10): 4.222163677215576	 ([operator][# 39 ; s])
v(6 11): 6.3473711013793945	 ([operator][latest])
v(6 12): 4.5789031982421875	 ([operator][mobile])
