---------- Players ----------
Player 0: -
Player 1: sons
Player 2: sentenced
Player 3: life
Player 4: prison,
Player 5: adelle
Player 6: ( debbie
Player 7: reynolds )
Player 8: helen
Player 9: ( shirley
Player 10: winters )
Player 11: begin
Player 12: receiving
Player 13: threatening
Player 14: phone
Player 15: calls
Player 16: someone
Player 17: fells
Player 18: sons
Player 19: got
Player 20: easy.
Player 21: pair
Player 22: decides
Player 23: move
Player 24: california
Player 25: escape
Player 26: publicity
Player 27: trial
Player 28: start
Player 29: new
Player 30: life.
Player 31: start
Player 32: dance
Player 33: school
Player 34: soon
Player 35: successful.
Player 36: one
Player 37: students
Player 38: rich
Player 39: unmarried
Player 40: father
Player 41: adelle
Player 42: quickly
Player 43: falls
Player 44: love.
Player 45: meantime,
Player 46: helen
Player 47: busy
Player 48: raising
Player 49: rabbits
Player 50: becoming
Player 51: little
Player 52: infatuated
Player 53: evangelist
Player 54: radio.
Player 55: mater
Player 56: time
Player 57: everything
Player 58: falls
Player 59: apart
Player 60: women
Player 61: enter
Player 62: world
Player 63: madness
---------- AND Interactions (Pairwise Only) ----------
I(6,7): 2.5559804439544678	 ([( debbie][reynolds )])
I(55,63): -1.8773000240325928	 ([mater][madness])
I(26,63): -1.7468736171722412	 ([publicity][madness])
I(24,63): -1.7426447868347168	 ([california][madness])
I(19,20): -1.6503233909606934	 ([got][easy.])
I(13,63): 1.536548137664795	 ([threatening][madness])
I(2,3): -1.5206269025802612	 ([sentenced][life])
I(32,63): -1.42169189453125	 ([dance][madness])
I(3,30): -1.3611783981323242	 ([life][life.])
I(61,62): 1.3522961139678955	 ([enter][world])
I(58,63): 1.3103293180465698	 ([falls][madness])
I(35,54): 1.2715153694152832	 ([successful.][radio.])
I(54,63): -1.1391408443450928	 ([radio.][madness])
I(38,63): -1.1335456371307373	 ([rich][madness])
I(2,63): 1.1221661567687988	 ([sentenced][madness])
I(11,13): -1.031564474105835	 ([begin][threatening])
I(32,33): -1.0003743171691895	 ([dance][school])
I(32,35): 0.9687807559967041	 ([dance][successful.])
I(4,63): 0.9513885378837585	 ([prison,][madness])
I(3,4): -0.9457016587257385	 ([life][prison,])
I(25,35): -0.931017279624939	 ([escape][successful.])
I(10,13): 0.8919250965118408	 ([winters )][threatening])
I(42,43): -0.8902698159217834	 ([quickly][falls])
I(31,32): -0.8760092258453369	 ([start][dance])
I(39,40): -0.8750717043876648	 ([unmarried][father])
I(40,44): -0.8599826693534851	 ([father][love.])
I(24,35): 0.8566386699676514	 ([california][successful.])
I(60,63): 0.8383760452270508	 ([women][madness])
I(57,59): -0.8265470266342163	 ([everything][apart])
I(51,52): -0.8150050044059753	 ([little][infatuated])
I(55,56): -0.8071833252906799	 ([mater][time])
I(13,58): 0.8067599534988403	 ([threatening][falls])
I(1,18): -0.7987105250358582	 ([sons][sons])
I(5,41): 0.7865559458732605	 ([adelle][adelle])
I(21,35): 0.7794719934463501	 ([pair][successful.])
I(28,35): -0.75594162940979	 ([start][successful.])
I(2,13): 0.7521809935569763	 ([sentenced][threatening])
I(13,17): 0.750608503818512	 ([threatening][fells])
I(30,32): -0.7499833106994629	 ([life.][dance])
I(35,41): 0.7427235245704651	 ([successful.][adelle])
I(35,38): -0.7408662438392639	 ([successful.][rich])
I(3,10): -0.7325112223625183	 ([life][winters )])
I(25,26): -0.7323935627937317	 ([escape][publicity])
I(33,63): -0.729419469833374	 ([school][madness])
I(13,54): -0.7221352458000183	 ([threatening][radio.])
I(38,39): -0.7120721340179443	 ([rich][unmarried])
I(53,63): -0.7069507241249084	 ([evangelist][madness])
I(55,62): -0.7052164077758789	 ([mater][world])
I(6,63): -0.7023135423660278	 ([( debbie][madness])
I(27,63): 0.6951801776885986	 ([trial][madness])
I(44,63): -0.6818516850471497	 ([love.][madness])
I(57,63): 0.6794230937957764	 ([everything][madness])
I(26,35): 0.6786879897117615	 ([publicity][successful.])
I(8,63): -0.6724721193313599	 ([helen][madness])
I(62,63): -0.6638281345367432	 ([world][madness])
I(9,63): -0.6487672924995422	 ([( shirley][madness])
I(10,63): 0.6428948640823364	 ([winters )][madness])
I(30,62): -0.6399655342102051	 ([life.][world])
I(1,3): -0.636360228061676	 ([sons][life])
I(55,58): -0.6308380961418152	 ([mater][falls])
I(18,26): 0.6235793828964233	 ([sons][publicity])
I(28,33): -0.62339186668396	 ([start][school])
I(2,44): 0.6221643090248108	 ([sentenced][love.])
I(27,35): -0.6197816729545593	 ([trial][successful.])
I(35,45): -0.6191360950469971	 ([successful.][meantime,])
I(38,44): -0.615884006023407	 ([rich][love.])
I(3,62): -0.608410120010376	 ([life][world])
I(19,63): -0.6040019989013672	 ([got][madness])
I(18,35): -0.5826280117034912	 ([sons][successful.])
I(34,35): 0.5807998180389404	 ([soon][successful.])
I(13,24): -0.5779283046722412	 ([threatening][california])
I(40,50): 0.5740881562232971	 ([father][becoming])
I(39,44): -0.5737120509147644	 ([unmarried][love.])
I(1,40): -0.5734706521034241	 ([sons][father])
I(30,35): -0.5675275325775146	 ([life.][successful.])
I(13,32): -0.564447283744812	 ([threatening][dance])
I(56,57): 0.5611481070518494	 ([time][everything])
I(1,26): 0.5582268238067627	 ([sons][publicity])
I(3,17): -0.5525302886962891	 ([life][fells])
I(30,44): -0.5466011166572571	 ([life.][love.])
I(48,49): 0.5450878739356995	 ([raising][rabbits])
I(32,34): 0.5435016751289368	 ([dance][soon])
I(44,52): -0.5392284393310547	 ([love.][infatuated])
I(27,32): 0.5391743183135986	 ([trial][dance])
I(26,60): 0.5361790060997009	 ([publicity][women])
I(57,58): -0.5339536666870117	 ([everything][falls])
I(44,62): -0.5281453132629395	 ([love.][world])
I(26,38): 0.5277940630912781	 ([publicity][rich])
I(50,58): 0.527228832244873	 ([becoming][falls])
I(1,54): 0.5138716697692871	 ([sons][radio.])
I(8,13): -0.5132615566253662	 ([helen][threatening])
I(25,28): 0.5115829706192017	 ([escape][start])
I(13,53): -0.5109319686889648	 ([threatening][evangelist])
I(54,58): -0.5069197416305542	 ([radio.][falls])
I(18,30): -0.5065118670463562	 ([sons][life.])
I(13,35): -0.5014960765838623	 ([threatening][successful.])
I(3,55): -0.4949066638946533	 ([life][mater])
I(43,63): 0.4940469264984131	 ([falls][madness])
I(18,40): -0.4893239140510559	 ([sons][father])
I(16,35): -0.4891185760498047	 ([someone][successful.])
I(28,30): 0.48807835578918457	 ([start][life.])
I(47,48): 0.4873444437980652	 ([busy][raising])
I(58,62): 0.4848928451538086	 ([falls][world])
I(13,30): -0.48323118686676025	 ([threatening][life.])
I(18,32): -0.48169296979904175	 ([sons][dance])
I(2,58): 0.47762298583984375	 ([sentenced][falls])
I(13,55): -0.4751632809638977	 ([threatening][mater])
I(6,35): 0.47438961267471313	 ([( debbie][successful.])
I(3,22): -0.46984273195266724	 ([life][decides])
I(30,31): 0.4681990146636963	 ([life.][start])
I(7,63): -0.466719388961792	 ([reynolds )][madness])
I(41,46): 0.45980358123779297	 ([adelle][helen])
I(32,62): -0.4584174156188965	 ([dance][world])
I(43,44): -0.45547258853912354	 ([falls][love.])
I(3,23): -0.45497965812683105	 ([life][move])
I(33,55): -0.4544590711593628	 ([school][mater])
I(3,18): -0.4470181465148926	 ([life][sons])
I(26,55): 0.4469219446182251	 ([publicity][mater])
I(25,32): -0.4450908303260803	 ([escape][dance])
I(44,60): -0.44429880380630493	 ([love.][women])
I(33,62): -0.44292449951171875	 ([school][world])
I(3,32): -0.4400615692138672	 ([life][dance])
I(1,55): -0.4379301071166992	 ([sons][mater])
I(20,63): 0.4376692771911621	 ([easy.][madness])
I(29,30): 0.4352414608001709	 ([new][life.])
I(19,26): 0.4335232973098755	 ([got][publicity])
I(33,52): -0.43225687742233276	 ([school][infatuated])
I(53,55): -0.42551207542419434	 ([evangelist][mater])
I(41,43): 0.42538976669311523	 ([adelle][falls])
I(7,10): -0.4241839051246643	 ([reynolds )][winters )])
I(36,63): 0.42093080282211304	 ([one][madness])
I(45,63): -0.41511231660842896	 ([meantime,][madness])
I(2,26): 0.41466033458709717	 ([sentenced][publicity])
I(33,38): -0.41201645135879517	 ([school][rich])
I(32,55): -0.4102451205253601	 ([dance][mater])
I(13,27): 0.40873444080352783	 ([threatening][trial])
I(53,62): -0.40816330909729004	 ([evangelist][world])
I(2,24): -0.40750008821487427	 ([sentenced][california])
I(54,57): -0.4044088125228882	 ([radio.][everything])
I(11,12): 0.4039360284805298	 ([begin][receiving])
I(42,44): 0.40253251791000366	 ([quickly][love.])
I(4,35): 0.39815425872802734	 ([prison,][successful.])
I(33,37): -0.39664405584335327	 ([school][students])
I(17,58): 0.39613205194473267	 ([fells][falls])
I(58,60): -0.3951405882835388	 ([falls][women])
I(13,31): -0.3944575786590576	 ([threatening][start])
I(13,33): -0.39409947395324707	 ([threatening][school])
I(24,58): -0.39139068126678467	 ([california][falls])
I(23,32): -0.38959187269210815	 ([move][dance])
I(13,22): 0.3857354521751404	 ([threatening][decides])
I(41,60): 0.38467323780059814	 ([adelle][women])
I(24,32): 0.3821237087249756	 ([california][dance])
I(2,61): 0.38188987970352173	 ([sentenced][enter])
I(26,62): 0.38083434104919434	 ([publicity][world])
I(18,20): 0.3779652714729309	 ([sons][easy.])
I(32,60): -0.37721335887908936	 ([dance][women])
I(18,19): -0.3762444853782654	 ([sons][got])
I(32,53): -0.3762412667274475	 ([dance][evangelist])
I(35,44): -0.3759930729866028	 ([successful.][love.])
I(13,61): 0.37425971031188965	 ([threatening][enter])
I(40,55): -0.36877763271331787	 ([father][mater])
I(12,13): -0.3678896427154541	 ([receiving][threatening])
I(33,45): -0.36738699674606323	 ([school][meantime,])
I(46,47): 0.36730796098709106	 ([helen][busy])
I(14,15): -0.36677002906799316	 ([phone][calls])
I(32,47): 0.3661496043205261	 ([dance][busy])
I(22,23): 0.36476922035217285	 ([decides][move])
I(32,50): -0.36448001861572266	 ([dance][becoming])
I(3,26): 0.36393409967422485	 ([life][publicity])
I(37,40): -0.3632662296295166	 ([students][father])
I(5,6): -0.36227238178253174	 ([adelle][( debbie])
I(38,40): -0.3617764115333557	 ([rich][father])
I(32,54): 0.36169058084487915	 ([dance][radio.])
I(13,44): -0.36142516136169434	 ([threatening][love.])
I(35,47): 0.36126554012298584	 ([successful.][busy])
I(49,53): -0.35714828968048096	 ([rabbits][evangelist])
I(28,32): -0.3557712435722351	 ([start][dance])
I(17,19): -0.3549761176109314	 ([fells][got])
I(21,22): 0.3541509509086609	 ([pair][decides])
I(10,58): 0.35391438007354736	 ([winters )][falls])
I(30,55): -0.3533150553703308	 ([life.][mater])
I(3,20): 0.3532991409301758	 ([life][easy.])
I(47,54): 0.35242903232574463	 ([busy][radio.])
I(49,63): 0.35140562057495117	 ([rabbits][madness])
I(6,62): 0.35135555267333984	 ([( debbie][world])
I(26,37): 0.3508857488632202	 ([publicity][students])
I(2,30): -0.349409282207489	 ([sentenced][life.])
I(31,58): 0.34928715229034424	 ([start][falls])
I(22,35): -0.3480224609375	 ([decides][successful.])
I(18,62): -0.3478434085845947	 ([sons][world])
I(52,53): -0.34737735986709595	 ([infatuated][evangelist])
I(2,35): 0.3463689088821411	 ([sentenced][successful.])
I(24,52): -0.34571409225463867	 ([california][infatuated])
I(18,55): -0.345361590385437	 ([sons][mater])
I(31,63): -0.3449428081512451	 ([start][madness])
I(41,62): 0.34474658966064453	 ([adelle][world])
I(12,14): -0.34006649255752563	 ([receiving][phone])
I(10,62): -0.33868932723999023	 ([winters )][world])
I(17,34): 0.33857572078704834	 ([fells][soon])
I(33,44): -0.3380930423736572	 ([school][love.])
I(32,49): -0.3374878764152527	 ([dance][rabbits])
I(34,42): 0.33682769536972046	 ([soon][quickly])
I(53,60): -0.33623820543289185	 ([evangelist][women])
I(2,4): 0.33618366718292236	 ([sentenced][prison,])
I(47,63): -0.33600807189941406	 ([busy][madness])
I(38,41): 0.335965633392334	 ([rich][adelle])
I(26,30): 0.33464956283569336	 ([publicity][life.])
I(18,54): 0.33279478549957275	 ([sons][radio.])
I(35,53): 0.3318450450897217	 ([successful.][evangelist])
I(23,28): 0.3317103981971741	 ([move][start])
I(47,49): 0.330416738986969	 ([busy][rabbits])
I(31,34): 0.3297552466392517	 ([start][soon])
I(33,50): -0.3294129967689514	 ([school][becoming])
I(32,41): 0.3287380337715149	 ([dance][adelle])
I(20,37): 0.3280590772628784	 ([easy.][students])
I(40,63): -0.3240596652030945	 ([father][madness])
I(61,63): 0.32349658012390137	 ([enter][madness])
I(3,19): -0.3232457637786865	 ([life][got])
I(44,55): -0.3218247890472412	 ([love.][mater])
I(3,41): 0.320945680141449	 ([life][adelle])
I(21,25): 0.31572163105010986	 ([pair][escape])
I(6,52): -0.315665602684021	 ([( debbie][infatuated])
I(17,18): -0.31384843587875366	 ([fells][sons])
I(49,60): 0.3137356638908386	 ([rabbits][women])
I(18,44): -0.3126509189605713	 ([sons][love.])
I(10,30): -0.3123587965965271	 ([winters )][life.])
I(44,58): 0.31029242277145386	 ([love.][falls])
I(2,20): 0.310172438621521	 ([sentenced][easy.])
I(1,47): 0.3099953532218933	 ([sons][busy])
I(56,61): 0.30960261821746826	 ([time][enter])
