---------- Players ----------
Player A: -
Player B: sons
Player C: sentenced
Player D: life
Player E: prison,
Player F: adelle
Player G: ( debbie
Player H: reynolds )
Player I: helen
Player J: ( shirley
Player K: winters )
Player L: begin
Player M: receiving
Player N: threatening
Player O: phone
Player P: calls
Player Q: someone
Player R: fells
Player S: sons
Player T: got
Player U: easy.
Player V: pair
Player W: decides
Player X: move
Player Y: california
Player Z: escape
Player [: publicity
Player \: trial
Player ]: start
Player ^: new
Player _: life.
Player `: start
Player a: dance
Player b: school
Player c: soon
Player d: successful.
Player e: one
Player f: students
Player g: rich
Player h: unmarried
Player i: father
Player j: adelle
Player k: quickly
Player l: falls
Player m: love.
Player n: meantime,
Player o: helen
Player p: busy
Player q: raising
Player r: rabbits
Player s: becoming
Player t: little
Player u: infatuated
Player v: evangelist
Player w: radio.
Player x: mater
Player y: time
Player z: everything
Player {: falls
Player |: apart
Player }: women
Player ~: enter
Player : world
Player : madness
---------- Rewards ----------
v(): 0.7320371270179749	 ([])
v(A): 0.4291594624519348	 ([-])
v(B): 1.4570361375808716	 ([sons])
v(C): 0.8058850169181824	 ([sentenced])
v(D): 2.1956584453582764	 ([life])
v(E): 1.0111616849899292	 ([prison,])
v(F): 0.5817323327064514	 ([adelle])
v(G): -0.4146288335323334	 ([( debbie])
v(H): 0.924338698387146	 ([reynolds )])
v(I): 0.8949615359306335	 ([helen])
v(J): 0.849359393119812	 ([( shirley])
v(K): 1.4628973007202148	 ([winters )])
v(L): 0.488456666469574	 ([begin])
v(M): 0.7634119987487793	 ([receiving])
v(N): -0.43768811225891113	 ([threatening])
v(O): 0.4266934394836426	 ([phone])
v(P): 0.6912612915039062	 ([calls])
v(Q): 0.36888372898101807	 ([someone])
v(R): 1.3089358806610107	 ([fells])
v(S): 1.4376070499420166	 ([sons])
v(T): 1.1442254781723022	 ([got])
v(U): 0.33155345916748047	 ([easy.])
v(V): 0.761185348033905	 ([pair])
v(W): 0.5507168769836426	 ([decides])
v(X): 0.7936906814575195	 ([move])
v(Y): 1.0967198610305786	 ([california])
v(Z): 1.0111769437789917	 ([escape])
v([): -0.4969646632671356	 ([publicity])
v(\): 0.5022416710853577	 ([trial])
v(]): 0.33068472146987915	 ([start])
v(^): 0.8850463032722473	 ([new])
v(_): 1.9328985214233398	 ([life.])
v(`): 1.1352206468582153	 ([start])
v(a): 2.1619510650634766	 ([dance])
v(b): 1.5654265880584717	 ([school])
v(c): 0.9519259929656982	 ([soon])
v(d): 1.7930967807769775	 ([successful.])
v(e): 0.7190083265304565	 ([one])
v(f): 0.7400799989700317	 ([students])
v(g): 0.995614767074585	 ([rich])
v(h): 0.9627559185028076	 ([unmarried])
v(i): 1.1839020252227783	 ([father])
v(j): -0.11237582564353943	 ([adelle])
v(k): 0.564570426940918	 ([quickly])
v(l): 0.8407002091407776	 ([falls])
v(m): 1.5762697458267212	 ([love.])
v(n): 0.6611312627792358	 ([meantime,])
v(o): 0.5207409262657166	 ([helen])
v(p): 0.2921186685562134	 ([busy])
v(q): 1.0026673078536987	 ([raising])
v(r): 0.12490102648735046	 ([rabbits])
v(s): 0.3785057067871094	 ([becoming])
v(t): 0.7733504176139832	 ([little])
v(u): 0.5953470468521118	 ([infatuated])
v(v): 1.1773697137832642	 ([evangelist])
v(w): 0.8350241184234619	 ([radio.])
v(x): 1.7317123413085938	 ([mater])
v(y): 1.535136342048645	 ([time])
v(z): 0.8250516057014465	 ([everything])
v({): -0.5109882950782776	 ([falls])
v(|): 0.9820281267166138	 ([apart])
v(}): 0.5421901941299438	 ([women])
v(~): 0.2984064221382141	 ([enter])
v(): 2.9724063873291016	 ([world])
v(): -1.9834861755371094	 ([madness])
