---------- Players ----------
Player 0: virgin
Player 1: boss
Player 2: sir
Player 3: richard
Player 4: branson
Player 5: said
Player 6: group
Player 7: talks
Player 8: chinese
Player 9: company
Player 10: setting
Player 11: mobile
Player 12: phone
Player 13: service
Player 14: mainland
Player 15: china.
---------- AND Interactions (Pairwise Only) ----------
I(3 4): -4.917275905609131	 ([richard][branson])
I(9 12): -4.817811489105225	 ([company][phone])
I(2 3): -4.50478982925415	 ([sir][richard])
I(0 3): -4.29832649230957	 ([virgin][richard])
I(9 11): -4.000619888305664	 ([company][mobile])
I(3 11): -3.5222787857055664	 ([richard][mobile])
I(1 3): -3.313277244567871	 ([boss][richard])
I(1 9): -3.21591854095459	 ([boss][company])
I(0 9): -3.035951614379883	 ([virgin][company])
I(3 12): -2.8390326499938965	 ([richard][phone])
I(9 10): -2.7531721591949463	 ([company][setting])
I(9 13): -2.483151435852051	 ([company][service])
I(11 13): -2.4180550575256348	 ([mobile][service])
I(3 5): -2.324124813079834	 ([richard][said])
I(3 9): -2.2899532318115234	 ([richard][company])
I(0 4): -2.2618446350097656	 ([virgin][branson])
I(1 13): -2.25095796585083	 ([boss][service])
I(12 13): -2.24910306930542	 ([phone][service])
I(4 12): -1.9241704940795898	 ([branson][phone])
I(4 11): -1.9032559394836426	 ([branson][mobile])
I(6 13): 1.9029507637023926	 ([group][service])
I(7 9): -1.8638994693756104	 ([talks][company])
I(5 11): -1.8238177299499512	 ([said][mobile])
I(3 14): -1.8127260208129883	 ([richard][mainland])
I(0 5): -1.806169033050537	 ([virgin][said])
I(0 1): 1.7776870727539062	 ([virgin][boss])
I(5 12): -1.7736077308654785	 ([said][phone])
I(6 14): -1.7594366073608398	 ([group][mainland])
I(5 9): -1.7219772338867188	 ([said][company])
I(4 9): 1.6277623176574707	 ([branson][company])
I(11 14): -1.6092920303344727	 ([mobile][mainland])
I(4 10): 1.5294804573059082	 ([branson][setting])
I(4 13): 1.4503626823425293	 ([branson][service])
I(1 5): -1.4286718368530273	 ([boss][said])
I(6 7): 1.3944296836853027	 ([group][talks])
I(1 11): 1.371577262878418	 ([boss][mobile])
I(11 12): 1.3334083557128906	 ([mobile][phone])
I(4 6): -1.3153457641601562	 ([branson][group])
I(8 9): -1.2645049095153809	 ([chinese][company])
I(7 15): 1.2348361015319824	 ([talks][china.])
I(13 14): -1.1739740371704102	 ([service][mainland])
I(4 5): -1.1732993125915527	 ([branson][said])
I(1 12): 1.1710567474365234	 ([boss][phone])
I(4 15): 1.1611313819885254	 ([branson][china.])
I(0 11): 1.1589946746826172	 ([virgin][mobile])
I(12 14): -1.1274280548095703	 ([phone][mainland])
I(0 13): -1.0478758811950684	 ([virgin][service])
I(3 6): -1.0022335052490234	 ([richard][group])
I(6 11): -0.9776296615600586	 ([group][mobile])
I(0 15): 0.9522800445556641	 ([virgin][china.])
I(10 14): 0.9474225044250488	 ([setting][mainland])
I(3 13): -0.941227912902832	 ([richard][service])
I(14 15): -0.9361381530761719	 ([mainland][china.])
I(5 7): -0.8721494674682617	 ([said][talks])
I(2 7): 0.8314495086669922	 ([sir][talks])
I(5 14): -0.7949168682098389	 ([said][mainland])
I(13 15): -0.7842020988464355	 ([service][china.])
I(1 14): -0.7761178016662598	 ([boss][mainland])
I(1 4): -0.750849723815918	 ([boss][branson])
I(6 15): -0.7055220603942871	 ([group][china.])
I(9 14): 0.6906938552856445	 ([company][mainland])
I(2 11): -0.685788631439209	 ([sir][mobile])
I(0 14): -0.6624937057495117	 ([virgin][mainland])
I(0 12): 0.6512346267700195	 ([virgin][phone])
I(1 7): 0.650662899017334	 ([boss][talks])
I(3 7): 0.6348376274108887	 ([richard][talks])
I(5 13): 0.6179065704345703	 ([said][service])
I(2 13): -0.5401642322540283	 ([sir][service])
I(2 12): -0.5391354560852051	 ([sir][phone])
I(5 10): -0.5387468338012695	 ([said][setting])
I(2 14): -0.5347466468811035	 ([sir][mainland])
I(7 13): 0.5136198997497559	 ([talks][service])
I(2 15): -0.5121707916259766	 ([sir][china.])
I(7 11): -0.42602014541625977	 ([talks][mobile])
I(6 12): -0.42311763763427734	 ([group][phone])
I(9 15): 0.40942859649658203	 ([company][china.])
I(3 10): -0.3977189064025879	 ([richard][setting])
I(6 10): -0.39258241653442383	 ([group][setting])
I(0 10): -0.3788151741027832	 ([virgin][setting])
I(7 10): 0.3571624755859375	 ([talks][setting])
I(10 12): -0.35494232177734375	 ([setting][phone])
I(8 13): -0.3543870449066162	 ([chinese][service])
I(4 8): 0.3458130359649658	 ([branson][chinese])
I(11 15): -0.3432345390319824	 ([mobile][china.])
I(12 15): -0.33017826080322266	 ([phone][china.])
I(6 9): 0.32519006729125977	 ([group][company])
I(4 14): 0.29360294342041016	 ([branson][mainland])
I(1 6): 0.2929115295410156	 ([boss][group])
I(0 2): -0.26119184494018555	 ([virgin][sir])
I(2 9): -0.23917341232299805	 ([sir][company])
I(6 8): 0.2270374298095703	 ([group][chinese])
I(7 12): -0.22198820114135742	 ([talks][phone])
I(7 14): 0.21784210205078125	 ([talks][mainland])
I(1 10): -0.20199918746948242	 ([boss][setting])
I(0 8): -0.18976879119873047	 ([virgin][chinese])
I(8 15): -0.1877899169921875	 ([chinese][china.])
I(5 15): -0.18559932708740234	 ([said][china.])
I(0 6): -0.17258453369140625	 ([virgin][group])
I(5 6): 0.16957759857177734	 ([said][group])
I(10 11): -0.1665940284729004	 ([setting][mobile])
I(1 2): -0.16137361526489258	 ([boss][sir])
Sum: -61.7952823638916
==================================================
