---------- Players ----------
Player 0: film
Player 1: sat
Player 2: tivo
Player 3: weeks
Player 4: watched
Player 5: it.
Player 6: dreaded
Player 7: self - indulgent
Player 8: yuppie
Player 9: flick
Player 10: relationships
Player 11: gone
Player 12: bad.
Player 13: wrong ;
Player 14: engrossing
Player 15: excursion
Player 16: screwed - up
Player 17: libidos
Player 18: new
Player 19: yorkers.
Player 20: format
Player 21: max
Player 22: ophuls '
Player 23: la
Player 24: ronde,
Player 25: "
Player 26: based
Player 27: play
Player 28: arthur
Player 29: schnitzler,
Player 30: given
Player 31: " inspired
Player 32: "
Player 33: credit.
Player 34: starts
Player 35: one
Player 36: person,
Player 37: prostitute
Player 38: ,
Player 39: standing
Player 40: street
Player 41: corner
Player 42: brooklyn.
Player 43: picked
Player 44: home
Player 45: contractor,
Player 46: sex
Player 47: hood
Player 48: car,
Player 49: can't
Player 50: come.
Player 51: refuses
Player 52: pay
Player 53: her.
Player 54: he's
Player 55: peeing,
Player 56: answers
Player 57: cell
Player 58: phone
---------- AND Interactions (Pairwise Only) ----------
I(12,15): -3.501544237136841	 ([bad.][excursion])
I(16,28): -1.1565818786621094	 ([screwed - up][arthur])
I(14,33): 1.1350812911987305	 ([engrossing][credit.])
I(7,10): 1.1303801536560059	 ([self - indulgent][relationships])
I(12,37): 1.126866102218628	 ([bad.][prostitute])
I(12,52): 1.1259021759033203	 ([bad.][pay])
I(6,15): -1.1249003410339355	 ([dreaded][excursion])
I(3,7): -1.110412836074829	 ([weeks][self - indulgent])
I(8,16): 1.1019415855407715	 ([yuppie][screwed - up])
I(18,19): 1.0853145122528076	 ([new][yorkers.])
I(14,52): 1.0834312438964844	 ([engrossing][pay])
I(16,19): -1.0650707483291626	 ([screwed - up][yorkers.])
I(5,12): -1.0649302005767822	 ([it.][bad.])
I(15,48): -1.0551552772521973	 ([excursion][car,])
I(6,13): 1.0335644483566284	 ([dreaded][wrong ;])
I(7,15): -1.0299174785614014	 ([self - indulgent][excursion])
I(14,42): -1.0287294387817383	 ([engrossing][brooklyn.])
I(1,4): -1.0011916160583496	 ([sat][watched])
I(9,10): -0.9956923127174377	 ([flick][relationships])
I(6,7): 0.9779093265533447	 ([dreaded][self - indulgent])
I(7,9): -0.9766526222229004	 ([self - indulgent][flick])
I(15,26): 0.9713634848594666	 ([excursion][based])
I(7,11): 0.9697049260139465	 ([self - indulgent][gone])
I(15,19): 0.9528326988220215	 ([excursion][yorkers.])
I(2,14): -0.9511747360229492	 ([tivo][engrossing])
I(57,58): -0.9506004452705383	 ([cell][phone])
I(12,55): 0.9486896991729736	 ([bad.][peeing,])
I(0,14): 0.9220418930053711	 ([film][engrossing])
I(2,12): -0.9202582836151123	 ([tivo][bad.])
I(12,46): 0.9005546569824219	 ([bad.][sex])
I(16,31): -0.8920211791992188	 ([screwed - up][" inspired])
I(6,11): 0.8871936798095703	 ([dreaded][gone])
I(7,8): 0.8819429874420166	 ([self - indulgent][yuppie])
I(6,9): -0.8736279010772705	 ([dreaded][flick])
I(27,28): -0.8654168248176575	 ([play][arthur])
I(30,31): -0.860024631023407	 ([given][" inspired])
I(12,51): 0.8576703071594238	 ([bad.][refuses])
I(15,27): 0.8571795225143433	 ([excursion][play])
I(7,48): -0.8545138835906982	 ([self - indulgent][car,])
I(15,42): 0.8348405361175537	 ([excursion][brooklyn.])
I(12,17): -0.8332979679107666	 ([bad.][libidos])
I(1,7): -0.8332629203796387	 ([sat][self - indulgent])
I(15,20): 0.8332343101501465	 ([excursion][format])
I(7,17): 0.8317657709121704	 ([self - indulgent][libidos])
I(8,15): -0.8300306797027588	 ([yuppie][excursion])
I(14,28): -0.8276567459106445	 ([engrossing][arthur])
I(12,28): -0.8254318237304688	 ([bad.][arthur])
I(16,30): -0.8161712288856506	 ([screwed - up][given])
I(10,15): 0.8155373930931091	 ([relationships][excursion])
I(12,13): 0.8070384860038757	 ([bad.][wrong ;])
I(22,24): 0.8035291433334351	 ([ophuls '][ronde,])
I(4,7): -0.7930135726928711	 ([watched][self - indulgent])
I(14,31): -0.787437915802002	 ([engrossing][" inspired])
I(4,12): -0.7764837741851807	 ([watched][bad.])
I(2,7): -0.7443430423736572	 ([tivo][self - indulgent])
I(2,55): -0.7271673083305359	 ([tivo][peeing,])
I(15,17): 0.7245504856109619	 ([excursion][libidos])
I(7,52): 0.6932792663574219	 ([self - indulgent][pay])
I(7,29): -0.6901070475578308	 ([self - indulgent][schnitzler,])
I(16,57): 0.6834523677825928	 ([screwed - up][cell])
I(8,29): -0.677203357219696	 ([yuppie][schnitzler,])
I(35,36): 0.6758714914321899	 ([one][person,])
I(14,19): -0.6727681159973145	 ([engrossing][yorkers.])
I(15,52): -0.6597716808319092	 ([excursion][pay])
I(27,29): 0.6529905200004578	 ([play][schnitzler,])
I(16,20): -0.6487555503845215	 ([screwed - up][format])
I(7,58): -0.6353447437286377	 ([self - indulgent][phone])
I(22,33): 0.6273329854011536	 ([ophuls '][credit.])
I(6,14): 0.6239910125732422	 ([dreaded][engrossing])
I(16,33): -0.6147358417510986	 ([screwed - up][credit.])
I(14,55): 0.6097116470336914	 ([engrossing][peeing,])
I(7,19): -0.5955427885055542	 ([self - indulgent][yorkers.])
I(29,42): 0.5933628678321838	 ([schnitzler,][brooklyn.])
I(7,49): -0.5913412570953369	 ([self - indulgent][can't])
I(12,48): -0.5748441219329834	 ([bad.][car,])
I(14,58): 0.5718536376953125	 ([engrossing][phone])
I(16,34): -0.5712029933929443	 ([screwed - up][starts])
I(8,48): -0.5646979808807373	 ([yuppie][car,])
I(12,30): -0.5559630990028381	 ([bad.][given])
I(16,42): -0.554131269454956	 ([screwed - up][brooklyn.])
I(40,41): -0.550652027130127	 ([street][corner])
I(37,46): 0.5465160012245178	 ([prostitute][sex])
I(17,19): 0.5461726188659668	 ([libidos][yorkers.])
I(4,9): 0.5454468727111816	 ([watched][flick])
I(0,1): -0.5406388640403748	 ([film][sat])
I(12,22): 0.5390381813049316	 ([bad.][ophuls '])
I(9,58): 0.5304451584815979	 ([flick][phone])
I(28,29): 0.5272868275642395	 ([arthur][schnitzler,])
I(2,6): -0.5256171226501465	 ([tivo][dreaded])
I(37,45): 0.5241730809211731	 ([prostitute][contractor,])
I(7,36): 0.523087739944458	 ([self - indulgent][person,])
I(16,45): 0.5145003795623779	 ([screwed - up][contractor,])
I(23,24): 0.5143507122993469	 ([la][ronde,])
I(52,53): 0.5117431879043579	 ([pay][her.])
I(16,21): -0.5107541084289551	 ([screwed - up][max])
I(13,19): -0.5088558793067932	 ([wrong ;][yorkers.])
I(2,22): -0.5073365569114685	 ([tivo][ophuls '])
I(14,51): 0.5053539276123047	 ([engrossing][refuses])
I(6,48): 0.5041713714599609	 ([dreaded][car,])
I(34,42): 0.5020453929901123	 ([starts][brooklyn.])
I(14,26): 0.5008230209350586	 ([engrossing][based])
I(2,19): -0.4957540035247803	 ([tivo][yorkers.])
I(33,34): -0.4950946569442749	 ([credit.][starts])
I(0,6): 0.4941437840461731	 ([film][dreaded])
I(14,20): 0.4877748489379883	 ([engrossing][format])
I(13,31): -0.48630982637405396	 ([wrong ;][" inspired])
I(0,10): -0.47811979055404663	 ([film][relationships])
I(8,56): -0.4764842987060547	 ([yuppie][answers])
I(28,42): -0.47589993476867676	 ([arthur][brooklyn.])
I(12,53): -0.4746286869049072	 ([bad.][her.])
I(9,22): 0.4722769260406494	 ([flick][ophuls '])
I(45,52): 0.471443235874176	 ([contractor,][pay])
I(15,37): -0.4701266288757324	 ([excursion][prostitute])
I(0,7): -0.4645102024078369	 ([film][self - indulgent])
I(4,14): 0.463714599609375	 ([watched][engrossing])
I(12,43): -0.46253514289855957	 ([bad.][picked])
I(15,29): 0.4593730568885803	 ([excursion][schnitzler,])
I(6,10): -0.45871227979660034	 ([dreaded][relationships])
I(31,32): -0.4561111330986023	 ([" inspired]["])
I(19,28): -0.4545329809188843	 ([yorkers.][arthur])
I(6,17): -0.4516558051109314	 ([dreaded][libidos])
I(4,5): -0.45064133405685425	 ([watched][it.])
I(8,24): -0.44804584980010986	 ([yuppie][ronde,])
I(11,15): -0.4455568194389343	 ([gone][excursion])
I(14,16): 0.4413795471191406	 ([engrossing][screwed - up])
I(19,57): -0.4413793683052063	 ([yorkers.][cell])
I(16,47): 0.440777063369751	 ([screwed - up][hood])
I(14,57): -0.4405059814453125	 ([engrossing][cell])
I(14,37): 0.4376716613769531	 ([engrossing][prostitute])
I(15,16): 0.4330892562866211	 ([excursion][screwed - up])
I(17,28): -0.4328688383102417	 ([libidos][arthur])
I(9,42): 0.43265843391418457	 ([flick][brooklyn.])
I(11,16): 0.43207627534866333	 ([gone][screwed - up])
I(48,51): -0.4290624260902405	 ([car,][refuses])
I(56,57): -0.4255041480064392	 ([answers][cell])
I(14,40): -0.4247927665710449	 ([engrossing][street])
I(45,46): 0.42393946647644043	 ([contractor,][sex])
I(16,55): 0.4235401153564453	 ([screwed - up][peeing,])
I(0,58): -0.42326319217681885	 ([film][phone])
I(22,23): 0.4227374792098999	 ([ophuls '][la])
I(0,17): 0.4187508225440979	 ([film][libidos])
I(7,37): 0.4179718494415283	 ([self - indulgent][prostitute])
I(16,58): 0.41783833503723145	 ([screwed - up][phone])
I(26,27): 0.41681230068206787	 ([based][play])
I(32,33): 0.41678744554519653	 (["][credit.])
I(15,33): 0.41611504554748535	 ([excursion][credit.])
I(3,12): -0.4158153533935547	 ([weeks][bad.])
I(7,28): -0.4157137870788574	 ([self - indulgent][arthur])
I(7,46): 0.4141428470611572	 ([self - indulgent][sex])
I(14,44): -0.4119091033935547	 ([engrossing][home])
I(12,44): -0.40436673164367676	 ([bad.][home])
I(15,46): -0.4012570381164551	 ([excursion][sex])
I(8,52): 0.40062785148620605	 ([yuppie][pay])
I(2,15): -0.4001123905181885	 ([tivo][excursion])
I(44,45): -0.39812636375427246	 ([home][contractor,])
I(10,16): 0.39811962842941284	 ([relationships][screwed - up])
I(17,58): -0.396900475025177	 ([libidos][phone])
I(19,29): 0.39656275510787964	 ([yorkers.][schnitzler,])
I(14,41): -0.3943595886230469	 ([engrossing][corner])
I(7,53): -0.39414381980895996	 ([self - indulgent][her.])
I(10,11): -0.3898776173591614	 ([relationships][gone])
I(0,31): 0.3896331191062927	 ([film][" inspired])
I(14,43): -0.38809871673583984	 ([engrossing][picked])
I(43,44): -0.3853909373283386	 ([picked][home])
I(1,15): 0.3847532272338867	 ([sat][excursion])
I(19,42): 0.38447344303131104	 ([yorkers.][brooklyn.])
I(8,9): 0.3824622631072998	 ([yuppie][flick])
I(2,37): -0.38229143619537354	 ([tivo][prostitute])
I(8,27): -0.38200151920318604	 ([yuppie][play])
I(17,18): 0.3805295526981354	 ([libidos][new])
I(12,45): 0.37969112396240234	 ([bad.][contractor,])
I(12,27): -0.37777256965637207	 ([bad.][play])
I(14,56): -0.37122440338134766	 ([engrossing][answers])
I(14,18): 0.36683177947998047	 ([engrossing][new])
I(31,45): 0.36663126945495605	 ([" inspired][contractor,])
I(50,51): -0.36513257026672363	 ([come.][refuses])
I(7,44): 0.3631027936935425	 ([self - indulgent][home])
I(42,57): -0.36051511764526367	 ([brooklyn.][cell])
I(0,19): 0.35994237661361694	 ([film][yorkers.])
I(16,18): 0.3592710494995117	 ([screwed - up][new])
I(12,39): -0.3583524227142334	 ([bad.][standing])
I(2,5): -0.35827046632766724	 ([tivo][it.])
I(0,49): -0.3580300211906433	 ([film][can't])
I(16,29): -0.3573252558708191	 ([screwed - up][schnitzler,])
I(6,31): -0.3567044138908386	 ([dreaded][" inspired])
I(31,34): 0.35628747940063477	 ([" inspired][starts])
I(14,34): -0.35576534271240234	 ([engrossing][starts])
I(19,46): 0.3524476885795593	 ([yorkers.][sex])
I(8,21): 0.3522458076477051	 ([yuppie][max])
I(15,22): -0.3520207405090332	 ([excursion][ophuls '])
I(9,55): 0.35099148750305176	 ([flick][peeing,])
I(7,21): -0.3506193161010742	 ([self - indulgent][max])
I(20,58): 0.34718143939971924	 ([format][phone])
I(45,48): 0.3471633195877075	 ([contractor,][car,])
I(16,26): -0.3449552059173584	 ([screwed - up][based])
I(53,55): -0.34370744228363037	 ([her.][peeing,])
I(51,54): -0.34308725595474243	 ([refuses][he's])
I(27,34): 0.3419445753097534	 ([play][starts])
I(6,19): -0.34177500009536743	 ([dreaded][yorkers.])
I(8,57): -0.34159499406814575	 ([yuppie][cell])
I(4,58): 0.3412627577781677	 ([watched][phone])
I(12,33): 0.3389699459075928	 ([bad.][credit.])
I(15,39): 0.33872872591018677	 ([excursion][standing])
I(14,49): 0.3381364941596985	 ([engrossing][can't])
I(40,45): 0.33594954013824463	 ([street][contractor,])
I(4,27): 0.33566468954086304	 ([watched][play])
I(1,16): -0.33507347106933594	 ([sat][screwed - up])
I(19,45): 0.3322702646255493	 ([yorkers.][contractor,])
I(33,52): 0.33133554458618164	 ([credit.][pay])
I(0,52): -0.33096373081207275	 ([film][pay])
I(0,51): -0.3289909362792969	 ([film][refuses])
I(34,40): 0.3280184864997864	 ([starts][street])
I(45,58): 0.3279493451118469	 ([contractor,][phone])
I(46,48): -0.32674169540405273	 ([sex][car,])
I(3,6): -0.3250109553337097	 ([weeks][dreaded])
I(7,51): 0.3242327570915222	 ([self - indulgent][refuses])
I(15,34): 0.3238530158996582	 ([excursion][starts])
I(16,40): 0.3236112594604492	 ([screwed - up][street])
I(51,52): 0.3232802748680115	 ([refuses][pay])
I(2,16): -0.32323789596557617	 ([tivo][screwed - up])
I(12,56): -0.3229355812072754	 ([bad.][answers])
I(12,24): -0.3229168653488159	 ([bad.][ronde,])
I(28,31): -0.32212376594543457	 ([arthur][" inspired])
I(6,47): 0.32119280099868774	 ([dreaded][hood])
I(2,45): -0.32097649574279785	 ([tivo][contractor,])
I(17,22): -0.32097190618515015	 ([libidos][ophuls '])
I(33,46): 0.32076066732406616	 ([credit.][sex])
I(22,37): -0.3184564709663391	 ([ophuls '][prostitute])
I(0,48): -0.31739407777786255	 ([film][car,])
I(16,46): 0.31702685356140137	 ([screwed - up][sex])
I(19,33): 0.3164421319961548	 ([yorkers.][credit.])
I(7,35): 0.31637781858444214	 ([self - indulgent][one])
I(0,22): 0.3157331347465515	 ([film][ophuls '])
I(31,40): 0.3133683204650879	 ([" inspired][street])
I(54,57): -0.3123359680175781	 ([he's][cell])
I(15,55): -0.3106159567832947	 ([excursion][peeing,])
I(9,19): 0.3105701804161072	 ([flick][yorkers.])
I(34,39): 0.3095744252204895	 ([starts][standing])
I(22,58): -0.3087557554244995	 ([ophuls '][phone])
I(17,34): 0.30778682231903076	 ([libidos][starts])
I(19,26): 0.3073311448097229	 ([yorkers.][based])
I(5,14): -0.3065633773803711	 ([it.][engrossing])
I(44,57): -0.30626559257507324	 ([home][cell])
I(24,25): 0.30525773763656616	 ([ronde,]["])
I(8,54): 0.301776647567749	 ([yuppie][he's])
I(7,27): -0.30016815662384033	 ([self - indulgent][play])
I(22,28): -0.2996593117713928	 ([ophuls '][arthur])
I(6,52): 0.29888492822647095	 ([dreaded][pay])
I(49,56): -0.296215683221817	 ([can't][answers])
I(31,46): 0.2960556745529175	 ([" inspired][sex])
I(12,34): -0.2957608699798584	 ([bad.][starts])
I(8,10): 0.29398149251937866	 ([yuppie][relationships])
I(40,58): -0.29358214139938354	 ([street][phone])
I(0,18): -0.29296815395355225	 ([film][new])
I(16,51): 0.29291725158691406	 ([screwed - up][refuses])
I(26,55): 0.29229265451431274	 ([based][peeing,])
I(4,48): 0.28946053981781006	 ([watched][car,])
I(19,56): -0.28940820693969727	 ([yorkers.][answers])
I(17,57): -0.2893582284450531	 ([libidos][cell])
I(6,16): -0.28897029161453247	 ([dreaded][screwed - up])
I(22,55): 0.2879059910774231	 ([ophuls '][peeing,])
I(14,30): -0.2867450714111328	 ([engrossing][given])
I(6,43): 0.2861919701099396	 ([dreaded][picked])
I(55,56): -0.2858322262763977	 ([peeing,][answers])
I(29,55): -0.2851131558418274	 ([schnitzler,][peeing,])
I(2,8): -0.2832834720611572	 ([tivo][yuppie])
I(0,4): 0.2816619873046875	 ([film][watched])
I(7,54): -0.2816035747528076	 ([self - indulgent][he's])
I(10,17): 0.28091076016426086	 ([relationships][libidos])
I(12,21): -0.2790524959564209	 ([bad.][max])
I(0,45): -0.2782423496246338	 ([film][contractor,])
I(6,51): 0.27673816680908203	 ([dreaded][refuses])
I(28,57): -0.27659744024276733	 ([arthur][cell])
I(15,28): -0.27644872665405273	 ([excursion][arthur])
I(9,27): 0.27606022357940674	 ([flick][play])
I(8,46): 0.2758958339691162	 ([yuppie][sex])
I(14,22): 0.2752208709716797	 ([engrossing][ophuls '])
I(8,55): 0.27463603019714355	 ([yuppie][peeing,])
I(34,35): -0.27437666058540344	 ([starts][one])
I(1,13): 0.2739821672439575	 ([sat][wrong ;])
I(9,51): -0.273815393447876	 ([flick][refuses])
I(7,55): -0.27269697189331055	 ([self - indulgent][peeing,])
I(9,20): 0.27265167236328125	 ([flick][format])
I(9,53): -0.270737886428833	 ([flick][her.])
I(49,53): -0.2703874111175537	 ([can't][her.])
I(16,54): -0.2699615955352783	 ([screwed - up][he's])
I(1,5): -0.2686958909034729	 ([sat][it.])
I(46,51): -0.2686500549316406	 ([sex][refuses])
I(8,20): 0.2685892581939697	 ([yuppie][format])
I(9,37): -0.26673316955566406	 ([flick][prostitute])
I(24,26): 0.26610589027404785	 ([ronde,][based])
I(37,52): 0.2658359408378601	 ([prostitute][pay])
I(8,11): 0.26493173837661743	 ([yuppie][gone])
I(8,28): -0.26422834396362305	 ([yuppie][arthur])
I(37,55): 0.2634091377258301	 ([prostitute][peeing,])
I(11,14): 0.2628488540649414	 ([gone][engrossing])
I(13,14): -0.2622976303100586	 ([wrong ;][engrossing])
I(48,56): -0.26217007637023926	 ([car,][answers])
I(19,37): -0.2610626816749573	 ([yorkers.][prostitute])
I(0,46): -0.2609879970550537	 ([film][sex])
I(3,5): 0.2607993483543396	 ([weeks][it.])
I(22,56): -0.2599821090698242	 ([ophuls '][answers])
I(9,11): 0.25951606035232544	 ([flick][gone])
I(49,54): -0.2588306665420532	 ([can't][he's])
I(37,38): 0.25754913687705994	 ([prostitute][,])
I(7,30): -0.2547948956489563	 ([self - indulgent][given])
I(42,45): 0.25396329164505005	 ([brooklyn.][contractor,])
I(27,45): -0.2516593933105469	 ([play][contractor,])
I(16,48): 0.2509958744049072	 ([screwed - up][car,])
I(22,42): 0.250943660736084	 ([ophuls '][brooklyn.])
I(42,44): -0.24995529651641846	 ([brooklyn.][home])
I(16,52): 0.2491767406463623	 ([screwed - up][pay])
I(46,55): 0.24849826097488403	 ([sex][peeing,])
I(5,19): -0.24846726655960083	 ([it.][yorkers.])
I(16,37): 0.24813580513000488	 ([screwed - up][prostitute])
I(34,44): 0.2439059019088745	 ([starts][home])
I(20,26): 0.24291634559631348	 ([format][based])
I(31,39): 0.24145197868347168	 ([" inspired][standing])
I(15,50): 0.24008989334106445	 ([excursion][come.])
I(29,58): -0.23966258764266968	 ([schnitzler,][phone])
I(15,21): 0.23915934562683105	 ([excursion][max])
I(38,39): 0.23907366394996643	 ([,][standing])
I(7,47): 0.23888111114501953	 ([self - indulgent][hood])
I(1,14): 0.23824501037597656	 ([sat][engrossing])
I(18,29): -0.23819047212600708	 ([new][schnitzler,])
I(14,25): 0.23780441284179688	 ([engrossing]["])
I(31,56): -0.23778343200683594	 ([" inspired][answers])
I(48,53): -0.23632383346557617	 ([car,][her.])
I(2,10): 0.23511558771133423	 ([tivo][relationships])
I(2,31): -0.2350320816040039	 ([tivo][" inspired])
I(15,44): 0.23498451709747314	 ([excursion][home])
I(5,33): 0.2340647578239441	 ([it.][credit.])
I(17,52): -0.23393040895462036	 ([libidos][pay])
I(37,39): -0.2337099313735962	 ([prostitute][standing])
I(0,9): 0.23366832733154297	 ([film][flick])
I(8,30): -0.2334933876991272	 ([yuppie][given])
I(17,26): 0.2331961691379547	 ([libidos][based])
I(0,27): 0.2330763339996338	 ([film][play])
I(0,33): -0.23299813270568848	 ([film][credit.])
I(0,36): 0.23278909921646118	 ([film][person,])
I(46,58): 0.23246055841445923	 ([sex][phone])
I(9,13): -0.23238807916641235	 ([flick][wrong ;])
I(4,53): -0.232077956199646	 ([watched][her.])
I(26,29): 0.2317274808883667	 ([based][schnitzler,])
I(12,50): -0.23168492317199707	 ([bad.][come.])
I(11,13): 0.2303987741470337	 ([gone][wrong ;])
I(14,24): -0.2290658950805664	 ([engrossing][ronde,])
I(18,37): -0.2277238965034485	 ([new][prostitute])
I(48,50): -0.22524696588516235	 ([car,][come.])
I(8,44): -0.22452294826507568	 ([yuppie][home])
I(6,58): 0.22404664754867554	 ([dreaded][phone])
I(0,16): -0.22400355339050293	 ([film][screwed - up])
I(51,58): -0.22397637367248535	 ([refuses][phone])
I(0,30): 0.22394001483917236	 ([film][given])
I(13,16): -0.22223764657974243	 ([wrong ;][screwed - up])
I(55,58): -0.22198760509490967	 ([peeing,][phone])
I(44,58): -0.22070074081420898	 ([home][phone])
I(10,27): -0.22044169902801514	 ([relationships][play])
I(3,48): 0.22029203176498413	 ([weeks][car,])
I(40,55): 0.21903318166732788	 ([street][peeing,])
I(31,48): 0.21794915199279785	 ([" inspired][car,])
I(2,28): -0.21733307838439941	 ([tivo][arthur])
I(39,58): -0.21720093488693237	 ([standing][phone])
I(33,36): 0.2170703411102295	 ([credit.][person,])
I(27,41): 0.2149333953857422	 ([play][corner])
I(5,13): -0.21436423063278198	 ([it.][wrong ;])
I(5,11): -0.21436280012130737	 ([it.][gone])
I(35,40): 0.21422278881072998	 ([one][street])
I(14,53): 0.21358489990234375	 ([engrossing][her.])
I(33,45): 0.21335691213607788	 ([credit.][contractor,])
I(50,54): -0.21284633874893188	 ([come.][he's])
I(53,54): -0.21191883087158203	 ([her.][he's])
I(15,40): -0.21173423528671265	 ([excursion][street])
I(5,9): 0.2112407684326172	 ([it.][flick])
I(30,37): -0.2106562852859497	 ([given][prostitute])
Sum: 16.318817108869553
==================================================
