---------- Players ----------
Player 0: first
Player 1: moment,
Player 2: thing
Player 3: "
Player 4: awful
Player 5: sequence
Player 6: extremely
Player 7: short
Player 8: cuts
Player 9: blurry
Player 10: camera
Player 11: work.
Player 12: overall
Player 13: plot
Player 14: every
Player 15: potential
Player 16: thriller,
Player 17: story
Player 18: badly
Player 19: told
Player 20: i'm
Player 21: unable
Player 22: buy
Player 23: it.
Player 24: middle
Player 25: film,
Player 26: actions
Player 27: characters
Player 28: make
Player 29: sense
Player 30: me.
Player 31: stop
Player 32: reading
Player 33: avoid
Player 34: spoilers.
Player 35: instance,
Player 36: ed's
Player 37: idea
Player 38: edna
Player 39: make
Player 40: coffee
Player 41: shot
Player 42: son's
Player 43: arm
Player 44: way
Player 45: alleged
Player 46: experience ;
Player 47: extremely
Player 48: stupid
Player 49: idea.
Player 50: domino
Player 51: questioning
Player 52: fragmentary
Player 53: orders
Player 54: receives
Player 55: claremont
Player 56: williams
Player 57: breaking - up
Player 58: phone
Player 59: connection
Player 60: eludes
Player 61: me ;
---------- AND Interactions (Pairwise Only) ----------
I(47,48): -1.8643560409545898	 ([extremely][stupid])
I(17,18): 1.7539739608764648	 ([story][badly])
I(4,48): -1.715409755706787	 ([awful][stupid])
I(48,51): 1.4915534257888794	 ([stupid][questioning])
I(4,18): -1.463796615600586	 ([awful][badly])
I(60,61): 1.3625519275665283	 ([eludes][me ;])
I(4,47): -1.308854103088379	 ([awful][extremely])
I(47,51): -1.2593950033187866	 ([extremely][questioning])
I(48,60): 1.2509098052978516	 ([stupid][eludes])
I(53,60): 1.2408115863800049	 ([orders][eludes])
I(57,60): -1.2155113220214844	 ([breaking - up][eludes])
I(4,51): 1.2133857011795044	 ([awful][questioning])
I(8,9): -1.1633257865905762	 ([cuts][blurry])
I(4,60): 1.1621766090393066	 ([awful][eludes])
I(18,48): -1.1095333099365234	 ([badly][stupid])
I(45,51): 1.0310856103897095	 ([alleged][questioning])
I(52,60): -1.010159969329834	 ([fragmentary][eludes])
I(6,47): -0.9979300498962402	 ([extremely][extremely])
I(10,11): 0.9673690795898438	 ([camera][work.])
I(4,9): -0.9572405815124512	 ([awful][blurry])
I(41,57): 0.9566025733947754	 ([shot][breaking - up])
I(4,59): 0.8435029983520508	 ([awful][connection])
I(15,16): 0.828026294708252	 ([potential][thriller,])
I(12,13): 0.8201096057891846	 ([overall][plot])
I(41,51): 0.8185354471206665	 ([shot][questioning])
I(6,7): 0.8094596862792969	 ([extremely][short])
I(37,60): 0.8058271408081055	 ([idea][eludes])
I(4,38): -0.7994832992553711	 ([awful][edna])
I(45,48): -0.7947354316711426	 ([alleged][stupid])
I(9,60): 0.7832684516906738	 ([blurry][eludes])
I(18,47): -0.7824177742004395	 ([badly][extremely])
I(18,51): 0.7767268419265747	 ([badly][questioning])
I(44,51): 0.7749983072280884	 ([way][questioning])
I(1,51): -0.774591326713562	 ([moment,][questioning])
I(44,46): 0.7605319023132324	 ([way][experience ;])
I(4,5): 0.7578685283660889	 ([awful][sequence])
I(4,41): -0.7537307739257812	 ([awful][shot])
I(9,18): -0.7515468597412109	 ([blurry][badly])
I(47,49): -0.7455339431762695	 ([extremely][idea.])
I(4,45): -0.7347502708435059	 ([awful][alleged])
I(6,8): 0.7243943214416504	 ([extremely][cuts])
I(45,60): 0.7034170627593994	 ([alleged][eludes])
I(18,60): 0.6982460021972656	 ([badly][eludes])
I(48,54): 0.6850452423095703	 ([stupid][receives])
I(9,51): 0.6804599761962891	 ([blurry][questioning])
I(46,51): -0.6633533239364624	 ([experience ;][questioning])
I(18,45): -0.6548981666564941	 ([badly][alleged])
I(4,57): 0.6481657028198242	 ([awful][breaking - up])
I(48,49): -0.6408467292785645	 ([stupid][idea.])
I(18,19): -0.6401405334472656	 ([badly][told])
I(18,59): 0.6382226943969727	 ([badly][connection])
I(28,29): 0.6316614151000977	 ([make][sense])
I(45,47): -0.6288533210754395	 ([alleged][extremely])
I(1,2): -0.622133731842041	 ([moment,][thing])
I(51,60): 0.6194049119949341	 ([questioning][eludes])
I(49,60): 0.6128129959106445	 ([idea.][eludes])
I(58,59): 0.6111063957214355	 ([phone][connection])
I(18,22): -0.6095924377441406	 ([badly][buy])
I(9,11): 0.5839896202087402	 ([blurry][work.])
I(38,48): -0.5653672218322754	 ([edna][stupid])
I(53,54): 0.5576581954956055	 ([orders][receives])
I(26,48): 0.5560717582702637	 ([actions][stupid])
I(41,48): -0.5521049499511719	 ([shot][stupid])
