---------- Players ----------
Player 0: first
Player 1: off,
Player 2: really
Player 3: favorite
Player 4: film
Player 5: ever.
Player 6: need
Player 7: give
Player 8: anyone
Player 9: description
Player 10: every
Player 11: hole
Player 12: that.
Player 13: literally
Player 14: obsessed
Player 15: practically
Player 16: bloodless,
Player 17: cheesy,
Player 18: lame
Player 19: effects
Player 20: having ',
Player 21: boom - stick
Player 22: showing ',
Player 23: badly
Player 24: edited,
Player 25: 80's
Player 26: metal
Player 27: horror
Player 28: masterpiece.
Player 29: director
Player 30: ( i
Player 31: heard )
Player 32: hoped
Player 33: hit
Player 34: box
Player 35: office
Player 36: could
Player 37: sequels
Player 38: freddy
Player 39: jason
Player 40: type
Player 41: deal
Player 42: himself.
Player 43: damn,
Player 44: wish
Player 45: could've
Player 46: went
Player 47: like
Player 48: that!
Player 49: soundtrack's
Player 50: banging '.
Player 51: acting's
Player 52: good.... check
Player 53: mofo
Player 54: out.
Player 55: die - hard
Player 56: fans
Player 57: there,
Player 58: feel
Player 59: free
Player 60: email
Player 61: chat
Player 62: sometime.
Player 63: midgetorgy.... i
Player 64: found
Player 65: yahoo.
---------- Rewards ----------
v(): 0.15358135104179382	 ([])
v(0): -0.5882965922355652	 ([first])
v(1): -0.6898660659790039	 ([off,])
v(2): 0.7123655080795288	 ([really])
v(3): 3.745586395263672	 ([favorite])
v(4): 1.6130505800247192	 ([film])
v(5): 4.196330547332764	 ([ever.])
v(6): 1.8821899890899658	 ([need])
v(7): 1.136620283126831	 ([give])
v(8): 0.039250344038009644	 ([anyone])
v(9): -0.2607254683971405	 ([description])
v(10): -0.38406771421432495	 ([every])
v(11): -0.7003073692321777	 ([hole])
v(12): 0.4299994111061096	 ([that.])
v(13): 0.0380595326423645	 ([literally])
v(14): 0.7949577569961548	 ([obsessed])
v(15): -1.145393967628479	 ([practically])
v(16): -1.7995190620422363	 ([bloodless,])
v(17): -0.7105852365493774	 ([cheesy,])
v(18): -1.5033698081970215	 ([lame])
v(19): -0.2522045969963074	 ([effects])
v(20): 0.22078560292720795	 ([having ',])
v(21): 0.29164260625839233	 ([boom - stick])
v(22): 0.15552446246147156	 ([showing ',])
v(23): -2.13264799118042	 ([badly])
v(24): 0.33613091707229614	 ([edited,])
v(25): -0.014866769313812256	 ([80's])
v(26): -0.15259075164794922	 ([metal])
v(27): -1.954142689704895	 ([horror])
v(28): 5.32789421081543	 ([masterpiece.])
v(29): -1.095321536064148	 ([director])
v(30): 0.19345752894878387	 ([( i])
v(31): 0.09337228536605835	 ([heard )])
v(32): 0.4509718120098114	 ([hoped])
v(33): -0.04401639103889465	 ([hit])
v(34): 0.4056529998779297	 ([box])
v(35): 0.7222604751586914	 ([office])
v(36): -0.27217286825180054	 ([could])
v(37): -0.12403222918510437	 ([sequels])
v(38): 0.5049305558204651	 ([freddy])
v(39): -0.0148182213306427	 ([jason])
v(40): 0.3470926880836487	 ([type])
v(41): 1.2142003774642944	 ([deal])
v(42): 0.6004943251609802	 ([himself.])
v(43): -2.6426379680633545	 ([damn,])
v(44): 1.4353747367858887	 ([wish])
v(45): -0.46409371495246887	 ([could've])
v(46): 0.082834392786026	 ([went])
v(47): -0.13962078094482422	 ([like])
v(48): 0.224696084856987	 ([that!])
v(49): 0.045610398054122925	 ([soundtrack's])
v(50): -0.5513815879821777	 ([banging '.])
v(51): -0.979640781879425	 ([acting's])
v(52): 0.7867428660392761	 ([good.... check])
v(53): 0.5679944753646851	 ([mofo])
v(54): 0.31429868936538696	 ([out.])
v(55): -0.10049298405647278	 ([die - hard])
v(56): -0.17515559494495392	 ([fans])
v(57): 1.048799753189087	 ([there,])
v(58): 0.7001360058784485	 ([feel])
v(59): 0.9224913120269775	 ([free])
v(60): 0.24123160541057587	 ([email])
v(61): 0.9611842036247253	 ([chat])
v(62): 0.755172848701477	 ([sometime.])
v(63): 0.17239172756671906	 ([midgetorgy.... i])
v(64): 1.0968400239944458	 ([found])
v(65): -0.21150384843349457	 ([yahoo.])
v(0,1): -0.6163443326950073	 ([first][off,])
v(0,2): -0.4569413959980011	 ([first][really])
v(0,3): 2.9790470600128174	 ([first][favorite])
v(0,4): 0.11561805009841919	 ([first][film])
v(0,5): 1.4943400621414185	 ([first][ever.])
v(0,6): 0.9485913515090942	 ([first][need])
v(0,7): 0.24920935928821564	 ([first][give])
v(0,8): -0.7635875940322876	 ([first][anyone])
v(0,9): -0.8555141091346741	 ([first][description])
v(0,10): -1.0640112161636353	 ([first][every])
v(0,11): -1.2438931465148926	 ([first][hole])
v(0,12): -0.3876126706600189	 ([first][that.])
v(0,13): -0.7384520173072815	 ([first][literally])
v(0,14): 0.13098719716072083	 ([first][obsessed])
v(0,15): -1.5163476467132568	 ([first][practically])
v(0,16): -2.1587681770324707	 ([first][bloodless,])
v(0,17): -1.4838855266571045	 ([first][cheesy,])
v(0,18): -1.9794440269470215	 ([first][lame])
v(0,19): -0.9450846910476685	 ([first][effects])
v(0,20): -0.5009905695915222	 ([first][having ',])
v(0,21): -0.3736976981163025	 ([first][boom - stick])
v(0,22): -0.6152644157409668	 ([first][showing ',])
v(0,23): -2.789792776107788	 ([first][badly])
v(0,24): -0.47916916012763977	 ([first][edited,])
v(0,25): -0.7632068395614624	 ([first][80's])
v(0,26): -0.8830367922782898	 ([first][metal])
v(0,27): -2.7990691661834717	 ([first][horror])
v(0,28): 4.527191162109375	 ([first][masterpiece.])
v(0,29): -1.9409880638122559	 ([first][director])
v(0,30): -0.5461002588272095	 ([first][( i])
v(0,31): -0.6589259505271912	 ([first][heard )])
v(0,32): -0.4550818204879761	 ([first][hoped])
v(0,33): -0.8597906827926636	 ([first][hit])
v(0,34): -0.3201046288013458	 ([first][box])
v(0,35): -0.06887748837471008	 ([first][office])
v(0,36): -1.0327184200286865	 ([first][could])
v(0,37): -0.8654071092605591	 ([first][sequels])
v(0,38): -0.16477131843566895	 ([first][freddy])
v(0,39): -0.7029410004615784	 ([first][jason])
v(0,40): -0.3820967674255371	 ([first][type])
v(0,41): 0.5426957607269287	 ([first][deal])
v(0,42): -0.2680099308490753	 ([first][himself.])
v(0,43): -3.028505325317383	 ([first][damn,])
v(0,44): 0.4766514301300049	 ([first][wish])
v(0,45): -1.1491261720657349	 ([first][could've])
v(0,46): -0.686845600605011	 ([first][went])
v(0,47): -0.8444837927818298	 ([first][like])
v(0,48): -0.47685015201568604	 ([first][that!])
v(0,49): -0.6798514723777771	 ([first][soundtrack's])
v(0,50): -1.1897809505462646	 ([first][banging '.])
v(0,51): -1.488266110420227	 ([first][acting's])
v(0,52): 0.10193464159965515	 ([first][good.... check])
v(0,53): -0.03629261255264282	 ([first][mofo])
v(0,54): -0.4207956790924072	 ([first][out.])
v(0,55): -0.9303032159805298	 ([first][die - hard])
v(0,56): -0.9749221801757812	 ([first][fans])
v(0,57): 0.08181425929069519	 ([first][there,])
v(0,58): -0.08355161547660828	 ([first][feel])
v(0,59): 0.20994332432746887	 ([first][free])
v(0,60): -0.5544852018356323	 ([first][email])
v(0,61): 0.3222522735595703	 ([first][chat])
v(0,62): -0.09304985404014587	 ([first][sometime.])
v(0,63): -0.8972293734550476	 ([first][midgetorgy.... i])
v(0,64): 0.13999730348587036	 ([first][found])
v(0,65): -0.8979145884513855	 ([first][yahoo.])
v(1,2): -1.1881159543991089	 ([off,][really])
v(1,3): 3.8735499382019043	 ([off,][favorite])
v(1,4): 0.01536715030670166	 ([off,][film])
v(1,5): 1.2483669519424438	 ([off,][ever.])
v(1,6): 1.1553534269332886	 ([off,][need])
v(1,7): 0.2428804486989975	 ([off,][give])
v(1,8): -0.7223617434501648	 ([off,][anyone])
v(1,9): -0.940514087677002	 ([off,][description])
v(1,10): -1.1533279418945312	 ([off,][every])
v(1,11): -1.4751191139221191	 ([off,][hole])
v(1,12): -0.17368179559707642	 ([off,][that.])
v(1,13): -0.7903990745544434	 ([off,][literally])
v(1,14): 0.41214877367019653	 ([off,][obsessed])
v(1,15): -1.6899493932724	 ([off,][practically])
v(1,16): -2.684093952178955	 ([off,][bloodless,])
v(1,17): -1.6747677326202393	 ([off,][cheesy,])
v(1,18): -2.2835206985473633	 ([off,][lame])
v(1,19): -1.2756783962249756	 ([off,][effects])
v(1,20): -0.5294095873832703	 ([off,][having ',])
v(1,21): -0.5155473947525024	 ([off,][boom - stick])
v(1,22): -0.7006712555885315	 ([off,][showing ',])
v(1,23): -2.5949597358703613	 ([off,][badly])
v(1,24): -0.581645131111145	 ([off,][edited,])
v(1,25): -0.8161916732788086	 ([off,][80's])
v(1,26): -1.00983464717865	 ([off,][metal])
v(1,27): -2.7774829864501953	 ([off,][horror])
v(1,28): 4.913149833679199	 ([off,][masterpiece.])
v(1,29): -1.9754822254180908	 ([off,][director])
v(1,30): -0.6668599247932434	 ([off,][( i])
v(1,31): -0.7566024661064148	 ([off,][heard )])
v(1,32): -0.7272685170173645	 ([off,][hoped])
v(1,33): -0.9774713516235352	 ([off,][hit])
v(1,34): -0.4718549847602844	 ([off,][box])
v(1,35): -0.29153138399124146	 ([off,][office])
v(1,36): -1.1442289352416992	 ([off,][could])
v(1,37): -0.97088223695755	 ([off,][sequels])
v(1,38): -0.3703501224517822	 ([off,][freddy])
v(1,39): -0.8841961622238159	 ([off,][jason])
v(1,40): -0.4974159300327301	 ([off,][type])
v(1,41): 0.44363200664520264	 ([off,][deal])
v(1,42): -0.3134145736694336	 ([off,][himself.])
v(1,43): -3.4762775897979736	 ([off,][damn,])
v(1,44): 0.38482367992401123	 ([off,][wish])
v(1,45): -1.2535874843597412	 ([off,][could've])
v(1,46): -0.8315248489379883	 ([off,][went])
v(1,47): -0.9660027027130127	 ([off,][like])
v(1,48): -0.5780847072601318	 ([off,][that!])
v(1,49): -0.807345449924469	 ([off,][soundtrack's])
v(1,50): -1.270338535308838	 ([off,][banging '.])
v(1,51): -1.631225347518921	 ([off,][acting's])
v(1,52): 0.16161799430847168	 ([off,][good.... check])
v(1,53): -0.2308361977338791	 ([off,][mofo])
v(1,54): -0.454174667596817	 ([off,][out.])
v(1,55): -1.0033355951309204	 ([off,][die - hard])
v(1,56): -1.0712671279907227	 ([off,][fans])
v(1,57): -0.038418710231781006	 ([off,][there,])
v(1,58): -0.1573665738105774	 ([off,][feel])
v(1,59): 0.10571625828742981	 ([off,][free])
v(1,60): -0.6759188175201416	 ([off,][email])
v(1,61): 0.1568426489830017	 ([off,][chat])
v(1,62): -0.16519701480865479	 ([off,][sometime.])
v(1,63): -1.1074419021606445	 ([off,][midgetorgy.... i])
v(1,64): 0.17617550492286682	 ([off,][found])
v(1,65): -0.9445327520370483	 ([off,][yahoo.])
v(2,3): 5.476682662963867	 ([really][favorite])
v(2,4): 2.4787111282348633	 ([really][film])
v(2,5): 3.9047460556030273	 ([really][ever.])
v(2,6): 3.0672764778137207	 ([really][need])
v(2,7): 2.1683192253112793	 ([really][give])
v(2,8): 0.672713041305542	 ([really][anyone])
v(2,9): 0.017396003007888794	 ([really][description])
v(2,10): 0.23836374282836914	 ([really][every])
v(2,11): -0.3524954915046692	 ([really][hole])
v(2,12): 1.4651265144348145	 ([really][that.])
v(2,13): 0.6647326946258545	 ([really][literally])
v(2,14): 1.4829387664794922	 ([really][obsessed])
v(2,15): -0.8517518639564514	 ([really][practically])
v(2,16): -2.0185813903808594	 ([really][bloodless,])
v(2,17): -0.29749828577041626	 ([really][cheesy,])
